idLycee;login;password;nom;prenom;naissance;note1;note2
1;anouk97;$Q1B@HvChDlT;Martins;Philippine;2002;4.711;9.514
1;virginieruiz;NNvw7Nqi!9Oe;Lebrun;Josette;2002;9.924;7.513
1;qauger;WL+48bFfSMup;Hoareau;Gérard;2002;9.808;19.688
1;jean33;$*Z)RBEu&P8O;Ollivier;Jean;2002;5.759;15.569
1;lucylacroix;Q9UCLr+b#cs0;Riviere;Thomas;2002;18.906;19.093
1;raymondlanglois;PpAw#0Gzd&DX;Lecoq;Isaac;2001;17.846;7.667
1;maggielecomte;80Q&YSrwLb9n;Briand;Laure;2002;8.045;7.076
1;theophilecollet;%O+i7m%tY8Xg;Bonneau;Charles;2002;11.22;4.39
1;aurelie38;OoxrN6acl%j1;Lemaire;Margot;2002;7.083;19.801
1;lebrunlaetitia;jXIMHOhY^4Ll;Clement;Valérie;2004;4.966;17.922
1;gerardelodie;cz7eo$6sQ#8H;Lacombe;Jacqueline;2003;2.157;18.699
1;beguemarc;_4EkGusBLhU^;Besnard;Suzanne;2001;18.064;5.796
1;louisemartinez;WUPCnBdWWu(5;Denis;Simone;2001;13.816;19.941
1;verdierpaul;_*2sBa_H*px_;Da Silva;Adrien;2002;4.556;15.532
1;theophileleconte;rDT%BO3h&9pJ;Chretien;Timothée;2003;16.47;6.945
1;gmarechal;$AbN^B0w63oj;Payet;Éric;2002;7.207;19.709
1;bourdonedouard;)0wZjh%$#09p;Caron;Vincent;2001;14.116;3.213
1;margot53;VMI14)KI@pTk;Boulay;Christiane;2002;14.643;7.583
1;gilbertclemence;r91eQ&*e_91N;Bousquet;Aurore;2002;3.184;15.837
1;bertrandbesnard;$2_+eulj@3Hb;Chartier;Mathilde;2002;17.188;7.352
1;barbierhelene;38HZtEUa)#^d;Schneider;Agnès;2001;3.608;12.806
1;michelle90;+hEVx(2#z3JN;Guyot;Olivie;2002;15.146;19.419
1;ipoulain;_V0cBesnX!GQ;Lamy;Virginie;2002;10.25;18.682
1;wlefebvre;2c0%FJfJsA@P;Martinez;Thibaut;2002;17.652;8.93
1;valentinolivie;y%@KFu_v%7tM;Berthelot;Antoinette;2002;19.643;8.916
1;allaincelina;j_CrR94pmW8%;Courtois;Hugues;2002;9.909;11.746
1;etiennecharles;_ZfKn10M1OFj;Mathieu;Audrey;2002;18.742;10.422
1;mmarie;*DSBrBLHt4*L;Maury;Antoinette;2002;13.288;3.043
1;marcelfabre;l*72UTcyUUvH;Bernard;Suzanne;2002;18.144;13.608
1;nathalie26;75$XLmuaP0l$;Pages;Joseph;2002;2.557;4.71
1;alfred34;*8X1vq4H&x0u;Raynaud;Claire;2002;12.422;15.395
1;rbouvier;$ybPTCv$K%6P;Collet;Constance;2002;14.398;11.611
1;audrey95;*vA#!soi4oqI;Buisson;Claudine;2002;14.953;18.54
1;julien73;0SBiH1a^x!W4;Delaunay;Jeanne;2002;2.513;13.901
1;tantoine;&HO+m6Wu4cg#;Valette;Roger;2002;18.248;2.64
1;bsanchez;yJ3vq@to+npS;Alves;Adrien;2002;14.576;13.378
1;tristan59;W5z8PqZu#$S7;Legrand;Juliette;2002;17.136;2.689
1;david98;3_3P4mTd!%NA;Neveu;Laetitia;2002;8.563;5.731
1;qnicolas;&64IaUjDp(bk;Paris;Luc;2000;10.319;19.622
1;diasoceane;+wWXol+p6MAk;Legros;Odette;2001;6.533;3.211
1;cordiervirginie;FzKLEW9xBD1^;Jourdan;Julie;2002;13.6;19.75
1;buissonedouard;tgwZM)Ul(1Xz;Pascal;daisy;2002;7.905;3.764
1;noemiledoux;J%ILvk@CKv7n;Lenoir;Virginie;2002;9.854;10.95
1;aubertclaire;w@z%!3xtnNq0;Gautier;Sylvie;2002;16.621;4.965
1;osanchez;bq0Yr)wk@6%Z;Lefevre;Pierre;2002;16.768;17.374
1;mdavid;T8#B@bHR#0jW;Pages;Laure;2003;2.214;11.204
1;yjacquot;4+5U*4nU^t&Y;Sauvage;Frédéric;2002;17.182;16.886
1;sauvagearthur;y$sXm7Na+H13;Toussaint;Geneviève;2002;8.477;5.208
1;chauvinrene;36VGqe@+$4dA;Giraud;Diane;2001;9.026;16.24
1;maggiebenoit;!0m*IDDk*J$z;Moreno;Susan;2002;13.375;13.118
1;claudine96;7h(8TiyL@4S&;Maillot;Henriette;2002;13.836;16.485
1;jules88;Wr$3c!Xy+4mB;Parent;Luc;2002;8.796;9.798
1;uarnaud;vx0Ubnu)BNg@;Bonnin;Élodie;2003;2.662;14.435
1;frederiqueraymond;&sB2TC)fF53x;Dupont;Françoise;2002;4.427;2.314
1;hardymathilde;)*E985Po!5I9;Pereira;Joséphine;2001;7.834;14.577
1;sboutin;zyUqlt9o)!6E;Huet;Marie;2002;13.029;3.474
1;bclement;f3ISZKeF#MH9;Grondin;Gilles;2002;8.401;18.86
1;constancelucas;#40HIM_u@Bcj;Traore;Timothée;2000;13.888;6.064
1;bousquetvictor;sJV&M$Za8jeu;Marchand;Margaud;2002;6.913;16.155
1;hdupuis;5s01L2Azx!GO;Fabre;Pierre;2002;12.977;6.551
