idLycee;login;password;nom;prenom;naissance;note1;note2
2;cousineugene;(2RTLF$J@B1z;Prevost;Alfred;2002;11.406;3.866
2;mariemercier;H6Q1Kfb$O^M$;Langlois;Christophe;2001;12.379;10.35
2;guerinthibaut;(HoxnCae5o7U;Hardy;Zacharie;2002;8.428;18.573
2;olivielesage;fwNGkh(UP4B^;Muller;François;2002;5.025;9.438
2;greniersimone;!1hWjw(iqYOX;Durand;Vincent;2002;6.288;2.316
2;marine85;N6^dEAqB!iGS;Hernandez;Georges;2002;15.822;4.078
2;qhamon;!8GxxWGlfLFf;Sanchez;daisy;2002;5.588;18.841
2;rene71;1#Q8UH2qCc_K;Toussaint;Georges;2002;10.549;17.42
2;renaudanne;q)tZHuSsP92C;Vaillant;Jeanne;2002;2.357;18.11
2;hferreira;(Oc2^T@e6Zjy;Becker;Christelle;2004;16.298;11.047
2;andree11;@23RyT#fuTlH;Lefevre;Margaret;2002;5.229;8.442
2;chantalpinto;m!4H2RGh$*#&;Valette;Bernadette;2002;16.097;14.758
2;mullerthibault;9ksPMwjU+e3P;Toussaint;Richard;2002;14.924;14.179
2;slucas;dVKw9ktq+0mU;Le Goff;Aurore;2003;12.079;15.562
2;smartins;$SI6Lu%ah3)2;Joseph;Agathe;2002;4.888;2.212
2;alexandrialecomte;R2XOdqox(r)9;Barthelemy;Margaud;2002;2.795;14.148
2;lecoqcatherine;i&K@ZxfVWj9J;Marin;Isaac;2002;2.095;12.811
2;martine75;695cRUfD&PM1;Guyon;Édouard;2002;11.425;4.161
2;dianebouvet;#TDam#Zd^1^9;Lecoq;Frédéric;2002;19.959;18.635
2;omarion;r4HEZsJ%&^4R;Martineau;Laurence;2002;4.573;15.765
2;munozemmanuel;g%x7PbMb5$1E;Bertrand;Françoise;2002;8.76;17.81
2;le-gallemmanuelle;H*6685HcYTwX;Laine;Margaud;2002;3.296;15.73
2;le-gallpatricia;Mo3s8Hlgd$SU;Gimenez;Rémy;2002;13.523;16.379
2;maillardfrederic;)h*QjNh^pu7w;Pasquier;Eugène;2002;12.476;8.941
2;durandines;n%Z+QJMaoZ32;Texier;Claude;2002;18.028;17.599
2;bourgeoisveronique;(znmGqWn9SE(;Leconte;Eugène;2001;6.233;19.046
2;wbouvier;23cBcwyy$xHQ;Rodriguez;Claude;2002;14.107;12.325
2;michelle54;RmWG#Dtj#9EV;Imbert;Adrien;2001;5.357;2.968
2;juliette65;ratANhcj^$M9;Barbe;Stéphanie;2002;2.568;19.142
2;celinebousquet;K(ihmRea8V0I;Chauvet;Noël;2002;8.173;12.913
2;valletaimee;RsYzmJjG*f64;Lefebvre;Françoise;2002;11.816;9.044
2;yrenard;*zEW(8N!^5vc;Cousin;Odette;2002;7.522;13.927
2;amelie20;!SOyqDT6N7PT;Lefort;Georges;2002;2.145;14.634
2;qmaurice;Z_T2(RJnxmtR;Legrand;Céline;2002;18.396;17.286
2;luce63;ozFnnrOseD+4;Joseph;Benoît;2002;18.517;16.251
2;gweber;R9Z5#2h3^5QM;Sauvage;Amélie;2002;15.787;11.394
2;louisberthelot;9Nn%L1(kkT_1;Renard;Adrienne;2002;8.442;18.613
2;raynaudhenriette;$3VvUpml$gvB;Guillou;Christine;2002;18.287;12.574
2;ericbarbier;aZ7O(EubO_jT;Gautier;Maggie;2001;7.969;2.978
2;dupontmaurice;#cqBiiqeV4+9;Moreau;Laurent;2002;6.132;6.811
2;imasse;##p0TFjYce6+;Chretien;Élodie;2002;11.525;2.404
2;elisabethgregoire;aH&2&BQus0NT;Coste;Camille;2002;5.047;12.477
2;aperon;)G)PdCYk0Ohy;Marin;Bernard;2002;6.45;4.552
2;renebouchet;rE3UkPdPIU(M;Besnard;Gérard;2004;15.111;13.851
2;oliviergilles;rjRj&jE7_$5U;Martineau;Valérie;2002;12.497;13.22
2;claudegaudin;%nH!8smvl4jZ;Gaudin;Thibaut;2001;14.906;3.126
2;michellebruneau;)q75!rHJPK+B;Perrier;Valentine;2002;12.255;14.218
2;charlesclaudine;(3ZuL%cB65@z;Schmitt;Éric;2001;17.513;10.973
2;noemi88;R*3Uhpnl!iyV;Monnier;Anaïs;2002;5.485;2.878
2;alvesroger;y$3q7d@oszEL;Renault;Sophie;2002;19.98;4.397
2;cguyon;GF0JWxQV*39D;Guillot;Lucas;2002;14.427;6.093
2;pbarbier;3HjmmGa4*egv;Alves;Marcelle;2002;5.023;17.172
2;margaud18;+9FmWZgdGwe8;Fischer;Thibault;2002;2.425;10.963
2;jmoreno;LTv^cxBp&^1M;Michaud;Joséphine;2002;6.468;10.613
2;emilie70;7rP(fCI8^(Xo;Weber;Émile;2002;4.284;18.97
2;eugenecourtois;HSS_2r%o4(6f;Arnaud;Nicole;2002;16.631;11.158
2;chretienconstance;$+&V9IDwY8MZ;Bernier;Stéphane;2002;11.313;3.369
2;francois49;!e6gIexTeigR;Poulain;Hugues;2002;10.725;14.505
2;madeleine54;E82KYNZf$yQ^;Paris;Benoît;2001;4.322;8.472
2;aurore98;U(KwoM0Z&M0Z;Richard;Lorraine;2002;16.062;12.364
