idLycee;login;password;nom;prenom;naissance;note1;note2
4;reynaudbernadette;!&&dDbiQk65D;Vaillant;Richard;2002;14.488;6.568
4;anastasiepereira;(m4P+xRa%lVK;Grondin;Aurélie;2002;13.235;8.242
4;nbousquet;^@tQTmvjD*2(;David;Nicole;2001;15.548;3.982
4;suzannefouquet;4FxHf6Xt$1*X;Cohen;Victor;2002;19.817;3.977
4;ollivierchristiane;JB8AA(n2)dIj;Diallo;Zacharie;2002;3.774;19.073
4;philippelenoir;Dj(V1Y)lIj#D;Marion;Marcelle;2002;18.846;9.734
4;colette66;%U7IEaO5tV(P;Pires;Thomas;2003;17.4;13.962
4;lecoqphilippine;+6qsxzNpY6Fx;Bernier;Marguerite;2002;16.127;15.62
4;thibautcosta;C5pKyXeg^qAA;Baron;Aurore;2002;8.249;5.227
4;bpetit;&7DxSkgVeMQs;Devaux;Camille;2002;6.455;5.603
4;gilles81;$6wOhFjydlR7;Mendes;Honoré;2001;16.921;17.971
4;jacquelinebaron;$6MjegfAw(a4;Vallee;Charles;2002;2.818;8.552
4;bleveque;L#Su3Whx$TTa;Pottier;Pauline;2002;14.072;10.452
4;charpentieryves;)8NMhvr8LSY$;Germain;Amélie;2002;11.059;5.141
4;elisabethdumont;+AHLMwopW&0m;Perrier;André;2002;9.297;11.985
4;alexandrie70;7R4$kg(F(s4Q;Leduc;Véronique;2002;15.977;11.826
4;guichardclaire;(e%1u5Cm@@Ss;Dupont;Léon;2002;8.254;17.624
4;william78;&Pg7Ibe#$z8T;Philippe;Laurence;2002;4.554;19.76
4;laetitia32;+8uOShxtDrQ@;Hoarau;Alexandria;2002;12.853;4.989
4;emmanuel55;x%RKj^Daa20T;Laine;Anaïs;2002;19.321;3.39
4;theresecamus;!LyO!nt)0Skg;Diallo;Inès;2001;11.123;16.459
4;alexschneider;1&cYCe1T%3@m;Guillet;Honoré;2002;16.541;18.361
4;smerle;)DEaIk!m69Wz;Colas;Marc;2002;9.332;4.653
4;julien04;*92XASog+ZuN;Delahaye;Laure;2002;2.986;18.31
4;henri98;pO7k3pFe_kYT;Mallet;Dominique;2002;2.116;2.012
4;cecile61;X6HVV$lI(1DG;Bouvier;Alexandre;2002;16.216;16.963
4;claudechauveau;W^d12Nxv4J%i;Lucas;David;2002;3.706;12.187
4;christineleduc;%OBVpGk0Vt3X;Jean;Jacqueline;2002;15.58;18.686
4;zsanchez;Pd8^$SuQ*+R+;Hoareau;Marcel;2002;12.433;4.159
4;tanguyolivie;%wx8EDdg@+gX;Leger;Susanne;2002;7.857;3.188
4;juliengilles;92oK_hPk&AQx;Olivier;Benjamin;2002;3.95;10.904
4;blondelanastasie;43%Nubvk_uC!;Gonzalez;Renée;2002;6.847;6.307
4;agathelaroche;v8Pkzl_F$8iG;Dumont;Claire;2002;6.223;5.395
4;boulaygregoire;(AKD&tIr5Ls4;Roger;Dorothée;2002;4.359;18.325
4;genevieve42;vb3EIDso%a8P;Aubert;Henriette;2002;16.024;11.718
4;jean67;_3BxXusDlVn0;Charpentier;Stéphane;2002;7.232;16.479
4;zgosselin;%0CcMmxfZ(Qh;Marchal;Henriette;2002;2.356;11.256
4;audrey86;wG#3NNqq1$jL;Faure;Anastasie;2003;10.137;18.348
4;gillesveronique;y4MCiUzV(ip2;Jacquet;Noémi;2002;15.434;17.232
4;fpetitjean;P_mjTz9mmT1G;Ribeiro;Marcel;2002;16.466;17.639
4;pmary;%0LmE1siKzsp;Brunet;Audrey;2001;8.196;9.74
4;audrey69;$(#EMZTp^T9E;Denis;Lucie;2002;3.034;17.882
4;vleroy;!5j(OlRIxSwZ;Guilbert;Guillaume;2002;4.118;17.433
4;edithfernandes;F)w3r8YWO+4Q;Delahaye;Claire;2002;14.751;15.794
4;tcoste;(gsvNQIkL88U;Gaudin;Lorraine;2002;8.604;2.134
4;antoinette72;95i2Znmi%n3u;Georges;Marguerite;2002;13.061;18.627
4;vincentlucy;O$E4K94hl^0A;Benard;Claire;2002;5.424;18.254
4;christelle68;1q!C@xNy$2r!;Roussel;Juliette;2002;6.527;18.435
4;huetraymond;@p+OpLkm84TI;Lebon;Sébastien;2002;11.4;6.578
4;benoitgauthier;&iNn2T2q76@+;Techer;Alexandre;2002;2.026;16.706
4;remygregoire;_j8BCibCF&0l;Mercier;Simone;2002;18.268;15.218
4;madeleine27;d8WfslY%&j6%;Lagarde;Gilles;2002;15.144;8.527
4;kbertin;ensnYjyl^8HW;Lelievre;Édouard;2001;12.708;16.144
4;alice85;wmExBko5q)X9;Pascal;Arnaude;2002;19.36;4.878
4;glebreton;$*xuvz0q20Wq;Lemonnier;Philippe;2002;16.806;15.159
4;victoradam;^1S$y0Gx#%E*;Foucher;Rémy;2002;11.318;11.059
4;anoukpages;^WcRecf2I2y@;Hebert;Louis;2002;6.249;14.42
4;michele74;%zS#EvjGu3ci;Lemonnier;Roland;2003;13.958;3.237
4;lleroy;*eEIEbm@#K5A;Marchal;Virginie;2002;12.241;5.001
4;pasquiertherese;A21X$Ro^mWx(;Collin;Thibaut;2002;8.458;3.755
