idLycee;login;password;nom;prenom;naissance;note1;note2
5;gaudinremy;48VGBqVy@L4&;Schneider;Lorraine;2002;4.077;8.551
5;augustin65;AjEB45xf)3X^;Allain;Gilles;2002;17.692;19.798
5;marguerite56;_02UZ+6ua@e6;Chretien;Marcelle;2002;17.644;3.92
5;michelrocher;9d9^!FoO_1Bi;Pruvost;Maryse;2003;15.087;14.401
5;royerpatricia;)LESjaN$bk8Z;Diallo;Philippine;2003;13.297;16.094
5;kleinmatthieu;gT9!8%t&3npR;Collin;Cécile;2002;9.075;3.294
5;reyalphonse;7u)Sj7Ra%cd1;Mendes;Élise;2002;5.211;9.448
5;heleneleroux;p_zFZxEmAy9K;Lebreton;Zacharie;2002;5.915;6.158
5;christine23;+!kGcT_yom6$;Pages;Martin;2002;15.366;18.772
5;vmichaud;+&1_(hW322rG;Vallet;Margaux;2002;4.047;17.163
5;bernierhenriette;f&n55Qu3@mg!;Jacques;Margaux;2002;16.974;12.675
5;cecile65;A_y_2PmQBvC(;Jourdan;Lucy;2002;10.699;2.42
5;anouk38;bgm4h)u%+_8L;Barre;Yves;2002;8.678;5.33
5;olivierpeltier;(vG+Epu!pq6V;Merle;Zoé;2002;7.42;12.815
5;tristan66;&pmtrWpho9O2;Dos Santos;Marcel;2002;12.574;10.793
5;bouvierphilippe;w5^9Cl^VV9%0;Levy;Victoire;2003;12.984;3.687
5;vhumbert;vZ5Y+Gmj^v(q;Bouchet;Joseph;2002;18.393;8.422
5;dupuyfranck;R@&6O8eTT)^^;Valette;Théodore;2002;11.184;13.503
5;vasseuremile;_U)d4t60X3Qa;Le Gall;Thibaut;2001;12.841;5.929
5;inesauger;n05EL1Vv!woC;Verdier;Marcelle;2002;16.286;10.736
5;zbreton;*#5$K7vs!)lo;Klein;Dorothée;2002;7.845;11.372
5;gaillardthierry;%ShkRHm(_9UP;Marin;Benjamin;2002;3.825;3.192
5;ponslucy;)dYxVvsWWKk2;Descamps;Grégoire;2002;7.021;5.325
5;aimeelebon;Mat+hP(0P7&C;Guyot;Marianne;2002;8.763;16.117
5;victoirebesson;*8Iw$#*nYB)t;Laroche;Luc;2002;9.076;2.423
5;jvallet;&d4J5sRkJe2K;Alves;Grégoire;2004;10.525;19.989
5;hgodard;n%o3fIVywph4;Charrier;Arnaude;2002;9.652;16.67
5;margaretremy;_5O5MZFpquYu;Roussel;Stéphane;2002;18.996;12.071
5;laurentroyer;%_KKwj5f%83o;Guillet;Léon;2002;7.534;8.882
5;kblondel;#71gqtV@FSMa;Leleu;Marianne;2002;16.103;4.57
5;aimeesamson;^5HpZrgoP0hM;Klein;Étienne;2002;14.755;12.677
5;alexandre15;!J4LslcT+e#N;Gaudin;Marianne;2002;18.58;10.106
5;sgoncalves;)d3^qekIW4hD;Louis;Richard;2002;14.692;2.471
5;bessonelise;ln)*zOXtZH34;Bouchet;Claudine;2002;6.444;9.276
5;thibaut36;&9txtano6CFE;Dos Santos;Claudine;2003;8.608;9.414
5;oceanelecomte;5c8TDgci&lj0;Legendre;Marc;2002;6.503;14.483
5;lbaron;)P7lBMpRdyga;Perez;Adèle;2003;10.14;6.325
5;nturpin;ohSct$VwCW^6;Rousseau;Étienne;2002;15.253;3.889
5;francoiseperrin;*9jjqzMdc&f8;Lambert;Léon;2002;14.46;3.885
5;cweiss;p(2EcD5)@_4S;Ferrand;Olivie;2002;6.259;6.909
5;michele71;yD8MdduJ&+HG;Maurice;Françoise;2002;10.538;13.933
5;tadam;e%R1!OJtM_43;Verdier;Madeleine;2001;5.92;19.763
5;couturierjuliette;&$KxXtU7346H;Perrin;Julie;2003;9.406;18.084
5;legrandlorraine;Yx#NFBbuy*4j;Hoarau;Clémence;2002;7.257;10.062
5;alexrousset;%^sBCZyQBLw6;Valette;Aimée;2002;16.606;8.118
5;lorrainevalentin;^klPk4HvQmit;Berthelot;Dominique;2002;12.121;12.044
5;sdaniel;&I_4LdmW0U2D;Pelletier;Étienne;2002;12.792;16.611
5;eric08;D(4$DzI4aG&7;Hoareau;Madeleine;2002;2.524;8.812
5;cda-silva;@8KMUgO)Dpu8;Ruiz;Gabrielle;2002;8.585;17.041
5;zacharie51;b82&ecWS1VwG;Ferreira;Suzanne;2002;11.748;9.288
5;goncalvesalexandre;$0k1Qd4S+6RW;Peltier;Élisabeth;2002;4.473;12.5
5;lperez;F6wbBTUO$y1R;Vincent;Marcelle;2001;11.895;7.106
5;aurorepichon;%eQ0)isPq%+r;Ollivier;Gilbert;2002;14.502;13.662
5;olivier87;^52T&KLlpvq1;Richard;Étienne;2003;18.345;18.729
5;sevrard;Jr2U1LX+!(#A;Baron;Capucine;2002;5.568;6.17
5;francoise61;BWgPQ1cc(R4l;Humbert;Grégoire;2002;3.368;10.325
5;carolinelebrun;L$6zUuGuMXYg;Nicolas;André;2001;4.201;15.846
5;le-gallfrancoise;3PwG3Tk!k3&v;Gallet;Olivier;2002;7.466;9.866
5;annecarre;%FEt@RTf7pax;Lebreton;Frédéric;2002;17.185;7.038
5;lopesjosette;(9DGnVVr*3&^;Gautier;Monique;2002;6.026;7.15
