idLycee;login;password;nom;prenom;naissance;note1;note2
6;philippemichelle;E0iF*cUi$3N4;Alexandre;Margaud;2002;6.656;11.512
6;nicolas59;fOc2%QgtA(TE;Royer;Nath;2002;10.254;19.309
6;jeanneleveque;^qPk2paC*3kj;Lopes;Hélène;2002;16.696;6.397
6;marcelledumont;Kg9ytrZuc8$2;Pruvost;Claudine;2002;11.449;13.994
6;suzannegautier;H$PtFSBmGC2M;Leduc;Denise;2002;11.405;6.964
6;bernardvictor;3*lqGw+s!C!7;Albert;David;2002;3.354;13.077
6;vincent47;@&4_o#VuhRll;Leblanc;Bernard;2001;8.254;3.368
6;jacquesriou;eXl)mDcE_N8J;Reynaud;Rémy;2002;4.125;11.0
6;olivieteixeira;_(7xYZtxKi_w;Charrier;Thomas;2002;15.291;15.082
6;marine22;c&FL6kuetJ(8;Fischer;Hélène;2002;16.446;4.546
6;robert69;couRqi1tP#5X;Leleu;Lorraine;2002;2.867;9.502
6;nicolaschristiane;0dBeY^lp%_1V;Alves;Adélaïde;2002;5.402;3.355
6;claudineparis;*8brlxj&6#DG;Perrier;Olivier;2002;15.995;19.939
6;delannoywilliam;3EBrrUq_&$p&;Fischer;Martin;2003;9.462;15.892
6;gabriellemathieu;oVy7BGVd8$*T;Gillet;Grégoire;2002;16.129;8.614
6;christelle20;#8yfOmd+QN8S;Grondin;Céline;2002;18.632;10.181
6;mariedeschamps;N(pv0NmFIj4n;Royer;Denis;2003;15.851;12.129
6;chauveaulouis;$f4TXHnTTJYx;Carre;Alex;2002;19.459;11.279
6;nroussel;Q2!XmJfFc@9R;Mendes;Alexandria;2002;3.921;15.247
6;chantal87;jbKXY4Wyv%c3;Fournier;Arthur;2002;9.899;18.105
6;germainchristine;KV^V7!Tlx7Hf;Brunel;Adrien;2003;14.042;18.389
6;andrepruvost;0J%T0DDtG1z%;Hebert;Vincent;2003;13.156;11.502
6;nathaliewagner;v81HR_CH@qMf;Klein;Raymond;2001;6.306;11.337
6;adriennebarbier;1x#k*H$z*D6J;Marechal;Marine;2002;4.741;12.973
6;legeralexandre;_&3bu9XQ0H@C;Dupuy;Alfred;2001;4.014;16.993
6;michele82;!PGGQoX3qjD4;Gerard;Alex;2002;2.959;19.775
6;jacques17;k8gz5CfZ$8d2;Boulanger;Antoine;2002;5.881;19.558
6;drobert;2F18KpL(Q)J5;Klein;Adrien;2002;18.038;2.697
6;prevostjerome;@GY!Qg@G^%7o;Peron;Noémi;2002;15.068;10.88
6;dumontandree;tG0M#jkb)VH_;Voisin;Laurent;2002;18.461;19.212
6;theresede-oliveira;MrC(&5Tyg3Ui;Arnaud;Honoré;2003;18.83;12.138
6;agathe06;r*(A_R0hhck1;Olivier;Claire;2002;15.641;19.956
6;hpineau;@!+b96SlwZAQ;Chauveau;Sophie;2002;10.794;3.229
6;mariepatricia;!v_mx0zpL4IU;Gautier;Margot;2002;2.607;11.026
6;adamadrienne;Oh7!^46t83D&;Martin;Zoé;2002;18.95;14.135
6;tperrier;m!QhuMDwz&55;Jacques;Cécile;2002;5.33;11.392
6;nathalieroche;Z%8d9Dnu$I7C;Merle;Julie;2002;19.688;14.772
6;laurerichard;6*caSIjpyA75;Berthelot;Claire;2002;5.437;14.378
6;talbert;$)#suhZvj1GZ;Remy;Augustin;2002;2.054;17.714
6;lopezdavid;T@@AoXwPFV3H;Bernier;Margaux;2002;13.515;9.743
6;kbaudry;+i0Gejg1+rL(;Gros;Laurence;2002;11.672;7.797
6;nroyer;kG1GQ0scr)RU;Gonzalez;Hélène;2002;19.633;12.013
6;ylaroche;3$R576LiFsu2;Munoz;Patricia;2002;8.952;2.503
6;ldelahaye;t)!*Cn5ySzX3;Launay;Nath;2002;17.53;6.911
6;duboisxavier;)ZQkloXlZ9o$;Garnier;Frédéric;2002;13.882;17.762
6;rbernier;#3Q9FEd&d+h$;Hubert;Auguste;2002;4.23;9.902
6;jerome30;$lvT@1Hi*w%8;Teixeira;Paulette;2002;7.846;5.79
6;gimenezmaggie;AGKg16eQ#9EO;Barthelemy;Virginie;2002;11.526;13.59
6;pascallaurence;&5qt5Ylvn$5i;Dos Santos;Laurent;2002;2.17;13.616
6;lrossi;lBcd)VDsc*E0;Allard;Laetitia;2002;9.975;13.485
6;lainealexandrie;#KfFhEz*@)4Z;Gimenez;Sylvie;2002;4.923;4.167
6;maillarddaniel;hZCogn01^0@&;Ferreira;Claire;2002;10.502;7.15
6;teixeiralucy;a$QR5#qhTM%_;Etienne;Alexandria;2003;3.229;7.3
6;idelattre;^1N!QBh5hdg5;Garnier;Camille;2002;3.819;11.884
6;honore22;K3OXm3En#1lZ;Aubry;Jules;2002;8.288;4.225
6;erictessier;7A77R8vr*^k#;Laurent;Xavier;2003;18.158;8.038
6;cleconte;(a6gcLJao!5W;Valentin;Lucy;2002;17.446;17.514
6;vcharrier;DWn02SvePo@W;Gallet;Olivier;2002;12.533;4.535
6;fischerandre;N(6yi^1*^QGb;Julien;Léon;2002;7.922;14.109
6;richard89;0tq4yRb&ySR);Marechal;Emmanuelle;2002;12.599;5.318
