idLycee;login;password;nom;prenom;naissance;note1;note2
7;vidalamelie;5n%059RoHm!O;Louis;Noël;2001;13.039;19.88
7;margueritedubois;$i3Vsbr8b5yA;Tessier;Anne;2002;13.519;7.05
7;lerouxsuzanne;L38ROx9q$3Ik;Salmon;Hugues;2002;9.871;6.301
7;bfontaine;RX&mks*u#6AY;Seguin;Gilbert;2002;4.913;6.584
7;hervedenise;waF5AV4c*d5R;Marion;Roland;2002;8.936;12.216
7;rochevirginie;Zd1X6AhL(SV*;Pierre;Honoré;2002;13.167;7.887
7;claudine02;a6%axgGe#R0W;Dumas;Arthur;2002;6.448;3.599
7;clemence57;@c0!fpgq$19M;Leconte;Maryse;2002;10.182;12.222
7;rene29;$J9X%e2v@0o+;Masse;Marc;2002;8.47;2.395
7;denisemuller;45C5rjt0%94p;Verdier;Thierry;2002;10.747;13.688
7;constancelemaitre;MS4)4LgFf*u7;Royer;Virginie;2002;12.002;19.42
7;louise81;vt7LFQmbbS!Z;Coulon;Jean;2002;3.449;5.409
7;agnes97;6n#2HtPt6#V2;Le Goff;Adrienne;2003;3.986;13.19
7;schmittolivier;@%bMymZnJSv5;Hoareau;Julien;2002;5.784;3.41
7;denisemarty;%8bZAbc101Xc;Allain;Christine;2003;18.346;12.883
7;ldubois;84&1HoOn&tL%;Schneider;Frédéric;2002;16.254;7.558
7;sylviebernier;_bt#8RmoN+&Q;Rousseau;Thibault;2002;9.514;18.76
7;bernard58;j4t@9W7xT0Ey;Gregoire;Philippe;2002;4.301;8.889
7;henriettebreton;Z3*8V$rj&w3A;Gosselin;Élodie;2002;11.451;9.688
7;thierry95;)m%9fhWefO5G;Coulon;Maryse;2002;19.049;5.022
7;lucierey;*BZ9QnUz5f_a;Loiseau;Joseph;2002;10.142;19.153
7;cecileleroux;Xg2BI!Uz%Y0_;Paul;William;2002;3.714;6.569
7;rhumbert;!5ufd+uTuPQ_;Albert;Anastasie;2002;9.59;4.546
7;ylanglois;A0*xw^5SX#Q_;Da Costa;Noémi;2002;10.554;9.323
7;aurelieboyer;Q50mm8nw_8wJ;Perrot;Claude;2002;10.141;18.84
7;gilleslemaitre;l+PGRWtXTW6R;Paris;Lucy;2002;3.586;5.7
7;william28;aerUnc7W01v@;Blin;Valérie;2002;14.893;16.441
7;flevy;l0jh4%gf(GPz;Paul;Capucine;2002;8.857;13.486
7;zmorel;8yBGSmaq2AN*;Costa;Alex;2002;6.371;12.387
7;girauddaniel;U7(R*1Pq2b8r;Guillet;Julie;2002;16.397;12.264
7;goncalvesmarine;q2Au+cqf!(x!;Perrin;Dominique;2002;17.204;16.237
7;christelleadam;*GvP7)^iZq0U;Martel;Julien;2001;11.36;16.673
7;ferreiradenise;vC!cC2xV&i4o;Mary;Luc;2003;12.64;12.269
7;corinneguillot;*3()Tg^#cp+P;Blot;Thérèse;2002;8.403;19.907
7;suzanne82;*Yw7zGkb45KU;Bigot;Sophie;2002;19.14;16.657
7;lombardrichard;(0cNx4E+OlS!;Lebreton;Thérèse;2002;3.824;2.367
7;teixeiralucie;Zi*aZSKzY*5&;Diaz;Édouard;2001;2.812;12.543
7;wboyer;f4ApnCXs^88#;Duval;Anaïs;2002;17.044;19.636
7;rdumas;cxOVGy@(8&20;Muller;Aimée;2002;19.915;15.889
7;philippe48;(7gFa3u0le&M;Dupuis;Victoire;2002;9.606;11.639
7;dhoarau;$0Idk4+2tyay;Mallet;Martin;2002;12.932;14.085
7;anastasie96;idRwjlRPj4_@;Moulin;Agathe;2003;9.0;19.258
7;greynaud;TqGsdxcb)0*X;Jacquet;André;2002;7.758;10.068
7;sdelannoy;R*a*0sCsFMqc;Guyon;Bernadette;2002;18.474;7.791
7;margot07;rfyy8G4z!Q&+;Blin;Éric;2002;11.403;2.12
7;laure51;$2U5O1eDDnWg;Hardy;Eugène;2002;2.616;16.989
7;nathalie12;wSTdwUuo+0tO;Marin;Andrée;2003;3.282;10.836
7;ochretien;wwU2Pmz9H#9O;Lombard;Étienne;2001;13.011;3.989
7;lucie01;##4Ymq^p()ve;Clerc;Auguste;2002;18.987;13.603
7;gabrielle60;)w+18KaIjDgv;Ferreira;Tristan;2002;12.105;10.943
7;christiane93;568iTpsj^%4D;Begue;Thibaut;2002;4.93;4.352
7;hortenselebon;)CRYiigd26sv;Dubois;Thérèse;2002;13.456;16.632
7;juliettemarques;XyYApYlk!2#h;Lemaire;Alfred;2002;16.332;19.635
7;ameliemichel;D@sCF9fHU$M7;Mace;Bernard;2002;10.063;16.382
7;margarettanguy;&5Bmw!oXnH^8;Alves;Mathilde;2002;7.854;11.182
7;sabine49;p3Yx0%bz!PSJ;Martineau;Claire;2001;16.284;8.27
7;lucas51;^kF4ubLLNpAH;Leclerc;David;2002;14.67;5.248
7;mpotier;*81JdgDnqyKt;Blanchet;Richard;2002;14.48;7.553
7;vincentmercier;29ZV7Tv#uWy_;Dumas;Alexandrie;2003;12.742;6.066
7;maggie28;Qmp+W4JV@1Oq;Lemaitre;Monique;2002;15.016;14.508
