idLycee;login;password;nom;prenom;naissance;note1;note2
8;isaacgrondin;xnb(gYwG)6*x;Thibault;Laure;2002;4.355;16.222
8;ipons;8^0x+TpII2#O;Leclerc;Cécile;2002;15.613;5.996
8;onormand;!22NErJjA$dL;Gosselin;Léon;2002;15.562;3.049
8;andree53;A5_zzHDG!o!R;Paul;Victoire;2003;14.731;8.623
8;rodriguezjeannine;AZ_4*yVx&)RT;Aubry;Madeleine;2002;19.441;15.027
8;morenosimone;WO8mx59Cc__K;Charpentier;Frédérique;2002;17.328;4.221
8;bpinto;m1)v+hHp#H$4;Cordier;Théodore;2002;13.342;16.399
8;thierrylaetitia;L$ZKlvkb#7y(;Gros;Sylvie;2002;18.53;14.78
8;frederiquedupont;@9NCEI7oHqYP;Peltier;Dorothée;2002;7.405;6.477
8;isaacmerle;+bcII8H538TU;Carlier;Émilie;2002;18.987;10.175
8;thomasnoel;Q_07F%Pb$dsS;Gallet;Alfred;2002;12.863;3.84
8;valerieleclerc;31LEJ6rU(wQq;Thomas;Gilles;2002;6.824;8.003
8;martinschristelle;)SI4Ki3pbe7B;De Sousa;Claire;2001;10.253;12.882
8;roland87;k&S81P8i#+FK;Carlier;Édith;2002;9.196;3.796
8;marchalmathilde;^$i2ogtWP_pR;Poirier;Agnès;2002;17.035;11.175
8;garciaantoinette;_7#cQGhvaX!a;Seguin;Audrey;2002;12.963;14.501
8;theodore91;_S3s8dlIa&Qs;Herve;Stéphane;2002;17.645;10.181
8;matthieu34;X#+9J(5pYTFw;Payet;Margaud;2002;17.942;4.706
8;daniellelelievre;#@#IEJTu%k7o;Rolland;Agnès;2002;5.022;5.186
8;xdelattre;^1qlT6YBKOPW;Blondel;Charlotte;2002;12.837;14.06
8;alphonse46;4pjpuf#_%7AB;Guilbert;Joséphine;2002;17.509;15.65
8;marcelle25;v^F_*Qx+To6S;Pruvost;Anouk;2000;4.429;15.41
8;elodiedevaux;^9&5XYC66s6P;Pinto;Maurice;2002;17.059;18.145
8;levylaurence;)1G(aBr)%^Eu;Didier;Gilles;2002;12.122;19.567
8;lombardroger;#!zFY6lAIr9k;Chauveau;Alexandre;2002;13.908;12.247
8;oceane75;H9A4GHXbL0l&;Mary;Hortense;2002;10.416;5.007
8;vperret;OS_XP)is)u71;Prevost;Christine;2002;2.494;3.927
8;victoire20;!H*z2AEk^e%D;Joly;Marcelle;2002;13.362;4.981
8;lacroixagnes;y*u3@DhS&l1e;Perrot;Charlotte;2002;14.095;5.007
8;fischerraymond;)l5KGcjpZ!xr;Laine;Laurent;2002;17.034;16.119
8;patrick39;_QeI%zFyAH9O;Chauvin;Laurence;2002;14.299;13.809
8;margaretmaurice;!(!gE$k7^I6Q;Guerin;Chantal;2002;18.523;8.713
8;bauger;Eb&K%4NqRr7P;Gilbert;Noémi;2002;18.857;16.378
8;morinpenelope;@bfEcPRd640^;Brun;Marie;2003;10.713;8.828
8;bgerard;E1PZ!CKj^E_8;Girard;Aimé;2002;5.722;7.01
8;victoirethierry;LmDaYWvZb(29;Laurent;Théophile;2002;10.905;19.532
8;gilles72;a9To^$#k^eL_;Moreau;Éric;2002;8.491;7.245
8;hubertchristophe;o+7pdVQqE&3L;Leconte;Charlotte;2002;16.469;7.658
8;ados-santos;6HUoTfAS^0Sz;Maillot;Marcelle;2002;13.503;6.355
8;emilehamon;#@+K^oz%n57r;Munoz;Michelle;2002;6.602;5.041
8;cmercier;im9qGaAZ^s9$;Girard;Frédéric;2002;19.447;4.173
8;moniquefaivre;$9Pu#yze@uyK;Gimenez;Marcel;2003;13.058;10.322
8;noeminicolas;OYkZvM@avm^7;Moreau;Georges;2002;12.859;12.337
8;antoine81;#3Se7g&pmVE7;Klein;Léon;2002;6.997;2.475
8;michelle93;Q)@zDnD0m+0X;Tessier;Margaud;2001;14.601;12.941
8;martine00;23myYE2t*hrC;Leblanc;Christine;2002;4.746;3.142
8;benjaminlegrand;X85lN&Nj$Z0Q;Baron;Clémence;2002;8.715;11.557
8;mullercelina;63@RwVwe!^T^;Leroy;Honoré;2002;19.439;10.436
8;benjaminbailly;L_PyGYRr_t3M;Camus;Christelle;2003;4.375;4.05
8;nathaliebaron;QjL!YBuS#n65;Chretien;Thibaut;2002;18.578;17.061
8;jeancouturier;$v%1C@RfK^Y1;Lefebvre;Honoré;2002;9.722;15.503
8;thierryblondel;!G1FpBkgYw2U;Imbert;Amélie;2002;9.578;10.812
8;antoinettebreton;($&9D5QpoJWq;Martin;Manon;2002;10.183;8.555
8;lambertadrienne;LOA%4iqq5+Zz;Rousseau;Alphonse;2002;3.91;13.256
8;yvesbouchet;M&2$wlsGufC0;Petit;Adrien;2001;17.695;12.068
8;srobin;)&0RddVM3v8p;Pruvost;Marie;2002;9.279;2.928
8;juleslanglois;)s&0GBNnBy+G;Fabre;Marie;2002;17.624;6.646
8;diazdominique;*@3j%xp_J9iI;Rodriguez;Marcelle;2002;4.444;5.13
8;helenepires;EQ3x5E2w&o*n;Pichon;Michèle;2002;9.413;15.664
8;wvidal;$6ruY_lA#DLz;Marie;Sophie;2003;8.633;2.33
