idLycee;login;password;nom;prenom;naissance;note1;note2
9;hubertfranck;#cvMYrTalY2S;Imbert;Rémy;2002;10.441;8.752
9;michellecamus;ANopFygj)CC1;Guerin;Lucas;2001;9.578;9.106
9;nbouvet;@T6Cot3wa(3F;Alves;Suzanne;2001;18.034;12.937
9;merciercecile;L9x2B*#h4%9q;Guyot;Margaud;2002;11.903;2.256
9;lucerousset;OJ5^GfapIjRx;Vincent;Guy;2003;14.317;13.47
9;louisblanchet;T66MFdZ9)0Ej;Gimenez;Lucas;2002;3.384;2.922
9;deniselopez;4!%)Y$zM*xZ3;Masse;Emmanuel;2002;6.477;13.018
9;bernard18;!!SAgACb1X5w;Perrier;Manon;2003;17.717;15.825
9;carlierlaurence;_ej)V&Zy+$f0;Costa;Timothée;2002;13.102;17.678
9;cmarchand;$1bu(&gNgSH1;Bourdon;Margot;2002;2.693;14.224
9;alain90;!#hgwoiv#0E&;Martin;Isabelle;2002;15.366;9.011
9;cecile66;)E^FZOArly6_;Parent;Lucas;2002;2.936;19.297
9;constancetexier;_Wc50dHk)2_U;Leroux;Michel;2003;3.284;8.754
9;rocherbernadette;^o61BLnz^^jv;Daniel;Marguerite;2003;8.274;18.906
9;leongimenez;#y#zcuxEy@3L;Bazin;Julie;2002;6.332;19.187
9;hcollet;&#OZqmd89can;Lombard;Aimé;2003;4.442;3.484
9;jeannine94;3!4%XEjp$4P@;Pelletier;Sabine;2002;10.39;7.144
9;cbaron;V&1@%PqPRj8h;Roche;Alexandria;2002;17.764;12.675
9;vcosta;v(Q_u7q7n7+T;Rousset;Alix;2002;15.525;11.23
9;lebonadrienne;K(W2Cwn96_5!;Girard;Christine;2002;18.113;5.801
9;jacquessusanne;*o8qHsgV(0z5;Bouchet;Étienne;2001;11.197;15.188
9;noelalves;*C$nRgvl#60#;Paris;Philippine;2002;13.848;18.269
9;virginieboucher;x9)2EdjGsZ6i;Bodin;Paul;2002;5.878;14.665
9;susannegirard;I26$o$Zn^8DQ;Garcia;Pénélope;2002;6.752;13.301
9;wlejeune;9&upmfnLce9Q;Gallet;Timothée;2002;18.215;10.362
9;theresetoussaint;A21(Lbp%%WCC;Leger;Nathalie;2002;19.943;2.795
9;ncosta;#O1uR&x2ya(8;Aubry;Aimée;2002;10.868;7.028
9;lpasquier;+02VHlxgzQLU;Godard;Caroline;2002;13.731;13.494
9;ogrenier;4e8b_XJq(YUc;Hoareau;Émile;2002;15.692;12.271
9;christiane82;GZ7_EfcMhX!W;Mahe;Pénélope;2001;4.734;10.417
9;loiseaualex;@FMcKFAm7Bkj;Delahaye;Alfred;2001;19.174;19.164
9;lecoqvalentine;_y9o61it7$Lz;Dufour;Danielle;2002;15.202;4.052
9;charpentierlucie;Nq9K4yi($Dcw;Barbier;Cécile;2002;14.994;19.291
9;nicole66;i2w+CsN+3D*0;Marques;Zoé;2002;17.934;13.803
9;bousquetmargaret;nJ0RaMzD&UKO;Launay;Véronique;2002;10.591;6.093
9;valentinepoulain;1%9!P@cv+DFR;Bertin;Anouk;2002;9.136;5.281
9;noel11;#*1+P3KhwwK1;Pichon;Augustin;2001;11.26;11.405
9;isabelle30;&XHM$*yZCJ#1;Garnier;Jérôme;2002;6.566;11.136
9;guillaumebenard;bkgwYAlF2#59;Barbier;Élisabeth;2003;18.388;5.284
9;patriciaarnaud;z_X$wB36rjY1;Brunel;Océane;2002;4.197;15.842
9;malexandre;(cD!m__PL5&v;Louis;Christiane;2002;18.616;7.607
9;dbesnard;rX(50WHvnKep;Valette;Océane;2002;3.379;10.18
9;gerard69;^x4gt0Avzf@T;Samson;Léon;2004;11.085;12.091
9;guillaumeriviere;#05AVBltDGTk;Boucher;Françoise;2002;7.571;3.783
9;znicolas;(3VUsYna$9k9;Morvan;Zoé;2002;15.868;15.661
9;clairesamson;3(5xTkj7r!!T;Lagarde;Tristan;2002;14.331;6.041
9;benjamin81;F@W+KZtL0%0h;Lebon;Maggie;2002;12.522;18.548
9;zrobin;%f*2B!gl!pQK;Evrard;Mathilde;2002;14.688;16.848
9;maryserocher;y77@TfEp^nFR;Lecoq;Chantal;2002;11.8;9.231
9;augustegiraud;^+01##w2L&%Y;Bodin;Valentine;2003;3.22;13.045
9;halves;@5V@Bp)TvSYk;Petitjean;Thierry;2002;12.162;8.1
9;yclerc;3*V%bIV6@dXj;Allard;Émilie;2002;11.038;3.983
9;grenierbrigitte;8v6nAhcn#0#Q;Coulon;Éric;2002;3.671;16.213
9;patrick77;k4t91ix+&CLV;Lopes;Danielle;2003;18.802;10.865
9;rpelletier;N@kWy5Y)vb0D;Briand;René;2002;19.412;11.939
9;martine24;(D@Lt@i$7X8w;Salmon;Charles;2002;10.78;3.2
9;oliviertexier;m3eqKtcN!_@4;Alves;Guy;2002;5.499;10.791
9;bigotlucy;)1D*7NvZdyl2;Marty;Susan;2002;7.411;10.759
9;jacquelineguillet;@i6No6e&FX*J;Maury;Odette;2002;10.612;11.864
9;guysanchez;V@7RAskr&8QO;Chauvet;Élodie;2003;12.014;9.803
