idLycee;login;password;nom;prenom;naissance;note1;note2
10;julie29;8&yLfsZ%+4bJ;Baron;Odette;2002;5.429;12.383
10;agneslegendre;^@ipMjO6gSK9;Devaux;Eugène;2002;13.929;13.801
10;benjamin51;!2)ROXylvEPL;Blanchard;Thibault;2002;6.328;4.789
10;claude95;Vz&+Qx904^&5;Mathieu;Zacharie;2002;4.662;7.999
10;alix24;$MC*gocXdO4^;Maillet;Alice;2002;2.54;7.805
10;bouvieryves;$GZ^h@Fr^0H7;De Oliveira;Pierre;2002;18.886;14.873
10;auroreroux;EX(OExJkGKE7;Collet;Agathe;2002;15.28;18.406
10;arthur82;f+9P3e0h^7!s;Boulanger;Joséphine;2002;10.163;9.707
10;georges75;^g7ofRyCP%T_;Weber;Gérard;2003;4.009;13.816
10;marianneroussel;N(92J3jeU3zT;Delannoy;Georges;2002;9.445;4.122
10;henrileblanc;3$jwbHLr!)85;Marchand;Nathalie;2003;2.241;13.206
10;ydidier;28kDisn4!h5c;Bernier;Lorraine;2002;10.219;6.792
10;lucdumas;&2aVUQOu5eD#;Hamel;Bernard;2001;4.621;17.707
10;nbodin;d$3!YIw5ba1F;Hernandez;Pénélope;2001;2.276;12.128
10;orobert;1U*&1H2g@+^A;De Oliveira;Cécile;2002;15.688;9.732
10;andrejean;n))&p4EmFMsk;Lemonnier;William;2002;8.747;16.219
10;andreedubois;$8ic)aAp_MSq;Blanchet;Valentine;2002;17.709;12.308
10;timothee14;U0!AONPd%(65;Besson;Laetitia;2002;15.01;7.898
10;adelaide60;14(wMzMc)H^s;Cohen;Étienne;2002;14.752;3.544
10;vfaivre;*CtNPm3fy9ki;Navarro;Amélie;2002;14.414;6.913
10;paulette11;pF645#rk9*uN;Morin;Stéphanie;2002;9.637;5.888
10;edith42;*86Vo+c6GoQ@;Maillot;Guy;2002;4.297;15.279
10;danielle53;@B^BK2Vi)5Gh;Berthelot;Frédérique;2002;18.353;7.877
10;etienne72;!dTbRz%!5$@7;Barbe;Thibaut;2001;9.241;13.261
10;therese33;21MyTAfP@&)L;David;Valérie;2002;15.504;14.287
10;nlecoq;&$DUNd1g^6NA;Guillet;Augustin;2001;17.666;13.065
10;marcelleimbert;s&1It9SigCJN;Gilbert;Denise;2002;15.996;6.99
10;manon05;jKQM6D(nl1a@;Leroux;Suzanne;2000;3.937;18.069
10;pierremeyer;%9@@i0jVNQUJ;Barbe;Élodie;2002;14.831;6.273
10;thierry38;)5J*KT%^8P6j;Gauthier;Émile;2002;2.824;8.912
10;henriledoux;Ta+8DtN!3xjX;Berger;Maryse;2002;4.062;12.89
10;eleonore72;SThqll@j&(d3;Etienne;Claudine;2002;17.131;18.299
10;umasson;#S9rTIhY(%Qv;Dumas;Émile;2002;11.043;14.351
10;manon83;al97bp^_+imD;Couturier;Noël;2002;6.842;9.931
10;sbazin;#10%46evXeTg;Dijoux;Nath;2001;18.164;6.686
10;margotweiss;tg!Ixwxrh5f*;Muller;Diane;2002;15.931;8.828
10;ldelaunay;5MaZ5&QsX&+O;Remy;Thibault;2002;3.115;7.729
10;bruneaumathilde;%obamer9%9qH;Legrand;Andrée;2002;17.16;17.125
10;sebastienclerc;(Evm7Mqk&&($;Weber;Margaux;2002;5.627;11.204
10;legendrehenriette;%cyOHxCql#9z;Couturier;Adrienne;2002;14.125;17.39
10;deschampsstephanie;$Cq+)Fu2a9#8;Sanchez;Guillaume;2002;19.247;19.264
10;gonzalezjerome;#9u0G9nJ3qLZ;Fernandez;Honoré;2001;13.372;7.737
10;reneemartel;d+v&XqaK1!0Y;Mary;Audrey;2002;19.769;14.708
10;guichardmarianne;BlX_Gj9Pj)8$;Bazin;Océane;2002;12.687;11.198
10;catherine37;^KHi8BJaRhr);Samson;Maurice;2002;2.851;8.697
10;paul02;#1JD8yFo^^a&;Allain;Étienne;2000;17.021;19.548
10;tguyot;(t8AL3rS_JJ7;Henry;Laurence;2002;17.464;18.238
10;natholivier;A1pfaDmr#G+m;Levy;Christiane;2002;16.795;4.351
10;colette75;I_FlRToK+j%1;Brunet;Corinne;2002;16.618;16.078
10;mboulanger;F2bBVeo1*e8u;Gomez;Diane;2002;12.909;3.824
10;gauthiernoemi;1d59+G2oSmj(;Francois;Anouk;2002;7.016;9.992
10;rossistephanie;f3tHcHuynQt%;Adam;Inès;2002;6.201;5.425
10;henriette72;Ato2J8W^C@eY;Mary;Gilbert;2002;3.335;18.339
10;bcaron;*3D$s71af9hW;Pottier;Lucas;2001;7.115;8.095
10;stephanebertrand;+5jJWuwtv7g2;De Oliveira;Christine;2002;14.005;9.977
10;valerieblanchet;dY9BXQ%m&z^K;Moreau;Christelle;2002;7.21;16.64
10;xphilippe;anyK2MTqhfE+;Carpentier;Denis;2002;8.704;3.965
10;ochauveau;eVQ7b)Tj@5^J;Adam;Frédéric;2002;9.057;11.052
10;anaiscordier;SaI9h4s1^(7b;Gomes;Margaud;2002;2.025;13.465
10;margotcarlier;$T#__Utm+7&Y;Texier;Alex;2002;4.134;12.786
