idLycee;login;password;nom;prenom;naissance;note1;note2
11;noelandree;*P2(Uq7jY62m;Weiss;Roland;2002;5.198;19.827
11;charlotte09;sS!kGGp2rer7;Girard;Suzanne;2002;13.919;12.716
11;bernardpineau;N_Y$7fNi)M3D;Remy;Auguste;2000;9.113;4.764
11;agnesalexandre;1iuHsXK9$LKc;Maillot;Victoire;2002;6.819;9.586
11;pletellier;*gWMHUOvv058;Costa;Aurore;2002;12.761;6.495
11;etienne97;)_DAhRPqh6Kg;Wagner;Jean;2002;11.563;15.356
11;lgomes;u4N+DGdd+ul0;Pasquier;Jeanne;2002;8.476;2.479
11;anoukdupuy;#m3N1ti90m8I;Marques;Dorothée;2002;12.345;3.688
11;umendes;))83lLvk$L_z;Perret;Audrey;2002;19.14;6.659
11;ollivierolivier;4s^7(Aptb*Nj;Fournier;Charlotte;2002;5.793;17.978
11;cecilelamy;!jLDXlMlE%9(;Merle;Margaret;2002;12.978;9.25
11;grondinclaudine;#4SAxM*y7j0t;Gilles;Martine;2002;4.244;13.221
11;sabine34;F4gWoC_E*AK&;Costa;Margaud;2002;16.135;7.884
11;bigotpenelope;e+4rm5EnieVp;Chevalier;Laetitia;2002;15.48;4.07
11;elisabethalexandre;_J8Z3Geu%rq&;Robin;Eugène;2002;12.152;14.737
11;bribeiro;*HiSkWey+xY1;Diallo;Audrey;2002;16.536;19.982
11;charlesvalette;_0ZrDXaorGz5;Lebrun;Aurélie;2002;9.659;17.491
11;lmarin;Yz8DMJrTq@SU;Pineau;Rémy;2001;9.467;6.154
11;jlemaitre;tZ0uVkaF#(8n;Mallet;Pénélope;2002;4.575;8.751
11;julienle-roux;&3Q8g@vD2)g0;Didier;Suzanne;2002;13.022;15.506
11;bessonconstance;t0g75DwZ)1w!;Petit;Marguerite;2002;16.459;4.197
11;celinaferreira;(jUq3Lfvl4F^;Leduc;Vincent;2002;14.0;3.276
11;olivierleclercq;l)jAvHeo%^K2;Pires;Julien;2001;17.095;5.366
11;devauxclemence;c5B)2nuM(6jr;Martinez;Marine;2002;14.799;15.938
11;sfrancois;7+^5PVNcuB3^;Jacquet;Manon;2002;13.933;7.673
11;tbrunel;rv6NWpWZHA%@;Michel;Margot;2002;7.32;14.646
11;benjamin25;X*8#5XWts6O5;Jourdan;Théodore;2000;13.941;3.04
11;huberthenriette;#nV49PiXy4CQ;Lamy;Valérie;2002;13.216;12.349
11;fredericjoseph;pqW3fBkzDZw@;Bruneau;Maurice;2002;14.195;16.084
11;franckleclerc;oL$NC7kNXY8m;Bonneau;Margot;2003;15.317;8.988
11;fouchergeorges;XYLlAC+F3se+;Simon;Nathalie;2002;8.057;16.976
11;theophile86;wQB2$RmA)4^p;Gautier;Juliette;2002;8.467;7.644
11;gabrielseguin;(ZkjYwtd5MTB;Alexandre;Philippe;2002;8.139;12.953
11;jacquesjoubert;P4J_PpWJ8rAl;Brun;Margaud;2002;11.178;8.83
11;sdenis;6nG1Kekc$P*E;Fischer;Élise;2002;4.919;13.066
11;lecontevincent;&ibEoRrHP8(A;Boutin;Marc;2002;16.134;11.968
11;umathieu;wM6t5@bbV#Nq;Duval;Jeanne;2002;17.986;15.842
11;colletsuzanne;RuGMc+qb&9Bb;Levy;Anastasie;2002;11.331;15.448
11;marguerite47;C&6ibuP#*OY1;Potier;Zoé;2002;13.243;10.471
11;vparent;&7)Z!ksmW4U&;Georges;Zacharie;2002;14.88;12.552
11;anouk89;2cREU(4A+J4r;Weiss;Christine;2002;11.626;17.686
11;yjean;p$c6dmve&P0I;Lucas;Suzanne;2002;9.877;2.187
11;jacquotgilles;O@$XpVHgiJ3g;Morvan;Adrienne;2002;12.264;11.094
11;reneevasseur;_m7Raov3A*V6;Lecoq;Geneviève;2002;19.729;18.619
11;caroline90;15VKUAvn&CGN;Bonneau;Timothée;2002;6.519;5.149
11;kjulien;Fe50TQQn(!)+;Tessier;Victoire;2002;16.886;17.968
11;zcourtois;U!P(m9(SZ7$r;Perrin;Laurence;2002;10.584;19.496
11;langloispauline;vAJWdNO0%1*+;Auger;Manon;2002;13.076;19.554
11;sbaudry;Rv0bBtinaw^R;Fischer;Laurent;2002;2.997;8.691
11;charleslaporte;37pE6282&g%R;Roger;Christelle;2002;17.69;15.455
11;chauveautimothee;MnB(VyleU^6V;Bazin;Gabriel;2002;7.239;2.295
11;bousquetvictoire;2z1sxwb4d!DE;Carlier;Nathalie;2002;3.198;19.082
11;marycamille;72I1jNHP@M@X;Le Roux;Marine;2002;17.931;15.043
11;bruneauandree;x4gKqsTa)2VL;Gomes;Michelle;2001;6.923;7.809
11;pferreira;_(y3TGqE5DnI;Diaz;Olivie;2002;4.873;4.987
11;adelaide29;+(D&QsdU^7YC;Gomez;Anastasie;2002;10.02;10.66
11;alex49;+ubU8Dwv)AC9;Hernandez;Paulette;2002;14.548;11.428
11;zallard;)2AZh+elRWlh;De Oliveira;Danielle;2002;6.298;6.829
11;fernandesphilippe;F6pHqlt_!xOv;Huet;Roland;2001;13.017;19.121
11;cousinchristiane;61UaJi%P7!w_;Hebert;Frédéric;2002;12.538;7.191
