idLycee;login;password;nom;prenom;naissance;note1;note2
13;marcel68;r91)BpEJjYUW;Leclerc;Alexandre;2002;2.841;10.85
13;marcelle77;$3dJI&Sy)9Qe;Dupre;Margaret;2002;7.234;6.198
13;hcharpentier;C&L)dYlRm!@1;Lejeune;Thierry;2002;15.02;10.034
13;zacharie49;*790Vs7k5p+!;Camus;Stéphane;2001;19.033;15.033
13;marquesmatthieu;160kmTxv*GAo;Vasseur;Élisabeth;2002;19.427;2.018
13;benjamin36;IOfS6*ZmO*7S;Lebreton;Pauline;2002;16.679;2.802
13;rodriguesmargaud;_8zWcd5n0u1p;Jourdan;Denise;2001;4.786;9.832
13;daisylebreton;GFDwjT2k)4IT;Millet;Camille;2002;19.049;14.537
13;ahubert;WaFkQ9U_z^5q;Ledoux;Suzanne;2002;13.422;4.376
13;herveroland;^&9@bAlaHrsE;Colas;Raymond;2002;14.376;2.122
13;anastasiemarchand;!(JM9rCtyziA;Rolland;Nathalie;2002;17.457;17.289
13;ocouturier;Pt6wz@gv)^BM;Daniel;Margot;2002;12.917;6.445
13;hugues83;cOHxN^0gF_7I;Buisson;Émilie;2002;14.315;14.923
13;martinedupre;j44*lQPk$WzV;Gonzalez;Alphonse;2003;10.485;18.178
13;victormarchal;y0bPtwmK#3iw;Schmitt;Aimé;2002;9.872;5.581
13;rochephilippe;Eg@TRcfA@1Tb;Dupuis;Philippe;2003;10.846;14.51
13;de-oliveirasusan;zFF7ZWwhK#F*;Barbe;Dorothée;2002;12.223;7.51
13;roland23;!yGI@mt#I5VO;Launay;Tristan;2002;6.851;2.089
13;carrebertrand;!dTO%Dwt4jN4;Fouquet;Nathalie;2002;10.093;16.54
13;thierry64;9g^LhA$s_eyl;Pierre;Roland;2001;13.581;6.961
13;cordierisaac;TqR7+TpzK%uZ;Leduc;Maurice;2002;11.225;11.223
13;honoreweiss;&0i%AqAj*@Ev;Jean;Thibaut;2002;10.475;13.371
13;galletmichele;n_@aCrH)nFB2;Laroche;Arnaude;2001;8.749;10.861
13;benoit11;4fedJ#Ly(1W@;Pires;Margaud;2002;9.614;19.275
13;oda-costa;C#1!gL3dB0pL;Goncalves;Gilbert;2002;2.698;5.475
13;brigitte04;t+54gA&cSsCu;Charpentier;Aimé;2002;3.371;2.659
13;sabinegerard;wmbV1A+iDd6%;Leroy;Marc;2002;16.155;13.468
13;maryse17;rG8p7J8lHI+^;Diaz;Antoinette;2002;5.076;4.488
13;michelelebreton;^Ry&FDcAZV6a;Auger;Roland;2002;3.642;14.926
13;albertsusanne;&@D8B$NJchlx;Collin;Françoise;2002;10.576;11.848
13;odetteleconte;8XnJht$d$Gx_;Delorme;René;2002;8.415;9.444
13;alain74;_ICv1zZP#9Sl;Vallet;Jacqueline;2002;4.15;19.282
13;omasson;%V^Xi^zP47LR;Toussaint;Théodore;2002;19.513;18.56
13;tgonzalez;_dGwPRyO4A3t;Chauvin;Alexandre;2002;15.615;5.581
13;marie82;*U7o@ZGsw0^M;Monnier;daisy;2002;4.575;7.428
13;kfernandes;jY$3#1Bf)lSc;Peltier;Honoré;2002;9.486;14.252
13;michelle23;(5Vq%zwq7bBx;Faivre;Denis;2002;9.429;19.061
13;josephmasson;zsMon#*^@g19;Fontaine;Maryse;2002;9.787;17.464
13;augustinguilbert;^D7zpbX85foF;Bailly;Aimé;2002;19.887;2.781
13;bruncolette;18wsaX^l!VY^;Renault;Augustin;2002;18.806;13.109
13;dominique07;nD*KHfw@Ezc3;Masse;Suzanne;2002;4.352;17.162
13;juliettejoly;k3Y^tb&G$Ihj;Bonnet;Stéphanie;2002;8.38;2.754
13;guillonpenelope;d1LM)8Ra+Efx;Brunet;Henri;2002;2.846;14.212
13;vmorin;^b(8T6dDgfQZ;Guillou;Lucy;2002;10.965;2.923
13;wvincent;U6Bg%V2vSbr(;Bruneau;Brigitte;2002;4.105;9.893
13;baillymaryse;9P47Eer#Z@ga;Goncalves;Benoît;2002;11.666;3.133
13;marieribeiro;$gX3^A8Dx91J;Leger;Françoise;2002;4.379;11.755
13;josephine22;zgoV8Jth)2hM;Chevallier;Patricia;2002;10.953;6.681
13;josette68;fJ3(orj*Z*WD;Barbier;Éléonore;2001;4.156;3.702
13;adrien80;*D8kyhoxzBCu;Delmas;Gilles;2002;10.711;17.634
13;gaudinmarc;Z^uHF9@mmXx8;Teixeira;Odette;2002;7.52;12.06
13;briandgabrielle;@mr3Goqt0@bh;Menard;Aurore;2002;13.621;9.518
13;zchauveau;e%QpJTMl!mI6;Letellier;Claudine;2000;3.507;3.443
13;suzannepages;#LewxnRh06Ka;Lagarde;Nicolas;2003;6.221;15.162
13;fleuryroger;pfR@YX!oc%E2;Duval;Richard;2002;9.745;18.872
13;clercmaggie;*Z*o0ZCG3rW$;Tessier;Olivier;2001;4.738;15.896
13;daniellelaurent;R6ML+&ax^TIm;Traore;Aimé;2002;13.515;17.909
13;emilie86;#D5Vn7s%3iFk;Blanc;Pauline;2002;2.118;17.269
13;lejeunesabine;y$*FMt5Os766;Paul;Victoire;2002;16.258;14.952
13;paulrobert;B7wbFVRk@OjM;Letellier;Diane;2002;4.564;6.58
