idLycee;login;password;nom;prenom;naissance;note1;note2
15;bernieradrien;@a_QG(PfO^i0;Letellier;Anastasie;2002;15.358;4.382
15;jblondel;+OsoSMBsb1ZS;Bonnet;Renée;2002;13.836;4.025
15;theophile32;_tX1Yc&l2erE;Schneider;Françoise;2002;3.069;6.965
15;isabelle89;suPwlnTeX)37;Guillaume;Georges;2002;12.14;5.926
15;jmaillard;L5XAFrtq^woF;Bernard;Juliette;2002;6.25;14.536
15;marc05;E(h&Knohe$69;Hamel;Alix;2002;12.431;6.825
15;lejeunemaurice;#2%@_a&K(!K#;Valentin;Anouk;2002;13.939;5.764
15;barremichelle;#l^7vEdMggYA;Langlois;Thibaut;2003;6.149;12.901
15;pdupont;xh4Q68aeVb@O;Weber;Élisabeth;2002;4.57;15.376
15;edelattre;Pz&*EQsve6Gz;Henry;Marie;2002;3.828;17.659
15;sophiepottier;%m#1qO_ln6jV;Mallet;Étienne;2002;16.304;7.528
15;xleroy;e(9@^qKmb+MA;Rossi;Marianne;2002;17.846;10.505
15;henrirenaud;Tyw1KbgwA*W+;Lamy;Éric;2002;15.972;16.076
15;martin21;QcD7WgzOz&&Y;Millet;Victor;2002;10.159;3.082
15;mullerjulie;mwTeGZk7_1Cx;Michel;Colette;2002;7.172;12.326
15;william97;)03Rc_)enui%;Barbe;Édith;2002;10.208;7.614
15;ogomez;%^502UZlpLyo;Gauthier;Marthe;2002;3.78;8.616
15;navarrooceane;$lMYuYBUj9t3;Ribeiro;Jeanne;2002;17.983;12.852
15;dhardy;p1(le1Wt@4Wj;Collet;Zacharie;2002;6.849;13.318
15;thomas36;^91%RM1OdcFK;Rolland;Thibaut;2002;12.14;15.689
15;lefevrenathalie;%iD92nKco92X;Carpentier;Dominique;2002;5.581;15.632
15;denisdias;$AU0#$dyGvz0;Masson;Nathalie;2002;7.455;13.606
15;jourdanjoseph;Q3E!*KAX)6ph;Berger;Pierre;2002;13.865;15.802
15;chantal81;#3uNxyncxSDa;Lecoq;Antoine;2002;3.451;4.388
15;qcosta;57R*NbguA04C;Leblanc;Benoît;2002;14.262;9.788
15;lebondiane;KBTikCP()8$K;Bouvier;Dominique;2002;11.549;10.7
15;bodinyves;K8Oje%e+^jDL;Coulon;Matthieu;2003;15.969;16.634
15;imaillard;Y_CzWQg@Sz1V;Morin;Christelle;2002;4.868;8.885
15;christiane58;wq0LzvJh%z&E;Brunel;Marine;2002;13.595;19.545
15;rroche;#+8owQ4XtwDN;Lambert;Colette;2002;10.096;13.734
15;gayadrienne;$&5LSxLA^41c;Bailly;Marine;2003;6.969;11.367
15;ofischer;RB_CoSMo*P8K;Berger;Nicole;2002;8.66;16.591
15;jletellier;ev_bwUw5W+b5;Levy;Isaac;2003;5.604;2.707
15;lombardalex;_Z$8xF6s0917;Rousset;Alice;2002;7.182;18.563
15;turpinlucy;5y1MlO%xv&^E;Etienne;Louis;2002;5.86;19.389
15;corinnehernandez;9@2^H7UmISoC;Bouchet;Danielle;2002;17.956;9.34
15;lucecordier;K_BZ&&)d@9^p;Courtois;Adélaïde;2002;3.724;7.765
15;rhernandez;&zxZc1Jyg6)w;Maillot;Maurice;2002;3.109;16.421
15;charleshebert;U!Unz7Fi78ZG;Rey;Eugène;2002;7.024;12.514
15;christophe55;kF6G3qVKA#^W;Devaux;Édouard;2002;18.978;18.845
15;ythomas;%%yDJtdUMQ8t;Weber;Lucie;2002;8.864;11.597
15;agathemartineau;2tgRDyb132D%;Le Goff;Julien;2002;18.177;2.267
15;laurent43;U_6OaXh!X$uh;Da Costa;Céline;2002;19.092;6.275
15;anastasie34;v9VcNgV*qFI^;Lopes;Christiane;2002;12.119;9.469
15;lebretonalex;^d6!Nh(iP%94;Lefort;Hélène;2002;19.955;18.409
15;lagarderaymond;N6$wyV^4_krU;Tessier;Mathilde;2002;3.97;17.615
15;gabrielle29;Wlqn5AKjX&N_;Raymond;Élodie;2002;17.031;2.693
15;massonelise;R_17nvzf%_YW;Labbe;Henri;2002;10.8;18.941
15;christinelemaire;Gj1uoA5P_sBL;Da Costa;Élisabeth;2002;17.308;12.123
15;marcelcolin;Ez*8#dHYs)JQ;Letellier;Sylvie;2002;14.042;6.397
15;hleveque;1_8i1JvedcLj;Bernard;Théophile;2002;4.955;3.535
15;descampscharlotte;wim^2ixv74_H;Jacquot;Astrid;2003;8.976;3.636
15;raynaudsusan;1KeMt30s!5bn;Guillon;Margaux;2002;18.15;9.642
15;bbruneau;IRQTOk#B#9+L;David;Gérard;2002;18.63;14.145
15;sebastien99;&M(fvBMT15Wz;Lenoir;Henri;2002;14.684;15.414
15;alfred91;r(cmJj2NFW4C;Brunet;Adrien;2002;3.034;15.269
15;jules92;od*3xHXw^kFH;Roy;Gérard;2003;5.083;8.852
15;legermaurice;&D21TVSglC!B;Briand;Alexandre;2002;17.633;7.352
15;le-goffisaac;a$8R6pHq(TU1;Diaz;Thierry;2002;17.335;15.23
15;abourdon;!$4XHtdt$#N4;Lemoine;Alexandre;2002;18.151;7.216
