idLycee;login;password;nom;prenom;naissance;note1;note2
14;fontainecapucine;pjHP9KcTOL&y;Techer;Augustin;2002;2.097;14.242
14;marie44;+U7dHi5lm_wN;Adam;Astrid;2002;2.859;12.797
14;fontaineclemence;d@7ll3PR5s7E;Adam;Margot;2002;7.852;2.084
14;laure63;$G&fUvBc*6WR;Salmon;Audrey;2002;17.696;6.502
14;gcosta;Aqsw8B1G)91);Bonnin;Louise;2002;13.301;8.411
14;auguste13;o(tfBJoRvp7D;Salmon;Hortense;2002;7.774;18.155
14;michelepoirier;(mG5h$xHh7(h;Durand;Laure;2001;12.749;8.965
14;laportemarie;%6XoLark^x8U;Faivre;Grégoire;2002;12.129;4.747
14;fischerisabelle;F^9ERR#geldL;Tessier;Marc;2002;10.396;13.902
14;raubry;$gw7PucZo+hb;Poulain;Marguerite;2002;18.775;11.258
14;maggie16;X(607Ku)a%VZ;Moreau;Colette;2002;3.896;4.814
14;thibaultarnaud;B9PeIvwP@sQ);Devaux;Philippine;2002;16.795;11.74
14;jerometexier;f*0NBEaR$C^y;Texier;Roger;2002;15.676;15.853
14;bouchervalerie;iu&73N2o4(v9;Gosselin;Laure;2002;9.341;8.255
14;pottierdaniel;8(#5m&Kt!O4A;Leger;Victoire;2001;12.125;9.195
14;huguesmichaud;hyaNQqPli()1;Marin;Lucy;2002;5.687;7.761
14;meunieragathe;6bd*Ucg!%lWu;Marchand;Guy;2002;13.08;10.521
14;julien55;^o7F!m(c@XtP;Maillot;Thibault;2002;17.729;12.893
14;ybreton;%3IhUUDqzYck;Perez;Lucy;2002;19.384;11.757
14;juliettechauvet;ad5CE5diJC!B;Jacques;Adrien;2001;14.804;7.247
14;cordiertimothee;Q&fQ8FbMstn@;Guyot;Zacharie;2002;6.046;18.009
14;philippinedescamps;K80yOIHb!K&6;Masse;Paul;2002;16.3;14.989
14;oweiss;^74Wkc)I0yT3;Merle;Louise;2002;18.739;3.513
14;benoitdupont;+e7a1jg&#(OW;Herve;Eugène;2002;8.545;18.41
14;margueriteverdier;#7kEOInXPtgr;Roy;Emmanuel;2002;18.523;15.254
14;monnierchristophe;$WnD1A6q0s!i;Noel;Gabrielle;2003;11.839;3.598
14;valentine13;&&$BZakyJ54L;Lefort;Aimée;2002;16.388;7.68
14;udavid;)b6x@SqM7Ru$;Cohen;Guillaume;2003;6.581;18.997
14;zlenoir;4zV)4aLr_gG6;Neveu;Gabriel;2002;17.506;12.538
14;marcel37;b*%q03Yik(7a;Leblanc;Anne;2002;7.371;11.53
14;nicole03;7HZPgwMT*bSl;Duval;Julie;2000;3.273;10.987
14;lebonhonore;a6u04hcY_u8E;Jacques;Gilbert;2002;12.292;10.621
14;andree49;&!@#5Yy(DBZn;Bousquet;Christophe;2001;8.036;9.916
14;zmathieu;lOK4hHDW#D@c;Pruvost;Mathilde;2002;7.118;8.27
14;aurelielegrand;!CnRZX&a)M4y;Klein;Laure;2002;3.7;14.196
14;corinneaubert;&8s3YvK57n)_;Laporte;Renée;2002;15.391;11.761
14;victor14;gm)xX%oAp@61;Gilbert;Geneviève;2002;3.374;18.525
14;julienoceane;$U5Pvn&wj_0I;Martel;Martine;2002;10.236;18.469
14;carolineleroy;vkQ6YrwT*1M!;Gilbert;Jean;2002;17.678;17.99
14;ferreirajacqueline;&ODFUj*A&Kf6;Pascal;Alice;2002;18.869;16.806
14;alainvincent;WxvYDh$d0$67;Lucas;Aurore;2002;19.061;11.048
14;alfred69;&3uM*6@igz)@;Bernier;Julie;2002;12.524;4.278
14;rgodard;^Gt1qJvnhx7y;Joubert;Nathalie;2003;11.912;2.638
14;jacobmargaux;BQ5UbO$q@$SI;Boulay;Raymond;2002;12.092;17.508
14;vrodriguez;+^JVQL19Kd1F;Riviere;Marine;2002;8.019;10.798
14;vincentgrenier;1k$2aL9pdTmV;Hamel;Mathilde;2002;19.919;6.275
14;tristangiraud;$D49BnCm5PVV;Tessier;Juliette;2003;16.817;12.505
14;louis96;*3C(cOw(@qxS;Regnier;Zoé;2001;3.042;16.647
14;nhenry;fkSHYPvP^VB6;Cousin;Gilbert;2002;19.722;2.563
14;valentine11;!0KJYCht7!$*;Perrot;Frédéric;2002;13.28;2.615
14;fontaineodette;FXU1YptDi7v_;Couturier;Lucas;2002;10.959;16.514
14;thibaultodette;j029Z9s(+PrA;Bouvet;Michelle;2002;15.411;15.518
14;victoireblanc;D@*8lOWn^Nd^;Rodrigues;Alex;2002;7.785;10.46
14;zboulay;@hQ5Sm(zLD0);Berthelot;Nicolas;2002;5.108;5.797
14;vthierry;0jSQbv(u&LNy;Roger;Françoise;2002;6.139;16.534
14;noelgillet;rFd*5WJv2_J&;Carpentier;Alexandre;2001;12.089;4.849
14;eantoine;N34TSgmjq$nt;Mahe;Claudine;2002;10.09;3.164
14;lesagemarguerite;O)ZV3TOezN(T;Weiss;Lorraine;2002;10.649;6.81
14;yjacob;hlAxS7!G_0nJ;Chartier;Rémy;2002;9.188;13.921
14;kchretien;tFWq@S9gZ@@9;Lefebvre;Renée;2001;12.639;18.512
