idLycee;login;password;nom;prenom;naissance;note1;note2
16;lboucher;D75sP&g@Bw$x;Bernard;Philippe;2000;17.201;9.891
16;kberger;)5BP$FjicHp4;Charles;Grégoire;2002;18.745;8.26
16;uweber;P6NKQ6ul@iO4;Pineau;Claudine;2002;4.07;15.622
16;susan93;rYi4yx*!^YPS;Noel;Renée;2003;4.824;9.532
16;augerleon;ES^7I#bI#1dR;Costa;Marcel;2002;7.732;12.52
16;imoreau;%6w9RxYrj*3O;Seguin;Margot;2002;13.598;19.908
16;oliviebenard;&9!%P+XzK*)3;Prevost;Lucie;2002;18.446;11.626
16;alphonse91;2i4@smlaRCiE;Langlois;Roland;2002;9.512;19.75
16;qallard;*0kCtVTiI%iJ;Delaunay;Alexandre;2003;7.672;8.197
16;mboutin;+!ZgPx&dI30O;Laine;Josette;2002;3.25;19.803
16;philippegilbert;!Su2Lp)GvL&r;Poulain;Franck;2000;6.136;4.232
16;rivieregenevieve;$dTUZLuaG_3v;Perrin;Valentine;2002;14.087;6.741
16;gilletanne;awi4p5ue^9&F;Olivier;Marcel;2002;10.77;2.112
16;croy;H+MR@2FbG$$n;Lemaire;Matthieu;2002;3.452;5.837
16;sle-gall;*l%1XnL0u(XZ;Marchal;Auguste;2002;3.554;6.022
16;roussetfranck;O$WQQN4f2x7!;Deschamps;Alex;2003;18.931;7.914
16;rjourdan;%s5gn@Ez4OB*;Courtois;Michelle;2003;12.302;9.038
16;rocheroceane;%JYOmPY23U2#;Robert;Daniel;2002;4.132;6.85
16;barnaud;@KQ_3Lz437RI;Da Silva;Virginie;2003;13.735;4.473
16;martinsabine;NSk#B#kyD)6z;Jean;Isaac;2002;8.121;17.752
16;marinarthur;!dX7)F8E&1FS;Maillard;Adélaïde;2002;16.998;2.103
16;corinne82;%bLQxWis8Eg7;Legros;Benoît;2002;7.338;8.712
16;pichonlaurent;J@&E4Zg7iIcb;Francois;Adélaïde;2002;14.654;12.64
16;legrandlouise;n+P8kClL%Crq;Mendes;Renée;2002;9.391;12.037
16;bousquetwilliam;83A2O5fGq(5X;Munoz;Madeleine;2002;15.962;9.393
16;benjamin54;$Y8P*NpiF%_G;Simon;Marc;2002;12.835;8.487
16;alopez;wSf()o0cZ^0P;Guyot;Frédérique;2002;5.02;2.205
16;fourniersylvie;%#RvutQm+57T;Prevost;Jacqueline;2002;5.504;12.134
16;nathaliemahe;J4R550Zsf%FA;Gilles;Inès;2002;4.919;3.946
16;alphonse16;qw6rUegkB#(j;Regnier;Luc;2003;18.058;11.417
16;rogeradrien;K8DOGPqb*wK_;Petitjean;Noël;2002;16.428;3.278
16;colettemallet;r8F3TBSlL&qu;Pottier;Édith;2003;6.623;2.468
16;hrobin;(&LvPj!y588^;Vidal;Dominique;2002;17.147;8.803
16;dle-roux;U3TlvfXu#WPi;Gillet;Luce;2002;16.492;3.545
16;andre82;vy1#7!Em%L8D;Godard;Chantal;2002;9.888;8.926
16;jeanninealbert;c$SN8@T1GvZ8;Pinto;Noël;2001;13.197;12.417
16;bessontristan;r*7YEMIkr_8V;Berthelot;Lucie;2001;12.69;3.832
16;andrethierry;es$0N5iC@%dZ;Hamel;Anouk;2002;16.015;7.12
16;nicolasdaniel;+vGI2x+Jk9E+;Camus;Noël;2003;8.283;16.002
16;mullerhugues;!z34R85jjMK(;Leleu;Luce;2002;5.116;5.278
16;valleelucas;5HD#YhgCo72Y;Renaud;Pauline;2002;14.783;17.886
16;rossialexandre;q9qoXqK2(6ot;Lebreton;Claire;2002;6.883;16.416
16;philippe44;HC7Jy$i#$tZI;Roger;Alex;2002;17.95;11.351
16;jpascal;N+3Ln4@m*tu%;Maurice;Agathe;2002;4.378;4.668
16;marysegimenez;(*5k@_uKvaQy;Lucas;Brigitte;2003;8.416;15.732
16;laurentleger;*GVTV4zBo2Y0;Bouvet;Noël;2004;18.484;17.382
16;vcourtois;^)7OqDrhe38N;Briand;Philippine;2002;2.507;10.59
16;martinsjules;%6MWChr4v9Tk;Henry;Thibaut;2002;14.582;6.093
16;yjacquet;*78CGFn!TMGg;Lefevre;Georges;2002;13.912;12.041
16;qguyon;7J%5YvGt0@m$;Leroux;Agathe;2002;14.122;18.321
16;bernard17;P3#aUWyx_YVZ;Barre;Sébastien;2002;13.633;5.545
16;virginiecharpentier;@h(+IVhlK23u;Gay;Inès;2003;13.261;7.647
16;michelclaire;gsPh1BfdP#Ce;Vasseur;Stéphane;2002;13.323;6.767
16;robert60;gg!9ZOA+(04i;Perrot;Astrid;2002;19.48;16.958
16;daniellemeyer;FR(Wi7SvPwb);Vincent;Marie;2002;19.456;12.01
16;gillesmargot;*yuNi0AFp%V7;Fernandes;Adélaïde;2001;19.476;10.22
16;marcboulanger;yr6Q%SqA_7H3;Briand;Clémence;2002;9.987;12.802
16;adrien99;)8V)a+_n)0U3;Fournier;Andrée;2002;16.445;8.925
16;pdiallo;(8Ucef@v)EEA;Le Roux;Émilie;2002;14.74;13.813
16;xblondel;)TTSiWgQ8)Dr;Traore;Margaux;2002;13.191;2.752
