idLycee;login;password;nom;prenom;naissance;note1;note2
75;vhamon;(QB^uNa5Nm9i;Besnard;Gérard;2002;15.302;8.431
75;aroux;!2AtQ3w0RNHc;Mercier;Isabelle;2002;19.18;12.733
75;nathalie73;$@fc8Xqw6g7E;Bouvet;Martine;2002;6.643;11.749
75;mathieumarie;!COi@^YX^7iz;Poirier;Jeannine;2002;11.701;5.934
75;arthur33;vxtV0Ep!7(49;Picard;Bernadette;2003;10.237;9.02
75;galletcharlotte;@7k59Iln@gF7;Chretien;Aurore;2002;11.844;16.062
75;emilie47;$MOQh4ld17Xe;Pons;Michèle;2002;15.617;11.211
75;collincapucine;o4d_UpZ+1KlX;Besson;Jean;2002;3.146;12.779
75;catherineblot;_4wNwGc^)3a3;Peron;Zacharie;2001;5.885;19.913
75;gillesxavier;7UC5dNen+pc$;Vincent;Véronique;2002;18.627;9.361
75;antoine36;&GO6Yqnco@v0;Schneider;François;2002;10.131;14.807
75;tetienne;x&wOZPi7vb9z;Mallet;Sophie;2002;7.643;4.015
75;aime17;h3v_WyK&#v1Y;Lemonnier;Xavier;2002;4.674;13.604
75;fabrejosette;_AD*gFecVM7A;Maury;Laetitia;2003;4.095;19.895
75;frederique12;)XvVe4CSu1Lb;Godard;Diane;2003;2.206;11.553
75;guichardandree;!0BS*UJcx1xp;Cohen;Adèle;2002;8.329;15.375
75;baillyelise;J#pB4sgrN^4V;Langlois;Josette;2002;3.354;10.68
75;alice05;DjkEneNaO8w#;Poulain;Christelle;2003;4.887;8.926
75;shenry;(&7ijt!7m0lM;Benoit;Christiane;2002;16.181;6.625
75;haubert;llNu7Zjg7z1&;Robert;Benjamin;2002;13.671;3.853
75;laetitialaurent;M#!FH(i!G09a;Georges;Marcel;2002;18.255;13.627
75;courtoismarcel;H&U38Ihyn*(q;Bouvier;Marine;2002;2.725;10.548
75;bernard85;v$b2^HKBXdlZ;Fischer;Thierry;2002;19.283;19.036
75;charlesdufour;w)d!vY@wn^9U;Pereira;Élodie;2002;14.151;5.892
75;marguerite59;+1xCu9V1j1H#;Navarro;Adélaïde;2001;19.451;9.507
75;gda-silva;81DC5)e(@+@o;Mendes;Adrien;2002;12.964;6.152
75;josetteledoux;s1@g$f&#(2vA;Girard;Agathe;2001;8.677;6.515
75;aimeetoussaint;7h5TQW3kp*Ws;Dias;Gilbert;2002;15.32;12.396
75;benoit85;BbUqwF6u!8&9;Langlois;Andrée;2002;14.451;7.456
75;daisy07;c6RGte6T#udz;Ribeiro;Emmanuelle;2002;8.695;2.293
75;adelaide11;L%W7P%vgM$DN;Poirier;Charlotte;2002;19.62;11.215
75;astridregnier;q(9*)bxId3Lm;Renault;Camille;2002;16.927;18.589
75;honoreimbert;@1!mi6d8(Jmw;Raynaud;Danielle;2002;6.74;19.823
75;margauxdias;p0+$IUct#(5*;Martel;Thibault;2002;8.696;17.911
75;joubertoceane;!2GoWXX%26DD;Costa;Henri;2002;17.92;6.139
75;bonninadrienne;jyzp#oASq$9P;Lemaire;Anastasie;2002;8.725;2.963
75;bouchetoceane;#+mo0XaZy*Dv;Bousquet;Alix;2002;4.864;12.561
75;ydurand;N(gv5DyRPz_^;Giraud;Louise;2002;17.968;17.847
75;gomezconstance;hcEEpH1j+9CP;Francois;Margot;2002;19.876;3.476
75;xparent;%@0Zd*yY9^qH;Pereira;Jérôme;2002;19.893;13.552
75;letellierelise;*UQm*f@J3#GF;Guillot;Madeleine;2002;19.133;11.098
75;colinantoine;(N0oPPg!h@6@;Noel;Thibault;2000;4.723;12.991
75;francklelievre;a2+!p#Tu)@I7;Schmitt;Céline;2002;18.836;8.766
75;vbodin;ZtjW!Y6tJ(6M;Vallee;Auguste;2002;6.185;7.322
75;madeleine04;+I**nIqHh2jv;Potier;Brigitte;2002;14.012;9.199
75;dgomes;tft$u6CfQpfm;Samson;Christiane;2002;17.092;19.194
75;louisebouvet;@thxNT^80gk4;Grondin;Anastasie;2002;18.993;13.871
75;stephanie40;@nm0O)t*yQOV;Julien;Adrienne;2002;9.87;3.386
75;gautiermonique;j3BiI3sd+Hw!;Masse;Amélie;2002;12.985;15.2
75;courtoisdenise;@0LgBBqn!tv0;Joubert;Roger;2001;6.238;15.473
75;hperon;6txxuD&v!99@;Jourdan;Alexandre;2002;12.029;14.183
75;chauvinmadeleine;!o%inT)y2AW9;Morel;Odette;2002;16.543;17.673
75;kguillou;ge9SpwJa*+0U;Perrier;Honoré;2002;16.105;6.179
75;sbuisson;#h4b6m&YbT#Q;Neveu;Isabelle;2001;7.18;16.269
75;vincentdavid;AC8&4v#t8fYL;Deschamps;Antoine;2002;9.19;12.835
75;elodie71;Ee8$#Hh(Q5FP;Pelletier;Manon;2003;9.728;7.772
75;victorcarre;5B7)^OTzLr@q;Chevalier;Théophile;2002;12.268;14.985
75;honorenavarro;wF0HCRIp!C76;Poulain;Auguste;2003;9.918;13.967
75;gomeshugues;(8DoHIbyGviS;Aubert;Olivie;2002;3.359;6.151
75;zmunoz;+B_M#LdlhR3$;Brunet;Alex;2001;3.544;11.094
