idLycee;login;password;nom;prenom;naissance;note1;note2
17;marthemarin;wL6VUSm+L*RP;Gerard;Élisabeth;2002;3.544;11.242
17;evrardagnes;L7EFG93x@%aV;Delattre;Louis;2002;10.094;17.422
17;adammargaux;f+Jae8YJ9sLp;Blin;Marie;2002;19.655;6.393
17;paulette57;x$6eIf5L*m88;Gautier;Frédéric;2003;5.187;3.338
17;matthieudos-santos;P3v_MCwbn*Aa;Pottier;Marthe;2002;18.943;10.334
17;kjoly;Y+D42(HG4c1O;Mercier;Éléonore;2002;11.464;5.82
17;zlemonnier;vyb_M_MP+1zX;Hoareau;Christophe;2003;7.407;17.494
17;auguste60;Y5STm9bb(zF3;Lesage;Nath;2002;19.327;15.155
17;maurice33;)_2&XvY13c8g;Leroy;Victoire;2002;14.026;4.109
17;salmonmartine;h4iq4IoJQQ%2;Leveque;Agathe;2002;5.395;17.096
17;couturiermaurice;%HRtPU8s34+@;Clerc;Anne;2002;6.42;6.278
17;etienne86;4m1eB&a&t%DZ;Thomas;Virginie;2002;6.704;6.24
17;alexandria98;E^8Y$MUbrhR+;Rodrigues;Célina;2002;15.994;16.039
17;ghardy;lZQA*Sr#*L4G;Buisson;Adèle;2002;11.998;16.903
17;nicolasletellier;p59hOhiHK#Hj;Bodin;Jules;2002;14.848;10.618
17;levyhonore;+Ew3mHgY5sBF;Masse;Océane;2002;6.09;4.813
17;lainecaroline;@#PXH236Fc3E;Carlier;Aimée;2002;3.588;7.793
17;charlotte06;$ol0xPxbS)36;Pires;Xavier;2002;5.053;6.338
17;ndiallo;^qo#ZTqcX$81;Brun;Gabrielle;2002;3.133;5.523
17;hoareauclemence;fI4X+stZj%zU;Perrot;Michel;2002;18.378;6.272
17;thibaut67;(Xu#KsZYbD$0;Morel;Christine;2002;15.672;19.587
17;ftecher;)T@7XbNbGvc);Besson;Théophile;2003;19.677;12.882
17;luce28;&A)wEf9FYz3F;Schneider;Margaret;2002;19.36;3.81
17;isaacmarechal;$dY#Q%Uc93OP;Lebrun;Jean;2002;2.125;4.72
17;lopespauline;13)A@p0b+fC1;Duval;Adélaïde;2002;9.982;10.874
17;alice51;+6apM4CF(ZSI;Jean;Élise;2002;4.008;9.576
17;lopeshugues;2@IItIQJI77F;Gerard;Luc;2000;3.422;16.121
17;mdiaz;4vs5pWqbd)^5;Bouvet;Camille;2002;7.49;13.898
17;hamonpauline;7KIgJ8vm@E5o;Royer;Alexandrie;2002;19.187;16.315
17;thibaultmarchand;4#ZZhtm)^OP1;Marie;Eugène;2002;3.015;2.535
17;michel77;Oa1UrwDl0+3K;Rolland;Henriette;2002;3.233;6.489
17;sebastiengermain;6ego)Qri@4s$;Raymond;Dominique;2002;11.076;14.888
17;claudinesimon;o7Si%%ji&8+F;Peltier;Julien;2002;13.45;19.081
17;josephlevy;UcTHvQzV!J3S;Fleury;René;2002;6.697;19.963
17;storres;(E8Vb#_XSj&r;Roussel;Adrien;2001;10.693;15.884
17;xavier80;x%Z5@W0yv6cN;Hoareau;Julie;2002;15.639;16.648
17;emmanuel21;CyLhxkV5!0j4;Blin;Michel;2002;5.693;5.325
17;bsimon;^*57LkjQQ!4#;Thomas;Luc;2001;13.412;11.311
17;dumasmartin;)7S_EoVH2OZu;Jacques;Hélène;2003;8.78;8.143
17;hcharles;WhI$ATnE6*W8;Morel;Christiane;2002;17.711;2.665
17;jeannguyen;#xRYPhf$nU7v;Fernandez;Dorothée;2002;5.253;17.672
17;gerard72;*mulS8Oyi(_3;Gomes;Michelle;2002;12.362;14.148
17;madeleinedumas;)unsn$el4tK&;Brunel;Susanne;2002;10.939;3.364
17;malletdenis;*A^Wetpo*1l7;Chauvet;Luc;2001;17.077;18.45
17;courtoismartine;3eM(H2$wZers;Ribeiro;Constance;2002;14.721;6.711
17;hroyer;ywT*MlVKv^5u;Renard;Michelle;2001;7.315;15.232
17;brigittebernard;Fc@k2JaHT_rC;Schneider;Zoé;2002;19.523;2.833
17;francoisebecker;R9WNX&Af&Tgf;Verdier;Lucas;2002;2.126;9.029
17;jolyzoe;uR4UdMpr@P!2;Le Gall;Sabine;2002;7.981;9.716
17;jleleu;1m_gDSWe^2d7;Jacques;Laurent;2002;11.047;12.162
17;grondinemmanuel;$!o3Y(z_j@5D;Goncalves;Emmanuelle;2002;10.803;9.16
17;gadam;!y5z4By(9$jr;Poirier;Stéphanie;2002;9.799;4.66
17;guilberteric;12G29N4i)GUg;Imbert;Thierry;2003;2.717;8.725
17;omaillard;*JRxUxv9#31S;Charles;Christelle;2002;10.264;14.272
17;emartinez;P7V@Ec9P)Dqo;Bouchet;Aurore;2002;15.608;9.374
17;poulainmargot;SG2EXGGk)9Zd;Lacombe;Christine;2002;3.1;13.902
17;franck01;_87wRAu6JsrA;Raynaud;Laure;2002;5.629;2.558
17;paul99;Do7GEDnt37_E;Merle;Inès;2002;10.732;13.893
17;pauline77;+a*VlAuqI#5!;Gaudin;Jacqueline;2002;5.721;19.795
17;claudine42;ar9Pv3UdF%FH;Maurice;Victor;2002;3.967;18.496
