idLycee;login;password;nom;prenom;naissance;note1;note2
18;delmaslaurent;z(3I8SNzSH(e;Leleu;Danielle;2002;19.573;13.223
18;martinemartins;9GXTLLCn_%8Q;Leger;Monique;2002;13.36;12.304
18;mercierguy;689Cmvf+v$3(;Hoarau;René;2002;6.261;10.782
18;odaniel;kg9++$6de!WY;Potier;Élisabeth;2002;11.778;3.659
18;descampsarthur;ajH0^ShlT3^B;Pelletier;Corinne;2002;19.053;13.775
18;josephinecordier;J#2Rq8)yVYW8;Delahaye;Paulette;2002;4.676;4.771
18;anastasiedenis;7l4$Sx$h*_30;Marin;Philippine;2002;8.09;13.87
18;hfischer;n@1AGjzQsA0s;Mercier;Manon;2002;15.392;10.14
18;zrenaud;$G!HTVFhY&t8;Blondel;Odette;2002;2.58;7.116
18;franck66;22x!LqvY9ejX;Pinto;Martin;2002;3.409;14.682
18;alicedias;uKt+TGmLSe_6;Olivier;Michèle;2001;16.192;18.891
18;raymond50;h%tLq2kx0v6O;Chauvet;Claudine;2002;16.456;19.423
18;oceane48;^x9L+BjevXwG;Hamon;Nicole;2002;12.789;8.059
18;marie48;QyYGlMj5*5rk;Leclercq;Thomas;2003;18.096;18.227
18;aimee76;so6V^Jr5%5&A;Delattre;Aurélie;2002;5.637;9.435
18;dorotheehubert;Q(mgpADxCtJ8;Petitjean;Robert;2002;5.116;19.651
18;lefebvrezacharie;8n8G@oz_A+rS;Valentin;Patrick;2002;11.927;18.113
18;elisebesnard;&2@cCGgIzfSN;Martin;Laetitia;2002;7.535;2.694
18;fguyot;+f7HkusTMc2P;Ruiz;Denis;2002;7.813;6.754
18;laurent79;N8Q+lwVJJhIH;Marques;Gilbert;2002;3.277;11.454
18;brigitte26;1u_f2OeEI!wn;Thierry;Adèle;2002;7.64;17.463
18;imonnier;C3HpjBB_geI&;Pereira;Zoé;2002;3.924;12.516
18;rossistephane;S*8!j1eD7IvL;Le Gall;Gilles;2002;5.563;18.163
18;denis96;Khvtw2KoW&6%;Collin;Alain;2002;15.569;17.923
18;fschneider;fe39JzwsF%K_;Mercier;Thibault;2002;5.482;10.643
18;delmasclaude;j4h!T!3z^@3);Rey;Denise;2002;6.212;11.423
18;tristanlaurent;^n02Lek93GI#;Laporte;Victor;2002;4.014;8.937
18;lebrunjulien;k!97WGddI&JC;Peltier;Matthieu;2003;13.331;16.664
18;henri47;iz+4o@amS^7V;Descamps;Agathe;2003;16.983;16.295
18;fabremichel;t*7Pg2LAz)SQ;Leduc;Alphonse;2002;14.618;17.691
18;cvalentin;!$LGcb6w&8v8;Munoz;Guy;2002;6.678;12.918
18;marc23;^Vh1mD7hO7GW;Moreau;Arnaude;2003;6.39;12.641
18;ofernandes;(^5IQPrUb0rP;Rodrigues;Amélie;2002;8.106;8.12
18;cbertrand;DIZv73vk$0JD;Millet;Dominique;2002;2.593;13.305
18;bessonmargaux;wi&42Vr5WqaG;Joubert;Élise;2002;5.889;19.603
18;virginie72;@YaQP$iu!I!4;Renard;Antoinette;2002;6.807;12.493
18;legrandolivie;&5CTUe^3&q$o;Marty;Yves;2003;5.638;10.933
18;christinebonnin;g437gmWg$#I@;Bonnet;Arnaude;2002;5.673;14.615
18;hoaraustephanie;lpYRXJdw@1vl;Hubert;Xavier;2002;14.366;14.483
18;rochelaurence;+ohN5GxY7egS;Gaudin;Lucy;2002;14.226;18.382
18;salmonchristelle;)02G%d1vOBH);Fernandes;Maggie;2002;8.876;9.792
18;iperrier;t7AT$zl)%_2&;Hoarau;Josette;2003;4.92;15.738
18;emmanuel90;@$h0LLdorqiz;Da Costa;Victoire;2002;16.95;17.402
18;claude59;DFKc40Gt*&ro;Menard;Stéphanie;2002;6.269;4.088
18;nguyengregoire;@)7VZ4hU4hqx;Meyer;Antoine;2002;17.669;5.686
18;bourgeoisrenee;#aASThUq1J5%;Georges;Louis;2001;14.415;11.507
18;alphonse14;+fqj4XbXjZBS;Durand;Caroline;2001;13.785;2.395
18;henriette03;!Umdv+G%0oMD;Fournier;Théodore;2001;11.355;7.671
18;alexandre72;)b2FT5zd1#zA;Dijoux;Thibaut;2002;14.376;7.461
18;tnoel;4o0+XYjeS!GV;Clement;Louis;2002;10.288;15.217
18;alphonsevallee;XWR+65$l#9Ea;Baudry;Tristan;2002;17.631;11.614
18;qguibert;^2rAlZ#O7RCM;Cousin;Lucy;2002;2.478;8.002
18;bernierjacques;w3L9CAnn!1ly;Boulay;Nicole;2002;4.996;18.923
18;perrinarnaude;d@+q5NyDt259;Rolland;Henriette;2002;10.881;7.984
18;claudine22;%IGKBLncp9J8;Blanchet;Édouard;2002;9.492;4.148
18;adrienne49;)5%x)xY+0gwO;Bazin;Timothée;2002;11.505;5.435
18;ccarre;OdY9RYuw(I)j;Vidal;Arthur;2002;11.221;18.128
18;cousinalphonse;U_YP1Ubp^Kj_;Fabre;Patricia;2002;12.61;8.956
18;agallet;KD_5QPt%I9OI;Pinto;Dorothée;2002;4.702;7.058
18;jerome90;ST2tAThol@^d;Cordier;Frédérique;2002;5.265;18.039
