idLycee;login;password;nom;prenom;naissance;note1;note2
20;padam;^30Elwv(#3mU;Voisin;Claude;2001;3.023;11.397
20;zmaillot;EJ_b^9@km)U0;Albert;Suzanne;2002;7.984;8.872
20;guillaumelambert;99hgzMNb&Nw0;Barthelemy;Vincent;2002;16.383;4.252
20;lebrunvictoire;0(A3AWbQR6z*;Valentin;Louis;2003;3.957;18.897
20;sregnier;!p&un9dsQ#0C;Bernier;Henriette;2003;14.857;10.017
20;alex98;n!NT!7boI!5T;Vincent;Virginie;2002;9.743;11.694
20;fischerphilippe;6Ab&7Rg9**^0;Brunel;Bertrand;2002;8.033;18.548
20;guymaillot;#6JOkmLmhLTQ;Moreno;Élise;2002;9.94;10.399
20;arnaude05;^0Ans2b%(xK3;Couturier;Nathalie;2001;7.983;8.768
20;nath55;5FWD3apq+7Qg;Charles;Victoire;2002;2.979;10.469
20;jacques90;*1KVk!3mfVIK;Legendre;Hortense;2002;7.87;4.359
20;andreegaillard;hi%q1&Jur(1r;Traore;Alex;2002;12.74;7.34
20;mariedenis;Hg3vzYUlA^K^;Renault;Dominique;2001;18.295;9.152
20;ypetitjean;rE!!rQmJ$!33;Turpin;Brigitte;2002;3.504;16.571
20;louisenormand;U7PpjOpnY(4w;Teixeira;Auguste;2002;14.16;8.572
20;julie35;(J3TdEth$o3b;Laporte;Julie;2002;14.933;2.04
20;hlopes;u^6LRpzFP1Lk;Gregoire;Monique;2002;12.724;5.664
20;paulettemorvan;&7BWqinyvawn;Fournier;Lucy;2001;17.133;11.204
20;diane35;7E#WiDXr$5G^;Hubert;Alex;2001;19.11;12.723
20;sabine20;@qTXy5mt9bNW;Lemaire;Philippe;2002;19.61;14.565
20;eric79;n+Pv4c#B$5GT;Besson;Virginie;2002;17.335;10.74
20;margauxperrin;j5^BQIUtjsh6;Dias;Roland;2002;9.643;12.51
20;michelemallet;&zM4anrTZG5&;Colin;Philippe;2002;3.456;18.683
20;parentdavid;+(D6rv394G3T;Garcia;Thérèse;2002;6.604;11.324
20;lemaitreaudrey;3p9)EUyB74PX;Blanchet;Gilbert;2003;18.128;17.969
20;josettegarcia;&z8usMPyvo3a;Leclerc;Paulette;2002;14.748;7.34
20;agathe95;L6Z*1TwiIx3_;Perez;Joséphine;2002;7.48;5.427
20;camilledurand;!E$7sIRj^Z)a;Texier;Camille;2002;6.013;15.342
20;milletnoel;s_$YVPwjGD6C;Jacquot;Alexandrie;2002;6.087;19.012
20;benardlaure;indmOE^e+Vk1;Meyer;Aurélie;2002;9.955;8.587
20;guillaumegodard;3fbcxPys+AF8;Masse;Étienne;2002;16.693;8.013
20;erenault;298iKty#!OVJ;Imbert;Aimée;2002;8.533;16.112
20;bernardvaillant;*v9Ry1KQ_2D5;Lucas;Lucie;2001;11.303;14.344
20;odette04;5d!8QU4m)acO;Jourdan;Noémi;2002;3.956;16.373
20;dominique85;*pB+oi3iOt4d;Barbier;Margot;2002;17.411;19.37
20;nle-roux;9%DSX&ty!XF$;Weber;Tristan;2002;9.457;15.195
20;mauricetoussaint;FypoV4Rm_CRi;Goncalves;Thibault;2002;12.69;14.823
20;rouxisabelle;KGS(5d*p33Qa;Lamy;Océane;2002;5.941;14.744
20;flaroche;S^N13BiY$vuD;Brunet;Michelle;2002;12.633;17.349
20;igregoire;z6dg*wWn#x$P;Verdier;Arthur;2003;4.241;7.99
20;alexchevallier;$$cJHe@hTi4f;Moulin;Martine;2003;6.992;6.175
20;gilberteugene;C05)u)a0MqT_;Charpentier;Benjamin;2002;9.072;6.314
20;alexandrebernard;+3ZMNKGrYB4u;Renaud;Andrée;2002;14.921;4.736
20;xperon;J9bPWqknC7^5;Barbier;Alfred;2002;4.284;4.636
20;xdurand;Za4(sJjS5!MK;Charles;Alfred;2002;14.841;17.268
20;rhardy;P11Jmg1g++3%;Bouvet;Alfred;2002;13.671;18.005
20;teixeiradaniel;#8OiGkPtAMM_;Dumont;Antoine;2003;14.596;6.004
20;elodie93;7Ro0TTpqq+%c;Mercier;Pénélope;2002;10.185;8.042
20;genevieve40;5&%R5EHrQ(O$;Salmon;Louise;2002;10.3;19.767
20;gsimon;V0thb8fW*iZ2;Evrard;Richard;2002;7.887;14.082
20;astrid20;5l1tGr^h()wU;Hamel;Joseph;2002;13.641;8.506
20;bgonzalez;)EF1Ma0cw4hd;Millet;Madeleine;2002;5.557;5.483
20;teixeiradominique;*UYBldHa12XI;Gilles;Margaud;2003;2.193;8.839
20;gayemmanuel;jOH$1Oi9^v&9;Julien;Margot;2002;4.45;17.147
20;gabriel13;(sww6HdsqGF@;David;Corinne;2002;4.737;17.299
20;dbesson;*4Y&Zsca5k3V;Meunier;Stéphanie;2002;15.18;14.223
20;corinnegarnier;u(02RXk@zs&N;Lebreton;Guillaume;2001;12.13;3.232
20;zlesage;!!jc5ANeK76B;Toussaint;Simone;2004;18.806;13.08
20;valletstephane;@5Gfe8NtB%Vs;Traore;Denis;2002;2.543;8.502
20;margauxlegendre;S9*JHLXs#DmD;Petit;Marthe;2002;19.146;12.287
