idLycee;login;password;nom;prenom;naissance;note1;note2
21;prevostemmanuel;1aVEhZ3c(ICQ;Robert;Danielle;2002;18.917;11.527
21;thebert;@1rKt*OL308U;Leconte;Anaïs;2002;19.628;12.713
21;amorin;!ZtE*8Kvf2mz;Dos Santos;Élise;2002;14.924;19.403
21;marienathalie;az9_A&#c$QA1;Bruneau;Louis;2002;3.381;18.535
21;dumasveronique;A+e3X^SlL+5H;Parent;Suzanne;2002;14.284;10.855
21;antoinetteduhamel;)5Dk$7g8!oHZ;Moulin;Pierre;2002;7.746;14.671
21;gabriel27;zR8$0ZCfG4xq;Louis;Claudine;2002;6.005;16.345
21;sophiegallet;0Vb@1Ltok)U6;Fleury;René;2002;3.141;9.191
21;thierry47;e@cdZo2!($Y7;Aubert;Margaux;2002;11.817;11.178
21;goncalvesaime;f#UuHiih*x!1;Didier;William;2002;18.997;17.448
21;bouchetxavier;$f23&Vrv6O9X;Pires;Adrien;2002;5.214;4.459
21;atraore;3n3HLveI&O_P;Rousseau;Nicolas;2002;13.207;15.151
21;fleuryrene;)*OU5o)IO(1I;Sanchez;Sébastien;2002;13.688;17.855
21;jeanne61;@7QTOSu3AcrZ;Guibert;Suzanne;2002;12.794;19.569
21;ymaurice;^kk7*Tshm8Cn;Petitjean;Michèle;2002;2.97;10.058
21;buissonleon;6t!gYD^e%b)7;Lucas;Jeannine;2002;4.897;17.002
21;adrienmasson;$oj4DfjrPl(&;Richard;Zacharie;2001;4.834;12.874
21;marquesjoseph;_yW3syK7*hlS;Delaunay;Roland;2002;7.116;8.274
21;marinelaroche;sJ8HnS61m$E9;Cordier;Michel;2002;7.339;12.964
21;benardclaudine;sirSc1ya&$1S;Boucher;Michel;2002;3.651;5.99
21;legrandfrederic;^$xNlYR5IW5w;Brunet;Franck;2002;17.737;9.228
21;zachariedelmas;sf@I9uAz$64W;Klein;Marthe;2002;16.177;15.099
21;chauvetmaurice;t2O1PQ5m_IFO;Guibert;Arnaude;2002;15.874;8.147
21;jacquesdufour;Q^YO0ILs(0hn;Raymond;Isaac;2002;8.074;13.172
21;vaillantauguste;UNk*I##kf9)T;Buisson;Alexandre;2002;16.396;12.059
21;alexandrie77;)9cVdy8X+j4f;Ollivier;Élisabeth;2002;8.452;17.201
21;arthurriviere;_*ZFuZA^Y#3J;Jacquet;Denis;2002;2.584;7.773
21;duvalanouk;W1!BqTUv(H1@;Mace;Alix;2003;9.728;13.295
21;cordiercatherine;#N+H0NNx&T63;Lemaire;Tristan;2002;3.961;11.531
21;capucine96;A8*2Q&lfP%mm;Dubois;Françoise;2002;10.429;3.054
21;celinanavarro;sZj+jBb5(Y2V;Meunier;Michelle;2001;9.676;15.577
21;sle-roux;R8X@+U9r!CbM;Renault;Nicolas;2002;2.385;3.581
21;susan67;&7zlTXNzg2hp;Gay;Michel;2002;13.117;17.741
21;denise28;gVK$5FPxXk5S;Delorme;Bernard;2002;16.938;3.158
21;thereseda-costa;^F3Z1f*u)@Fb;Bourgeois;Luc;2002;8.424;8.754
21;sauvagemarcel;a!@COzzllL4M;Gautier;Antoine;2002;11.325;6.903
21;maggie11;6+V7V*TnSbMn;Grondin;Christelle;2002;5.91;17.064
21;laureturpin;D3B!hVi&rar_;Rousseau;Gabrielle;2001;16.35;15.939
21;hparent;50B0jExG_MfE;Gomez;Andrée;2002;4.08;12.299
21;clairejacob;6!(FMckk2^M4;Bouvier;Gilles;2002;5.59;10.751
21;frederiquelabbe;kE^NWGj&OD^7;Delaunay;Henri;2001;11.996;6.375
21;rcoulon;_R%aQYal7sRu;Gaudin;Bernadette;2002;15.742;16.537
21;barthelemyphilippe;^(JyNiIc&@3t;Guyot;Margot;2003;15.985;5.564
21;augustegarnier;^s1^uxnbW7Ak;Peron;Honoré;2002;11.436;2.823
21;hvasseur;*#4pLjcVzU28;Alves;Joséphine;2002;4.952;6.839
21;sabineseguin;$$LGnhm9P3Y^;Le Roux;Rémy;2002;8.012;11.033
21;leclercqsusan;i4XtcEPM#9ow;Menard;Céline;2001;16.158;15.175
21;pichonphilippine;(3Bdq24pzLTl;Thierry;Joseph;2002;13.701;13.185
21;colette30;*bZUIcMjC4$j;Pascal;Pénélope;2002;13.431;7.582
21;guillaumezoe;1c3BYuyo!vQu;Guibert;Étienne;2002;7.871;10.962
21;antoine01;$7XyfyChWkES;Pottier;Valentine;2002;3.83;9.578
21;bertinmarthe;)*7Lt@dK%eJt;Allain;Pénélope;2002;18.617;18.408
21;lamybernadette;z1eA6u)R!Oyp;Maillet;Honoré;2002;9.219;11.007
21;louishamon;U034PnPs^RZP;Charpentier;Augustin;2002;13.131;8.103
21;francoiserichard;UJMH6api(_7_;Barthelemy;Victor;2002;8.179;12.722
21;yrossi;**U6J@az(LLD;Morvan;Astrid;2002;7.532;6.433
21;guyonmadeleine;Cw#L)dZTJ%9O;Devaux;Margot;2002;15.442;12.407
21;fnoel;c@RjoXdOnZ3F;Lopez;Luc;2002;8.806;7.116
21;gpires;s+8JNyrUz_wZ;Simon;Julie;2002;19.361;12.486
21;adelaide06;&6*!rX94bw@Z;Petit;Diane;2002;15.239;3.828
