idLycee;login;password;nom;prenom;naissance;note1;note2
22;wcharpentier;@9#Fk^gTg3v9;Fabre;Élisabeth;2002;7.727;2.864
22;robert38;!9iyOwRd68G@;Jacques;Noémi;2002;3.589;8.928
22;martyantoine;*9FJ9to7qCfd;Gonzalez;Bertrand;2003;12.03;10.439
22;dupremathilde;Fo&ZMnedgy+7;Laporte;Stéphanie;2002;11.275;13.6
22;olivierpons;x7F1LgUbCv$6;Lelievre;Jacques;2002;13.732;18.824
22;susan85;(gWR+JuC$+#7;Vallee;Paulette;2002;5.459;18.896
22;xavier51;x+F_MRkasw20;Remy;Nicolas;2002;4.854;16.039
22;poirierroland;$5u_3hEahb_@;Jacquet;Michelle;2003;13.833;12.366
22;reynaudmatthieu;+Oz3tBSmi5fQ;Neveu;David;2002;5.603;16.09
22;louis29;Sv3A*Oo$8!&1;Lemaire;Marc;2002;6.122;7.179
22;umeyer;og67O4qBF$2q;Hoarau;Manon;2002;8.944;3.973
22;efischer;59Ulc0t4@KjM;Alexandre;Nicolas;2002;19.452;13.489
22;barthelemybernadette;S**AID_z%68^;Leclerc;Joséphine;2002;3.864;6.029
22;sophie80;z(K5JyDQFjGe;Guyot;Paulette;2001;11.911;13.954
22;jacquescharrier;990R#ehtU1k@;Colin;Tristan;2002;12.357;13.819
22;adrienneweiss;xf1eSbgr%Ynv;Sauvage;Aimée;2004;6.023;12.227
22;guichardmaggie;g1&6%#DzP%L$;Buisson;François;2002;6.587;10.623
22;mathildeneveu;^8(3GZcN!Rs_;Alexandre;Joséphine;2002;8.349;10.77
22;vaillantalphonse;EvQ9xK_b!&4A;Gillet;Michelle;2002;5.72;18.756
22;margot31;2O9mmHFZ%#)W;Nicolas;Aimée;2002;4.802;7.802
22;dupontemile;4%ZRpLkll7Q4;Carre;Julien;2002;3.052;13.49
22;paul57;Ke*NfU&@F%4);Lefebvre;Christelle;2002;8.515;8.43
22;richard15;*5W#J#m&+OOZ;Joseph;Olivie;2002;14.959;5.281
22;sebastienregnier;zAV5*&yh+8HO;Bazin;Constance;2001;10.519;6.487
22;hgaudin;V+0A@DehxMSJ;Guerin;Océane;2002;9.394;5.924
22;luc67;&9u_OOReKr0U;Dubois;Julie;2001;10.102;16.818
22;ketienne;Z1Ezs#!U!nsY;Garnier;Josette;2002;10.816;6.571
22;proyer;%+DoeCdP71sU;Martineau;Isabelle;2002;4.702;16.077
22;fribeiro;)Wubb^sy$5AT;Gillet;Odette;2002;18.833;17.136
22;martine56;b*D_Xj9tL21s;Parent;Capucine;2001;15.82;15.985
22;astrid41;KG^9RLYr_fi(;Perrin;Marine;2002;16.677;15.892
22;thibaultalix;rmb3Bcs21hI(;Pascal;Luce;2001;6.939;19.627
22;chevalierleon;R+Ptesuzr@6F;Riviere;Susanne;2002;3.821;10.775
22;delannoycatherine;(3eDJZ$ny&wP;Hernandez;Frédérique;2002;17.027;19.156
22;richard94;m5hCH1Eun_M9;Benard;Frédérique;2002;4.178;14.94
22;henrynathalie;xNg!byvZS0kX;Mercier;Yves;2002;12.263;8.473
22;phamon;+IRFzBg6_w6E;Allard;Gilbert;2003;2.202;8.028
22;david73;e^XvWy0NK_9p;Germain;Jacqueline;2002;6.515;7.802
22;mendesmartine;%H9iI4aR!Qk+;Gautier;Lucie;2002;18.637;4.74
22;alexandriafoucher;qkM83Zzr(++^;Thomas;Susan;2002;17.262;18.808
22;edith92;)XRJoiM6X9Kd;Fischer;Astrid;2001;15.552;13.894
22;valerieetienne;)NkH4SqZW8fp;Schmitt;Nath;2002;6.723;18.547
22;helene19;+K21YaLEe(+9;Girard;Bernadette;2002;11.448;18.685
22;thibaultantoine;W!aYm%XTUo0z;Lambert;Julie;2002;7.911;10.014
22;joseph15;*JY#2vav1*Cq;Bouvet;Michèle;2002;2.006;12.444
22;remypages;%A^73qFjb)lM;Dijoux;Patrick;2002;19.87;4.194
22;qlaurent;NAX%WxZud_g7;Huet;Honoré;2002;5.758;16.609
22;jevrard;D4cdGOGc(8r4;Noel;Xavier;2002;16.343;9.603
22;tanguyguillaume;&YD6AV#f1^Zt;Guillaume;Véronique;2002;13.992;10.244
22;jeanninelopes;rprrPtmG&0a9;Morin;Gilles;2002;3.01;2.573
22;celina06;)sa5sYhb0)iG;Garcia;Yves;2002;3.553;12.242
22;mrousseau;1g%k5DXJ0!Zk;Mahe;Jacques;2002;4.781;7.398
22;claire76;A3FWdd_o^dp);Hardy;Marthe;2002;3.531;14.976
22;texierhenriette;is(SXydpT%48;Clerc;Valérie;2002;16.34;14.765
22;xlouis;$T1LPQmCpB!G;Jacob;Arnaude;2002;13.814;3.065
22;christelle32;XFBYzuvaV&3*;Lopez;Constance;2003;4.137;13.362
22;cohenaugustin;)1c_Pqw%!8ZN;Lamy;Stéphanie;2002;7.744;8.419
22;perrinnath;)$7n$M0qoyZg;Blanchet;Christophe;2002;14.066;6.613
22;rogersimon;_orhxOlUw3SE;Da Silva;Catherine;2003;19.004;15.147
22;eric22;#8tW2j+pf_^K;Morin;Audrey;2002;10.234;13.398
