idLycee;login;password;nom;prenom;naissance;note1;note2
23;jmenard;J_cr9OmcX0+7;Germain;Adrienne;2002;5.357;18.856
23;bertrandregnier;p7sPsEr73jh&;Renard;Hélène;2002;7.876;5.617
23;margotreynaud;_5veB4ckDYFa;Bigot;Paul;2002;15.751;18.9
23;tlaine;wH(5IqR6@1sC;Perrier;Christelle;2001;8.154;10.949
23;rlecoq;Yy6%%zIoP4t1;Samson;Françoise;2002;18.554;10.206
23;gerardsamson;Z(0)I7it%wVp;Diaz;Tristan;2002;10.685;8.788
23;matthieugosselin;_J9yVb9vfOHS;Roche;Aimée;2002;16.357;17.465
23;morenoelise;GqsvIlJM+4wA;Grenier;Auguste;2002;15.63;13.115
23;lgay;HO#1WFOn9G)q;Berger;Roland;2002;9.391;18.557
23;neveuconstance;DxaC3Fnv105);Valette;Noémi;2002;7.226;10.369
23;francoise65;*h&1NU!m8s_m;Dias;Céline;2003;8.657;13.087
23;thomas66;N2&G3zL^&igO;Toussaint;Christelle;2002;9.737;16.086
23;denislefebvre;(B%3JbUTxzlz;Costa;Alix;2002;10.808;7.506
23;bernard95;#)t19Cvy7O92;Bodin;Suzanne;2002;11.323;19.787
23;bourdonaurelie;)6d76ZVf!jAw;Torres;Nicole;2002;10.502;10.807
23;lecomtehelene;K@+L1TpTXF0h;Pineau;Thierry;2002;12.565;9.321
23;moreauaurelie;4owuxn4r^iCP;Munoz;Stéphane;2002;17.328;16.21
23;louis83;&ocITVhiORF4;Imbert;Sophie;2002;16.43;14.18
23;laportesebastien;p#8uDWOu)zS7;Weber;Aurélie;2002;4.077;6.927
23;christine62;%k34hJOgI&5U;Didier;Théophile;2002;6.581;18.877
23;brigittemartineau;9X@$LRk(jh41;Bodin;Émilie;2002;5.107;16.704
23;xhamon;^x8HPcPS#J12;Allard;Hugues;2002;6.631;13.78
23;jules05;QV%y3M9ewu$C;Joubert;Anne;2002;16.283;8.025
23;gabrielle23;%9UCNdelmCcF;Turpin;Dominique;2002;4.131;3.471
23;claire26;j^x0PPu)3X&B;Pierre;Henri;2002;10.089;5.748
23;eleonoremasse;C3dDnTYh$$Iy;Faure;Benjamin;2002;2.979;3.56
23;martinezlucy;Fc1ol(ba9_H*;Bernier;Martine;2002;12.938;6.236
23;pphilippe;UoL%rLbv%+1o;Guerin;Charles;2003;4.067;7.925
23;franck87;#yUwz6HnjZa!;Bodin;Jules;2003;10.896;19.988
23;camille67;)9ryqO4e&b5Y;Fouquet;Aimée;2002;17.3;15.997
23;charlotte03;gye^*3Hk#@rS;Le Gall;Lorraine;2002;2.847;15.17
23;ygomez;6O7!xcrlbVY%;Renard;Richard;2002;6.241;15.266
23;umartineau;7v3lr9fo^4MO;Riviere;Lucy;2002;10.675;13.178
23;dominiquebourgeois;R62DfF%6(XS7;Hardy;Marcelle;2002;12.303;4.34
23;wlopez;Kv)!zCvf#3mP;Raynaud;Anastasie;2002;9.727;7.751
23;wbouchet;X7JAbm!CX!B#;Morvan;Océane;2002;15.604;16.514
23;maggie19;*7tQLKTdij4I;Delorme;Zoé;2001;5.792;7.652
23;matthieucordier;%ycaFpUp1go8;Leroy;Aurore;2002;6.264;19.57
23;michel54;Je+JEobK*uB7;Faure;Louis;2004;6.52;15.898
23;margauxmorin;_Fwj)Lvl7x%M;Blanchet;Marie;2002;10.908;19.078
23;krolland;$O%K!RqEQZ&7;Gilbert;Matthieu;2002;19.659;14.761
23;qgillet;z$ig4B+1neB4;Lemaire;Margaud;2002;18.162;12.127
23;gerardlefevre;*4UD%d4*nQ9j;Julien;Christelle;2002;4.905;5.95
23;jean01;rGNnVq@8*7Bj;Fabre;Édith;2002;5.667;16.567
23;adelepons;*Y76CAWht_MH;Leconte;Hugues;2002;9.375;14.549
23;luclambert;s%f18jouHE3N;Perrot;Thibaut;2002;2.347;19.172
23;brigitte19;+3U1vTgky*Z@;Rocher;Guillaume;2002;15.614;8.256
23;clemencepineau;_3T@vxmcYdJv;Moreno;Françoise;2003;4.928;11.338
23;wlefevre;R1hx+9%t_#zW;Lacroix;Benoît;2002;16.509;13.884
23;maryseblanc;1Yu4RknlI(dJ;De Sousa;Renée;2002;18.204;9.215
23;nathdupont;)i3O7DziNjwh;Blondel;Guy;2002;2.132;6.05
23;qgaillard;Z5UXwt#I^VN5;Rey;Sébastien;2002;12.219;2.694
23;adrienneleblanc;Vv1VetgW^3mo;Carlier;Charles;2002;15.224;9.043
23;rremy;$%1R7MvAo*3K;Petitjean;Adèle;2002;18.4;17.47
23;dfaivre;#pFP$h3^L5wW;Charles;Astrid;2002;19.395;12.393
23;jeanne23;8gLru#eb$!Wz;Bouchet;Marcelle;2002;18.112;6.511
23;micheljean;_Cc%5DUgTX#x;Pages;Valentine;2002;15.004;7.111
23;valentine94;^DHBrj%fViA3;Levy;Maggie;2002;8.353;16.643
23;veroniqueklein;yO6Gsdqc+dYk;Lambert;Capucine;2002;9.718;11.634
23;denis24;E$(79KjyT$^J;Julien;Tristan;2002;5.495;10.228
