idLycee;login;password;nom;prenom;naissance;note1;note2
25;anastasie83;7Z)f4nWzm&Z&;Bouvet;Guy;2001;10.852;16.357
25;michelgerard;^ytT3Ohi!YS@;Weiss;Valentine;2002;2.034;2.918
25;alainduval;!0(^%SuD%idQ;Fouquet;Valérie;2002;6.673;9.604
25;qgeorges;pa2PY*nxk*5A;Guibert;Constance;2002;7.246;4.827
25;franck14;7R1JRvjlc$Ym;Berthelot;Émile;2002;12.222;9.672
25;michelruiz;#cA@jbjmDJ6X;Lebreton;Marianne;2002;11.541;7.812
25;mariehuet;AC@6Huz7!n4t;Morin;Emmanuel;2002;3.934;4.941
25;david63;&$AxnFDv&7O5;Raynaud;Marcel;2002;9.984;13.167
25;diazlucas;$P7+2pxjzQM2;Dias;Adrien;2002;11.023;4.382
25;constancefontaine;Ni0S$ies+Kb%;Faivre;Arthur;2002;15.955;13.318
25;stephane43;2In3ZJj&gLz^;Samson;Nicolas;2002;10.639;11.36
25;margaretdubois;L(%EZMpFSgS4;Lemonnier;Nicole;2002;18.804;2.034
25;timotheevalette;Mjg#1yKhp$ul;Lambert;Hélène;2003;13.037;12.745
25;gosselinfrancois;Mo47T2cva_!R;Guillet;Alphonse;2002;6.504;4.963
25;rodriguezcelina;&sr_4F_kub)Q;Mercier;Anne;2002;16.75;14.489
25;edouardmathieu;!%0xPTxPl#wb;Tanguy;Catherine;2002;7.671;19.213
25;ubigot;3hG+q#LJY33C;Peron;Thibaut;2002;6.141;10.568
25;virginie75;7o9^Qgnd_iRW;Devaux;Jérôme;2002;11.739;11.058
25;fredericmartinez;6#WQe_au1Q8!;Blanc;Odette;2002;7.048;5.022
25;margaux54;(!7FyCRe!Mm&;Maillet;Madeleine;2002;13.852;3.895
25;renardarthur;sXTpTdGX&55o;Gilbert;Isaac;2002;14.542;9.629
25;guybouchet;#(&8BpFt!(9A;Carlier;Inès;2002;16.584;14.707
25;verdiereleonore;J5USvxo6+mUr;Collet;Dorothée;2002;2.474;16.214
25;isabelle55;S8XnIo!DJW(^;Boulanger;Valérie;2002;19.064;16.738
25;oceane78;_jB!vn**S6$%;Garcia;Pierre;2002;11.457;10.381
25;blotthierry;Z5bOyJyswAs%;Chevallier;Luce;2002;18.382;5.18
25;carlieradrienne;^Biq0KCbi%Xp;Ledoux;Jules;2002;4.279;15.256
25;etiennedos-santos;^vGd7E*rw6CB;Baron;Geneviève;2002;19.642;19.501
25;jbesnard;Gzv70Qq4&_zu;Dupuy;Théodore;2002;17.51;16.248
25;clercroger;!#7JubFJC68X;Bourdon;Olivier;2002;8.88;15.517
25;margot54;1!qS6IDKnpO5;Olivier;Louis;2002;9.394;2.21
25;andrejoubert;(Uo#$y_*L8YP;Bigot;Édouard;2002;12.919;3.437
25;catherinegeorges;!0N9I@Jh%$Mz;Guilbert;Tristan;2002;11.25;14.789
25;agathe78;@7P^p8TzCL23;Paris;Joseph;2002;9.379;8.891
25;alice57;#51HuM)nLlMv;Guichard;Alphonse;2002;11.876;5.544
25;xledoux;o*k0R^PeHRyl;Guyon;Claudine;2003;12.72;16.653
25;etienne10;+52AfqhM8$gE;Goncalves;Richard;2002;12.909;6.525
25;bernadette57;5!9JSAO@5a7T;Mace;Josette;2001;4.264;5.442
25;pchartier;ST9MuNBk1^nO;Lemaitre;Roger;2002;16.814;2.885
25;bazinjerome;362ONBXrI(NW;Fernandes;Suzanne;2002;18.978;6.929
25;nicolas70;eq08zSDt8$$Z;Parent;Astrid;2002;8.18;9.408
25;bergerdanielle;*zImUxy#9Z6w;Antoine;Françoise;2002;13.709;2.645
25;aimerenaud;ZmFpo!LT)2QD;Sanchez;Caroline;2002;8.76;19.085
25;gabrielle21;(b2MhC_tZZEA;Gautier;Émile;2002;5.593;15.045
25;kmoreau;+$4D2e2yyWyu;Carre;Valérie;2002;8.346;4.509
25;dorothee67;s2UDdzsIXSj(;Bailly;Louis;2002;19.91;2.895
25;thibaut30;899lLkYc3^Gu;Vallet;Victor;2002;5.683;8.916
25;yrenaud;6^j*HEJt*Ffr;Carre;Jacques;2002;16.366;4.872
25;leonpicard;+7GHq2h8mRRx;Vasseur;Léon;2002;14.637;10.628
25;arthur92;oQ2lp#4khr*R;Le Roux;Marcel;2002;7.206;2.225
25;umaury;(1jdjH#nmQPf;Courtois;Margot;2002;12.208;6.904
25;grondinrene;UA%XWs$$Jm1(;Gerard;Claire;2002;7.375;13.655
25;sanchezemile;H#fXqBhw_2xO;Delannoy;Thibault;2002;14.568;13.031
25;pruvostcelina;33+#ZFqq%ur5;Lacroix;Louis;2002;8.46;15.618
25;sdubois;#JzRliKXC3Fl;Muller;Pauline;2004;3.309;11.443
25;christophe70;ZS5QaJlvsbM%;Le Gall;Alexandre;2002;16.267;8.024
25;kmarion;61()Lnxp^mej;Gosselin;Lucy;2002;17.193;16.223
25;pierrevincent;3jB26gfI%HRq;Roy;Raymond;2002;12.547;5.463
25;iruiz;$u3FcjSL0&ij;Fischer;René;2002;9.505;8.41
25;gpruvost;hH1eMFLbJ(Nh;Mace;Agathe;2002;6.381;8.946
