idLycee;login;password;nom;prenom;naissance;note1;note2
26;bdaniel;V85Ss&S!#myV;Rodriguez;Rémy;2002;16.098;19.152
26;renaultsusan;R(W@bp%B758&;Jean;Augustin;2002;6.845;6.2
26;nathaliethierry;k6s_6OKyd%TQ;Blin;Aimée;2001;19.903;10.682
26;philippine10;F77t9nWko_mO;Delattre;Françoise;2000;18.251;18.63
26;sebastiende-oliveira;(G*Y%C_ga93M;Brun;Guy;2003;3.654;3.237
26;rmarques;lfGfLf8f+75x;Hubert;Odette;2002;4.849;18.824
26;alefebvre;U&X6Mb%x)QBq;Labbe;Cécile;2004;2.37;14.752
26;thomassauvage;10LkUerz*8nE;Blanchet;Thibault;2002;10.347;18.92
26;reynaudalice;^Sn#AcxFX7Qr;Becker;Noël;2002;6.568;15.361
26;auroreimbert;j_v13Dfhw!zS;Guerin;Éléonore;2002;15.902;18.476
26;gmerle;$MB2hDNeqV9x;Blot;Emmanuel;2002;3.91;13.625
26;frederique08;!)Ujci4Ep6rR;Garnier;Pierre;2003;6.181;13.882
26;matthieu13;c1#0GlhnXEAT;Boucher;Anne;2002;18.572;10.407
26;blanchetalain;V^Or0Mjaca12;Leleu;David;2002;19.831;17.786
26;marianne48;E8mCs%Mj%l0P;Pascal;Manon;2002;12.413;11.168
26;jeanne82;@v)8MYizRt4K;Masse;Philippe;2002;2.555;4.08
26;charlesgabriel;KqI0b_v1%1IE;Boulanger;Cécile;2002;16.006;14.058
26;theodore72;VG#1IjnlBE8L;Antoine;Monique;2002;13.432;3.937
26;lebretonpierre;(w4Y%Utn#%hJ;Dumont;Célina;2001;5.635;11.937
26;rene85;S8WkYqqp^U85;Mathieu;Margaux;2002;2.451;4.317
26;alixmartineau;TKKdFadyg^1%;Langlois;Édouard;2002;19.483;15.676
26;pagesaudrey;A*7BeT0Ru_zT;Jacquet;Gérard;2002;2.731;4.465
26;chauvinrobert;7W3%R$laa%%D;Mace;Claire;2002;5.52;10.511
26;hrolland;Nymf3UjaM^N3;Pereira;Philippine;2002;13.58;5.724
26;aime09;Uc49WeNw_n*3;Martinez;Anouk;2002;16.937;7.635
26;raymondvincent;66NDz8)()va!;Antoine;Charlotte;2002;18.869;13.618
26;alfredbertin;wf(4ChMQHd3t;Begue;Henri;2000;18.73;8.355
26;julienpierre;F*U1Irn#2FJ_;Lopes;Benjamin;2002;14.05;8.15
26;juliette48;(PjGTnxcj26U;Descamps;Vincent;2002;7.049;6.276
26;theodoregodard;2iyE@5rJ+UJ!;Gilbert;Émile;2002;19.734;19.322
26;moulinmartin;O*7)!#OfC8xa;Merle;Robert;2002;3.407;6.866
26;andree89;+CjGyPa85#3Y;Lecoq;William;2002;13.549;14.216
26;bertrandemmanuelle;)%LKjzA&e9dA;Boulay;Anouk;2002;8.811;12.004
26;payethenri;p)!Gp*GlDC1&;Millet;Raymond;2002;14.623;4.326
26;leon89;YeSJ1b_H%92S;Delmas;Astrid;2003;9.581;14.722
26;theresegeorges;4TPc0kOR$dW^;Marchal;Jules;2002;3.622;15.283
26;leon74;f*3vqaRf2(9F;Nguyen;Isabelle;2002;11.455;3.971
26;gteixeira;a9BuUUp+)$(S;Pottier;Claude;2002;9.459;4.614
26;brunetjeanne;&hCaMLlG&8pQ;Grenier;Thibaut;2003;2.617;5.286
26;uschneider;ye^Qg!$c^y75;Wagner;Danielle;2002;7.513;17.853
26;dianeturpin;3h&2QoXi#@(I;Renaud;Roland;2002;3.928;12.028
26;bourgeoiscatherine;3$lOmsU@c#33;Louis;Jeannine;2002;3.038;19.355
26;gauthiersylvie;1*7PAWXv7woV;Le Goff;Matthieu;2002;9.441;19.504
26;pottierchantal;076Y0Iyj$zmJ;Merle;Zacharie;2002;16.003;17.666
26;emmanuellelemonnier;yr6WnO32s%%H;Maillot;Gérard;2002;10.279;3.641
26;dumontcelina;I2lGy@Bg$8H(;Lopes;Jérôme;2002;8.362;14.621
26;leblancmichelle;j^87nNfpehkO;Chartier;Michelle;2002;12.456;2.108
26;stephanedias;*ON9zHDq_b2Z;Buisson;Thibault;2002;10.464;19.323
26;pmaillot;e!+0MGko41C9;Rodrigues;Alexandrie;2002;5.696;11.562
26;jeanlacombe;nExf7OhB1oI(;Marie;Matthieu;2003;16.422;3.149
26;lgrondin;BzTcas_B#2IN;Bodin;Thibault;2002;4.474;13.78
26;antoine83;zY81ZP%hxFg+;Evrard;Guy;2002;17.264;6.678
26;emmanuelle02;#mXNZ_wvN8WD;Carlier;Susanne;2002;7.021;11.758
26;kmartel;Q%7E93pzchyC;Lombard;Olivier;2003;18.665;15.931
26;emmanuellerobin;Q!_1I49y(V68;Benoit;Alexandria;2002;11.802;5.013
26;cohengregoire;!!6myQx9wZU8;Joseph;Thibaut;2002;10.399;18.5
26;nathalietessier;7%5Pr7GzEmaO;Gimenez;Lucie;2002;8.26;2.211
26;remymarie;tY0J*DNfl(n4;Dumas;Laurent;2002;6.707;8.688
26;anoukjoubert;2Ie09Fl!!$05;Humbert;Luce;2002;19.169;3.246
26;guilletmichele;#nAtNHzoy7P+;Rousseau;Daniel;2002;13.465;11.157
