idLycee;login;password;nom;prenom;naissance;note1;note2
28;aleduc;*d3WYrXWs6_Z;Gomez;Philippine;2002;16.553;5.152
28;tde-oliveira;brtNCCHls&d1;Besson;Marcel;2002;14.596;19.477
28;levyvictor;n#+)NOu_Vd4Q;Riou;William;2002;4.036;16.133
28;blefevre;y#qXJ7YkE1D8;Lemaire;Michelle;2004;4.445;7.344
28;uphilippe;evOGH5Jgs@*^;Riou;Laurent;2003;8.005;13.891
28;suzannemahe;Dyn3Kdk$^CrS;Camus;Patrick;2002;5.061;2.95
28;denisegirard;3OP1I&l9n1$5;Olivier;Yves;2002;13.514;19.268
28;eric60;Z_9VzuH!jmrV;Marques;Gilbert;2002;14.542;10.417
28;navarroalexandria;!272fwJbF!*G;Guillet;Olivier;2002;15.815;2.789
28;naubry;b+4RjRaz(&1W;Gauthier;Corinne;2003;7.104;4.548
28;costeisaac;)12YlJy3e*g_;Hernandez;Sylvie;2002;11.939;18.033
28;alfredgoncalves;x2+K5IUICmJh;Wagner;Thérèse;2002;17.871;17.427
28;zreynaud;U_@7JHcGbZf$;Brunet;Jeannine;2002;19.831;6.197
28;lcamus;)QGkYthflba2;Mary;Sylvie;2002;19.099;17.776
28;joubertdiane;u^S3OaOMBmLT;Humbert;Sophie;2002;16.714;18.544
28;martyvictoire;EbW7G#Jl+8Cw;Royer;Marthe;2002;14.278;5.854
28;jules39;TV1rLisHU*4!;Aubry;Amélie;2002;14.991;6.467
28;petitjeanalexandre;9Ej%RXyt!8D2;Chauveau;Virginie;2002;16.907;6.67
28;bouchetstephane;^zP8tsk(!p1K;Ruiz;Inès;2002;5.774;13.179
28;thibautpottier;KwTLh2Oh^Y#M;Lambert;Gabriel;2002;13.809;4.314
28;de-oliveiramartin;Mu)tHxWih!I5;Schneider;Robert;2001;12.701;16.359
28;lucyclerc;14Da6SRf0L(*;Roche;Roger;2002;8.995;3.429
28;valentinjulien;o#1BuslXwp9_;Pottier;Frédéric;2002;15.615;12.893
28;penelopevincent;(6DgTLiFS1B@;Merle;daisy;2002;4.159;15.481
28;suzanne06;&%93DqPn8wsW;Lopes;Luce;2002;13.624;12.313
28;gillesdelannoy;)6Ghy4Y0AxCX;Samson;Édith;2002;19.128;8.82
28;etienneboucher;wl7u+8dTY%4G;Legrand;Agnès;2002;13.33;15.811
28;lucpascal;!6i(_BnP)(7l;Grenier;Théophile;2002;11.52;8.424
28;verdiercharlotte;Uu32GVQqK&H5;Collet;Jacques;2002;8.484;11.223
28;sferrand;#AY6jBca$0GV;Pires;Susan;2002;17.987;5.226
28;macealix;%GXP&DKzc0O@;Vallee;Victor;2002;17.184;9.668
28;adele13;A1D6O&n5%uPt;Lebrun;Dorothée;2002;17.74;3.081
28;robert18;lr26Y9$((+3m;Besson;Roland;2002;12.153;13.341
28;francoiseric;PQdvJYH!)2Pd;Martin;Théodore;2002;11.904;4.3
28;stephanieletellier;(boa^QRrG69L;Bonnet;Élodie;2002;18.975;17.92
28;omartins;O0dz#H2k!)4Z;Perez;Nath;2003;13.201;12.448
28;hervechristelle;c_0YMrSeK(TI;Tanguy;Simone;2002;18.95;2.243
28;valentineseguin;*$S#4MXv#0Nk;Fontaine;Sophie;2002;6.89;5.611
28;anais94;b(RsoAtn*c7Z;Perrier;Bernard;2002;12.833;5.328
28;cecileguillou;^)R^KUqDF7w5;Buisson;Nathalie;2003;14.908;18.199
28;levequemonique;ydY^GuWf@MB5;Simon;Françoise;2002;9.238;12.773
28;royjean;CO$4RFyxX%Fy;Fouquet;Jérôme;2002;5.475;19.616
28;aimeegrenier;6qaOa3a9^0LB;Bertrand;Éléonore;2002;13.348;2.665
28;tcaron;*3_9UdT^&X!*;Pires;Gilles;2002;13.222;14.995
28;michele99;z*6bsR!cU9V%;Grondin;Éléonore;2002;7.333;18.355
28;eguillet;lHG4(Y!eC&7*;Hardy;Claude;2001;10.321;18.164
28;christellecolas;WqlJJBip%r3A;Merle;Louise;2002;5.976;16.49
28;davidcarpentier;)Vr10s0NZwzL;Leveque;Paul;2002;10.992;12.754
28;lriou;@rFGX6Jle5z#;Buisson;Véronique;2002;15.091;5.667
28;margaretlabbe;w*&MdBv@jV6M;Royer;Georges;2002;9.939;7.264
28;verdiercaroline;$BB)adRr$395;Duhamel;Colette;2002;6.692;3.016
28;helene33;Y_5#3ZWhierO;Duhamel;Christine;2002;2.881;10.966
28;ilefebvre;(8j(bJaaxvFZ;Baron;Jeannine;2002;11.931;10.37
28;mathilde04;ciE2UJZF*%Yj;Pires;Émile;2002;3.037;2.891
28;marc16;)z_OQ9dZ5V0g;Leleu;Honoré;2002;4.922;8.459
28;frederictoussaint;QHQ$7bJbmtjG;Barre;Marine;2001;6.554;12.237
28;nlucas;)g&eOCgvF%f3;Lopes;Adèle;2003;4.862;15.831
28;clopes;W0PjnPac)1_$;Parent;Claudine;2000;3.273;16.872
28;zbenoit;6^eX+ZWQIaV2;Da Costa;Zacharie;2002;17.832;15.345
28;bertrandferrand;I#(Luoduu@36;Dias;Agathe;2002;5.811;3.965
