idLycee;login;password;nom;prenom;naissance;note1;note2
29;zoe13;!IDAVBg!@sO5;Pasquier;Manon;2002;8.209;12.282
29;garniermargot;m8RGT02D(8Uc;Roy;Claire;2002;10.723;3.712
29;coulonedith;64KIHDqc^Z&z;Briand;Émilie;2002;2.762;4.625
29;xleclercq;B%(SLrltCvP0;Nguyen;Nathalie;2002;7.452;13.263
29;olemaire;&F1m!4otr0JR;Ramos;Luc;2002;10.754;18.097
29;gaillardmargaux;^gY@Zyba(!5W;Bonneau;Marie;2002;15.314;2.082
29;laurentblanchet;F1IvAzno#QFF;Delattre;Paul;2002;5.155;5.655
29;mathieuedith;+QbPOnwxa5tr;Gaudin;Anouk;2002;19.044;15.087
29;martelmarianne;CphxJRks#8SF;Chevallier;Élise;2001;19.548;2.092
29;victorbesnard;!&)RM4Vej%X);Gautier;Stéphane;2002;16.168;2.71
29;frederique54;n7E!KAbZ&5D(;Collin;Nicole;2002;10.775;18.956
29;barremaurice;HJk7wCd*L*pL;Guichard;Arthur;2003;9.747;18.305
29;renepinto;$om*wfCb*20*;Courtois;Nicole;2002;15.52;4.665
29;faureceline;)cxKsQi4e9td;Diallo;Corinne;2002;4.072;4.477
29;techerhugues;wB4LbcyNy)ws;Leduc;Gilbert;2002;16.04;9.724
29;danielleboulanger;u6IjbO%k@FP3;Pereira;Vincent;2002;13.58;7.165
29;vidalwilliam;G3%Mxyeb+sxT;Thierry;Joséphine;2002;16.55;8.762
29;gbaron;9y*FCZln__dM;Delahaye;Léon;2003;7.843;7.239
29;nathnicolas;Kz#!X_hi6+y5;Duval;Charlotte;2002;18.488;11.028
29;udupont;_)!9%NZj16IO;Humbert;Manon;2002;16.776;3.023
29;ghamon;^XBh84%8A8z@;Besson;Agnès;2002;16.455;3.509
29;micheldominique;+7KO3(Llt3L!;Reynaud;Alex;2002;5.149;16.883
29;constance59;2lvM3S(sB!!2;Brunet;François;2002;14.235;15.522
29;xleger;Dz%qMMrTT#0U;Techer;Eugène;2002;6.567;4.44
29;poulainwilliam;#9_IuRZsasLS;Couturier;Denise;2002;9.948;15.982
29;josephine74;giALoADy6r#9;Meunier;Christine;2002;8.23;4.148
29;william52;!ex)qmdL9mBf;Huet;Madeleine;2002;8.404;11.06
29;ndiaz;eJF8qNAn&&I8;Garcia;Laurence;2002;10.638;7.14
29;hubertelisabeth;0aLt6k+t(nPC;Delmas;Zoé;2001;17.736;13.604
29;rmarie;j(yVH7vv1GEa;Alves;Paul;2002;10.839;12.398
29;adelemuller;Q*rWOuqf&$0W;Petitjean;Dorothée;2002;3.027;19.066
29;jjourdan;*qYqENysIy_9;Seguin;Franck;2002;14.138;5.601
29;manon31;*00Ai42mkb7M;Maillot;Odette;2003;18.55;15.669
29;anouk55;KpnZwi^KY2&_;Imbert;Nicolas;2002;16.017;3.142
29;cmarques;rP%mLI4t@X03;Humbert;Eugène;2002;14.882;6.856
29;briandguillaume;)V2SAs2xSdXs;Nicolas;Théophile;2002;10.023;17.842
29;nathalie14;(#6@IT5f!U!^;Maillot;Benjamin;2002;17.621;12.184
29;julienguillon;!h02SHgq6_@x;Remy;Simone;2003;4.507;2.564
29;hugues40;(5OgLAnj!eG4;Parent;Élodie;2002;6.782;7.983
29;rousseaulaurence;HOvT+h2aU#8s;Lacroix;Matthieu;2001;19.197;19.432
29;adrien13;M*Y1GxdryZiz;Joubert;Philippine;2002;14.919;9.113
29;baronraymond;a5gV_&8r!Hos;Morin;Catherine;2001;17.292;14.929
29;olacombe;!4TY4W%b*r(1;Riviere;Denis;2002;9.119;12.286
29;noel73;W9JNvXwK)+gY;Picard;Matthieu;2002;14.798;19.605
29;rjean;)z6m#M7pAX^7;Lebon;Laurent;2002;18.073;4.718
29;rolandberger;&n1CDd*02l)k;Thierry;Arthur;2002;17.37;10.395
29;nroche;(UFrg_Mu5WUK;Hebert;Vincent;2002;12.561;8.712
29;uboulay;)rYC^#FbR6KR;Bouchet;Adèle;2001;7.649;4.197
29;allainlouis;#^72a0khip$O;Pereira;Aurélie;2001;10.901;9.177
29;bgaudin;%f9ybbjyO6EX;Turpin;Théophile;2002;11.835;13.819
29;margaud99;uRnNLxM3(8o@;Legros;Margaux;2002;14.159;19.033
29;zoe45;Qr8^MGo#7(QF;Mendes;Tristan;2002;10.63;14.848
29;spires;54JMoGtq*7d);Louis;Lorraine;2002;13.678;17.956
29;martheweber;NA^FDZm)z83(;Gomes;René;2002;5.972;10.008
29;charlesmarthe;pqtWo9vE+3yI;Pascal;Daniel;2001;11.817;3.272
29;eleonorejacquot;cZ2k*5wA)XeQ;Perez;Lucas;2002;18.785;7.614
29;georgesnoel;*z(CRygAo1AB;Mahe;Denis;2002;5.619;8.827
29;sabinemallet;@g71fiMb&vrV;Laine;Anaïs;2002;17.874;16.617
29;chretiensebastien;n(sV6WszPn(V;Blanchet;Isaac;2001;2.106;18.507
29;olivier99;qXT(#o4Kh4ay;Collin;Françoise;2002;13.406;9.228
