idLycee;login;password;nom;prenom;naissance;note1;note2
30;luc94;&q*2lYHcUYfL;Arnaud;Célina;2003;6.357;18.058
30;honorelegendre;q&1P0SnUHcl+;Hernandez;Christiane;2002;16.418;4.266
30;courtoismargaret;)9dgxfBrG@YB;Dijoux;Alex;2002;7.948;17.917
30;petitjeanadrien;ES$LLrFNN5+0;Muller;Alphonse;2002;2.226;6.196
30;petitmarcel;i_r_j+0drCns;Vidal;Cécile;2000;12.713;18.456
30;xsamson;4lO$vShnKf#9;Garcia;Madeleine;2001;6.379;14.044
30;hardyalex;yO@*VLGa79O0;Guerin;Guy;2002;3.464;17.876
30;michelgregoire;+VBSYr^wa03e;Fouquet;Louis;2002;4.185;16.953
30;renaultbertrand;wRbUFgod#(8D;Petitjean;Benjamin;2002;3.045;7.646
30;vvoisin;cUjgL1Gf)7!Y;Chauvin;Dominique;2002;17.705;11.924
30;qpereira;vVDzL#87#22);Pruvost;Frédéric;2002;17.105;8.292
30;dgros;+8Rn2M+Tb7nS;Richard;Danielle;2001;19.879;19.27
30;michelle49;wYUYrhrId(3%;Rossi;Simone;2002;5.243;11.856
30;rogerpotier;(q$Ex+Uafe10;Delannoy;Danielle;2001;2.552;14.849
30;bodindorothee;($#wqzDN2!8A;Hamon;Christophe;2002;13.166;14.034
30;henridos-santos;G244Bt@r$NbM;Moulin;Michel;2002;14.975;10.213
30;bouvierlaetitia;C&3Ck3(kB^bS;Delorme;Alain;2002;19.082;7.973
30;rochesebastien;CcJ^Eimm9sS7;Gros;Aurélie;2002;6.853;19.125
30;clemencedelaunay;!9c0ZroV_(ON;Garnier;Philippe;2001;2.336;7.939
30;riviereaudrey;w+Qc0Fgb#^uU;Lefort;Hortense;2002;17.737;3.021
30;denise38;A7YO%O$%%Av9;Roche;Anne;2003;8.796;17.275
30;kparent;kbIu7pi&_!9q;Gaillard;daisy;2003;7.342;11.14
30;blanchardvincent;R&2JzgMt4)6U;Lopes;Camille;2002;19.227;5.671
30;zachariecoulon;Y0y(Ad%m9JjI;Lecomte;Gabrielle;2001;4.681;11.423
30;rochediane;#Y4k1HVt9s!n;Perrot;Margaud;2002;19.41;14.226
30;andree87;Ah@7aHq1+*26;Gaudin;Susan;2002;2.442;7.284
30;penelopegarcia;gkCs%0_34AV_;Le Roux;Paul;2002;2.848;16.536
30;ollivieralexandrie;vj$64AlnC$)K;Vallee;Margot;2002;5.161;4.805
30;nath78;5s76EkWf($f1;Hamel;Philippine;2004;5.877;16.814
30;bernieraudrey;)z24qBeOuipj;Fleury;Margaret;2002;3.587;13.889
30;baillyphilippine;d6^qicT^#GNW;Lebrun;Rémy;2002;3.706;4.235
30;broux;*^6Db$Kj@O%#;Letellier;Émilie;2002;3.878;19.475
30;reneeleduc;m%MzbXAh_8Ba;Barthelemy;Maurice;2002;3.569;16.021
30;rbrunel;+!fLns!S70I_;Colin;Andrée;2002;10.308;3.712
30;julielegrand;fQ+0VvvAT0r_;Benard;Charles;2002;11.407;7.24
30;xavier42;J4_sHWZh!eeK;Peron;Éléonore;2002;16.857;2.405
30;valentine40;+$aWPVyj+3j4;Perret;Jeannine;2002;15.109;7.972
30;seguinedith;PC*&93Qr5*69;Peltier;Gabrielle;2002;17.708;9.088
30;lebonthomas;K8QN7+xq$+Sb;Pages;Franck;2002;9.402;13.664
30;marianne90;qwIiZq8M%6_y;Pons;Dorothée;2002;10.215;5.159
30;maillardbernadette;9!0AbNZQ!ec2;Gregoire;Martine;2002;8.575;15.069
30;martindavid;@9DgluTQ*3m*;Gilbert;Mathilde;2002;14.317;17.11
30;alphonse13;(601a59a9DYn;Moulin;Henriette;2002;6.833;17.785
30;goncalveslorraine;g^lRJaTe_7cS;Salmon;Marine;2002;4.026;3.527
30;tguilbert;$ZpKatOt%IC7;Millet;Maryse;2002;3.54;5.412
30;bmeunier;zscZDGle)1D5;Fouquet;Timothée;2002;12.553;3.005
30;jgirard;WF%Qh+Hv_&8d;Dumont;Patricia;2002;18.438;10.607
30;clemencemartinez;Nr!ZqIJ!s%a2;Maillet;Bernard;2002;6.239;8.686
30;wpages;@1anyvyHUDK@;Garcia;Catherine;2002;4.611;4.8
30;fmallet;lYwFEwvq_580;Tessier;Christiane;2002;15.054;6.645
30;nathvallet;Vc*wqegr*)9P;Carlier;Alain;2002;6.724;7.287
30;suzannepeltier;1j(iDUms&yxY;Lambert;Julie;2003;8.45;11.95
30;margotbarthelemy;iZceC%s@$!8l;Teixeira;Marthe;2002;6.947;14.63
30;nathbigot;F!ZicPG&VI0B;Picard;Lucie;2002;5.335;12.573
30;antoine24;$2%BkpI&62xP;Chauveau;Vincent;2002;9.543;6.626
30;noemiboulanger;i7^(GZk3#Q+G;Valentin;Théophile;2002;14.34;11.749
30;nvasseur;I!&Q2JmpDg&+;Joubert;Charlotte;2002;7.82;15.998
30;bdiallo;Do6P@FEx)HCa;Pires;Dorothée;2002;7.005;3.49
30;perondenis;NcA_D0+hDV79;Parent;Laure;2002;19.358;19.626
30;brigitte39;3SiI5Uvx*@Z4;Berthelot;Michel;2002;15.339;4.158
