idLycee;login;password;nom;prenom;naissance;note1;note2
31;froche;VmC_e@yP&n8b;Joly;Clémence;2002;8.916;12.413
31;camillede-sousa;Zpa@Uxe1)(1D;Marchal;Claude;2002;12.02;8.382
31;celinadevaux;B6N$gC_d*XSc;Dupuy;Marthe;2002;13.257;14.794
31;amartin;$$i*R96D25XS;Potier;Élise;2003;9.076;17.593
31;bvalette;&k*iJsYo2*uS;Leclerc;Charles;2002;5.801;12.179
31;marthe61;b9fP7@Cc%z8@;Roger;Alfred;2002;9.997;16.9
31;baudryadrien;s&09fx9^(SUo;Lacombe;Michèle;2002;4.18;17.008
31;agnes63;be6Xp6FS*5Rw;Joly;Charlotte;2003;13.067;15.219
31;suzannedelorme;bW(ueH)oy3TL;Hamel;Théodore;2002;3.731;8.543
31;jerome00;%_(6XUw##RAw;Levy;Pierre;2002;17.009;8.914
31;capucine98;PaDJCzSa%3NB;Roche;Claire;2003;7.946;8.129
31;reneeboucher;*NKwEs6mf2fW;Delahaye;Martin;2002;2.102;7.892
31;victorleclerc;%L0Vb6lt@Czb;Peron;Chantal;2002;16.156;8.035
31;gabrielle93;15Qm3FPqfR%%;Morel;daisy;2002;12.854;10.59
31;hugues93;!n(3ZIr4*rP1;Gregoire;Caroline;2002;3.828;14.383
31;dleleu;UhClaXqpIZ7&;Brunel;Robert;2002;15.132;4.324
31;fontainesusan;ftX3X7br^w4R;Robin;David;2002;10.918;14.105
31;maggiegirard;t6s%CUXP$LXe;Caron;Auguste;2002;19.185;10.215
31;philippe92;T%5qsrWnWam%;Reynaud;Capucine;2001;16.786;8.345
31;martin89;^4ZrB6eLg0S%;Merle;Anastasie;2002;12.548;19.09
31;lorrainebesson;*7idV&Pm3tEA;Guillou;Lucy;2004;13.278;11.12
31;frederic22;$5yWS8+k)VH^;Marchand;Laure;2002;18.852;8.668
31;orousset;WjvJ5%j!$4bK;Maillard;Benjamin;2003;11.923;17.507
31;eugenebarre;#3XtZVcQ0F9E;Jean;Andrée;2002;15.709;11.302
31;emmanuelbegue;#0GuB4Qf3i%F;Roche;Adrien;2002;19.807;6.621
31;anaisbenard;%AwLStX*427K;Lucas;Guy;2002;12.476;3.354
31;emmanuelledevaux;^89cH(l0j98H;Blanchet;Véronique;2002;12.542;3.434
31;celine72;@agvSytwA2Dj;Royer;Marcelle;2002;3.706;3.471
31;hweiss;o98Qm3m0pl*H;Henry;Nath;2002;4.021;5.376
31;rpoirier;Z!STkGuO5e19;Pires;Martin;2002;5.269;12.737
31;pasquierfranck;1tDpFWTU8MU#;Da Silva;Michelle;2002;3.108;5.36
31;agathe30;@OC6SKgk+JEb;Francois;Michèle;2002;19.481;19.633
31;alice74;*2N_*f7qS#K(;David;Marguerite;2002;16.732;16.263
31;alice92;$9)s94Og!c*y;Didier;Hortense;2002;10.177;17.557
31;lecomtejeanne;NJ5vV9bxF(rE;Girard;Nathalie;2002;7.945;13.921
31;fdidier;3&0QwlbjV82w;Toussaint;Nicolas;2001;8.325;13.346
31;zgrondin;9(((EwnQ8GO8;Labbe;William;2002;12.558;14.707
31;thibaultlaure;F@5GURuz!v0B;Leger;Emmanuel;2002;9.121;10.518
31;christinenguyen;@^&teT3f@0zJ;Evrard;Richard;2002;2.556;13.547
31;gregoire72;ws9mvEQ&*2Ga;Maurice;Gilles;2002;19.046;13.191
31;hoarauadele;G2*oT^Hw1%b9;Perrier;Susanne;2002;9.396;6.383
31;maurice31;Vr%6XOyiX0^5;Bertrand;Corinne;2000;4.42;3.835
31;drolland;x)3xNJJw0$36;Guichard;Paulette;2003;10.39;12.265
31;martineaumichele;^oxd6dBhbs8O;Weber;Élodie;2002;16.958;16.31
31;dijouxstephanie;4ggbd3uf_B6A;Hamel;Valérie;2003;11.623;19.875
31;morenomichele;_Xe9JlMPyxgz;Clement;Nicolas;2002;13.383;16.753
31;odettecohen;(8j!0YcK6P#b;Pelletier;Denise;2003;6.222;2.766
31;lguillot;L6YHC*wU4)41;Turpin;Marianne;2002;17.345;11.159
31;rocheagnes;#luTuMbAa60U;Bailly;Hortense;2002;5.66;9.789
31;timotheebouchet;+)OgVoEXW@6G;Chevalier;Édouard;2002;19.507;11.832
31;uaubert;YM9_c0Dg+#ID;Lefort;Georges;2003;7.294;13.704
31;lelievrejulie;J9aauMSx$Y^N;Bonnin;Théodore;2001;10.932;5.471
31;patrick38;d#5!1SFeWeSG;Bailly;Alain;2002;4.508;17.539
31;croyer;(9G_TOrB1xMX;Picard;Michelle;2002;17.889;19.751
31;yvesfournier;*qYFUt!_@@7d;Lefevre;Lorraine;2002;4.552;6.172
31;rene39;!1xE$KCmyr2O;Petitjean;Catherine;2002;4.274;8.437
31;matthieublanchet;f517Nlh46%CE;Ruiz;Auguste;2002;15.721;6.259
31;lefevrenicolas;rkBLjtC_*2o3;Caron;Daniel;2003;16.683;6.157
31;fournieroceane;O5zEv2!c%!pD;Gros;Diane;2002;14.818;6.078
31;petitjeanelisabeth;MCO(AfpWtO1F;Guillon;Manon;2002;5.699;15.023
