idLycee;login;password;nom;prenom;naissance;note1;note2
33;gauthieralexandrie;_#JEvgclNj9Q;Loiseau;Claire;2002;6.583;7.516
33;nathalie09;(OQQ%Mg8eYH5;Navarro;Thibault;2002;4.723;10.35
33;zdelorme;%9MCCUHO#n@g;Blanchard;Laurence;2001;13.698;11.198
33;rioubernadette;%V4ay45wz0Xg;Le Roux;Geneviève;2002;3.846;3.323
33;francois44;jP7&fZni5P+H;Pires;Philippe;2002;6.859;4.251
33;vasseurmargot;k7l*BIDUBsRp;Chauvin;Nicole;2002;8.45;12.545
33;idiallo;a&9dZmrt_EcW;Herve;Adrienne;2002;5.479;16.376
33;anoukle-roux;@4LSA9!prdQm;Perret;Théophile;2002;5.385;13.344
33;lsanchez;z&5un$Rz#4(Y;Leblanc;Michelle;2002;2.64;17.802
33;ctexier;8oRU_dNU*k4B;Auger;Émile;2003;9.325;19.445
33;adupuy;^P4tA*RgP#7d;Roussel;Élisabeth;2002;16.846;9.86
33;mathildeduval;hj_Neg4vi*5+;Delorme;Louis;2002;2.197;15.649
33;augusteclerc;w6jS5BqU)l*i;Albert;Gérard;2002;19.154;19.072
33;fclerc;S)sQAuSM&y3O;Mahe;Zacharie;2002;6.581;8.731
33;constancebenoit;%AX(qQrWg3#S;Pasquier;Édith;2001;12.56;10.472
33;vleduc;KiwnWOGO@9J*;Letellier;Yves;2002;11.954;8.892
33;manongauthier;5aFyyhN6!N1v;Cohen;Agnès;2002;4.029;17.662
33;emile48;jOCHwieH)0nq;Garcia;Pauline;2002;15.64;8.27
33;martinsastrid;fm8WRDjt(U7V;Carlier;Dominique;2002;2.079;2.012
33;mariannebouvet;1yJe$OMz%5y9;Sauvage;Hortense;2002;2.379;15.637
33;hamonfrancois;HFr2ml9t*1WB;Guillou;Capucine;2001;7.97;14.84
33;xverdier;Xv64QEMij%_H;Bernier;Arnaude;2003;7.877;19.556
33;mathieupaulette;IoV9Td8__1Z!;Morin;Lorraine;2002;13.457;8.192
33;bmarion;mVvMvn(z71i&;Guyon;Astrid;2002;6.943;13.867
33;hgomes;yO7ZEij!(4FS;Pasquier;Marie;2002;4.746;4.47
33;olesage;TZaQLVsJEw)0;Legendre;Adélaïde;2002;11.55;11.621
33;catherine29;&*g_AXuDeT05;Pottier;Alphonse;2002;14.694;17.235
33;pelletierlorraine;2!p#f@U)H51J;Morel;Luce;2002;11.879;3.282
33;guichardmarcelle;1fLrxeK4+xTO;Fouquet;Capucine;2001;15.439;13.056
33;marcel18;y9Q@S4Bq!5So;Petit;Honoré;2003;16.081;13.272
33;luc86;!WGg#*umS2WX;Chevalier;Céline;2002;8.548;2.593
33;ghubert;Tb16ZnfC)7*!;Albert;Martin;2002;9.41;6.323
33;pichonmartin;55I$uCJUH3Mb;Laroche;Nathalie;2002;18.43;16.827
33;audrey55;**ho*PaXef42;Besson;Louis;2002;16.452;7.609
33;sanchezmathilde;(Jv$js5z0ihX;Carpentier;Isaac;2001;17.4;18.584
33;davidchauvet;qRAvT1Gn5+l!;Perrin;Théodore;2002;14.496;10.445
33;gseguin;b@4TZGw^@%bh;Ramos;Dominique;2002;15.518;13.764
33;thibaultcaron;7SUrdtFx@6dV;Raynaud;Margot;2002;4.114;11.713
33;llemaire;FG_92TfSE+pr;Caron;Astrid;2002;7.069;19.838
33;georgesandre;9C1RKKe5)$Bu;Joly;Pénélope;2002;7.0;19.449
33;diane06;y)((G!nu+ji4;Jacquet;Adrien;2003;13.676;18.902
33;gimenezluc;)^R1iUtj%CrC;Tessier;Dominique;2002;5.674;12.223
33;philippe64;!LAnQSre5f4!;Dupont;Timothée;2002;13.239;4.791
33;therese30;vC$61Skq%6B*;Hebert;Emmanuel;2002;11.8;9.411
33;arthurverdier;(w_O7D9kj(0P;Jacob;Marcel;2002;12.515;11.482
33;fontainepierre;Je9rWLb^##+P;Royer;Gabrielle;2001;12.65;7.026
33;rollandadele;2XgXxR9&+R^v;Sauvage;Danielle;2002;14.033;8.896
33;oceane63;^4CNBc(ybxiW;Herve;Roland;2002;14.731;7.718
33;cecile15;+#GE#7^&1%0j;Blanchet;Léon;2002;17.123;7.113
33;rbruneau;etWW#eV)%+9b;Joseph;Paul;2002;7.38;14.825
33;lrodrigues;@03%xENg*f%6;Guyot;Thérèse;2002;17.335;8.739
33;anne48;tXAHSoiy$9SW;Thibault;Bertrand;2002;18.537;18.826
33;agnes17;V27U(Lf53nu%;Perrin;Roger;2002;5.602;3.059
33;stephanieribeiro;clZ8DfelDEc_;Traore;Marie;2003;10.896;18.244
33;buissonoceane;9d42Oalx%fin;Leclercq;Margot;2002;5.909;12.242
33;philippe59;6Fk1Ktr7M%6j;Le Goff;Margot;2002;13.686;9.31
33;flebon;9jA04JdpZ!#8;Clement;Élise;2002;9.135;5.81
33;patrick85;P+*#q2Ar^&3d;Meunier;Théophile;2002;17.005;7.071
33;marcelle28;JjP2Rg_E@DDN;Jacquet;Alfred;2002;6.191;9.848
33;amelie95;^X2ENPhZDgf!;Baron;Mathilde;2001;17.233;13.455
