idLycee;login;password;nom;prenom;naissance;note1;note2
34;charles14;QF4E2OPe8_rH;Roux;Alexandre;2002;15.495;6.007
34;khardy;E2#+V9Txm1_f;Denis;Nathalie;2002;11.536;16.394
34;marquesadelaide;yqb!LOvy7HP6;Laurent;Laetitia;2002;4.127;14.982
34;louisgerard;#I@b+B)l38ZO;Pottier;Andrée;2002;7.218;2.692
34;alexandrie79;MmRdKKnCi1D%;Grondin;Juliette;2002;17.815;7.283
34;laetitialeroy;(IOkYpl&Y08A;Louis;Tristan;2002;11.783;9.753
34;georgesloiseau;m*9qFI7pCs&S;Allard;Gilles;2000;5.545;12.298
34;vincentcarpentier;mw^GXVBMR1Wi;Leclerc;Henriette;2002;10.675;12.226
34;eguillou;%6Rx6i7b^!Jy;Ollivier;Marie;2003;10.064;7.21
34;laurenceperez;F)V(NXtH$3Vy;Delmas;Emmanuelle;2002;8.2;15.057
34;cboucher;vqC%3@Keb0#v;Vallet;Lucas;2002;3.353;5.787
34;laetitia34;*4Dr+@yMW7$D;Langlois;Maryse;2002;18.5;14.177
34;leducvirginie;(oVmGLXQD3pB;Prevost;Odette;2002;15.322;13.069
34;isabellehoarau;Y*OmJTjuvcx1;Guyot;Laurent;2002;2.94;6.906
34;sabine64;7ELZR#kk&_2s;Perrin;Claude;2003;7.161;2.937
34;noelhumbert;B)RckAcQ1Ac+;Noel;Augustin;2002;10.77;7.725
34;clementmarcelle;a&BAB0oiE9)f;Munoz;Gabrielle;2002;5.325;15.637
34;lecomtemonique;5$jqN+Vs%2(g;Pichon;Anastasie;2002;6.52;7.201
34;laure37;bf3@ZO6t&$42;Lebon;Noémi;2002;8.648;17.071
34;etiennefoucher;q(66*KKhV(Bn;Lemaire;Alexandre;2002;17.945;6.997
34;petitconstance;hVLj2VoZx)@u;Charrier;Isabelle;2002;3.073;2.506
34;olivieleleu;yzNn3SBaCAx*;Grenier;Odette;2002;2.357;12.055
34;yvidal;@HJ#bR#Yea9A;Guyot;Catherine;2002;9.297;12.379
34;emmanuel49;z%bykkvy!6VH;Jacquot;Marianne;2002;11.733;14.188
34;rogertexier;h$NGd6XgDZ*d;Ribeiro;Jeannine;2002;7.683;5.815
34;joubertaurelie;*NP12F3yCBn^;Lopez;Emmanuelle;2002;9.847;4.092
34;marcelleroche;VTsWui0j)S0V;Marchal;Michelle;2002;19.848;3.823
34;guilbertsimone;#vmKyNz(54T$;Gonzalez;Xavier;2002;9.953;12.74
34;chretienmargot;8FgkKY%f)^EW;Philippe;Dominique;2002;10.463;15.621
34;olivieraynaud;_mQPky%l*3Cf;Martinez;Diane;2002;10.264;6.591
34;marielacroix;F1z8DsdZ+SO8;Perrier;Lucie;2002;5.027;13.394
34;cruiz;j+D@f_Ohzg7*;Roche;Bernadette;2002;7.272;12.314
34;alainperrot;$+Bmjxcx$8Aa;Riou;Frédérique;2002;7.409;7.799
34;penelope25;1w38Nkup6^1G;Blot;Richard;2002;8.241;16.497
34;louise12;l7f&kDsMh*4A;Mercier;Tristan;2001;3.828;15.7
34;celine70;)d1IlsFilq6%;Blanc;Céline;2000;12.647;14.341
34;cletellier;#EYUu(LnFsE9;Brunel;Édith;2002;6.412;11.017
34;corinne15;dGR@3CGu57k#;Gaillard;Gilles;2002;6.826;11.459
34;michel49;!O2KcD^RH(JJ;Huet;Tristan;2002;16.656;10.736
34;remydelmas;_5^Owt5NjfYZ;Fleury;Grégoire;2002;14.538;5.25
34;vbecker;*M07e5jSe!N3;Charpentier;Lucie;2002;3.215;3.315
34;lacroixcharlotte;&j7HK2Je1k_W;Munoz;Aimé;2002;7.666;3.736
34;dorotheecousin;PLlN(Jdf7_!6;Garcia;Anaïs;2002;8.587;12.678
34;gauthierhelene;&OVN#8TzTC2l;Meunier;Laurent;2002;2.538;7.998
34;nlacombe;u9QVtovb*9u(;Royer;Marine;2002;6.821;11.517
34;remy80;@4P2cmfmzkYr;Briand;Caroline;2002;3.762;9.167
34;bernadette26;@1FVQAal5kM3;Joly;Frédéric;2002;16.342;5.387
34;lgimenez;lSP@C3Fwug@i;Mercier;Frédéric;2002;5.209;12.046
34;grosanastasie;m#W(zoc)@b3v;Louis;Robert;2003;6.809;7.283
34;astridlegendre;K179CVNt8g$1;Roux;Christophe;2002;16.674;14.214
34;ttraore;DbtP^vc@i)2K;Tessier;Thomas;2002;6.226;9.606
34;benoitraymond;T*pS08WbE@r9;Petit;Aimée;2002;6.252;7.602
34;launaytimothee;@6S2TwOdZ11Z;Benard;Margaud;2002;8.388;10.63
34;rgarcia;BcVKkQ1_Zg8^;Cordier;Andrée;2003;2.227;16.039
34;elisabeth37;978Aflt*3WT^;Legrand;Benoît;2002;14.119;19.571
34;bousquetlouis;_)*$EVQb3s7M;Gautier;Léon;2002;3.527;18.643
34;upicard;x&S+LrKm@e(7;Delannoy;Augustin;2001;3.237;6.947
34;schauveau;Z&2g_U3Hri+_;Allain;Michel;2002;18.399;18.004
34;honorebouchet;720HLYyx&^u(;Laurent;William;2002;4.4;19.942
34;emahe;$3YIa&U!r7Jq;Petit;Isaac;2003;10.868;7.025
