idLycee;login;password;nom;prenom;naissance;note1;note2
35;robert51;(TWLZilTfVO3;Benard;Alice;2002;3.899;7.725
35;brunelalix;n*7+BePXkdTb;Bonneau;Christophe;2003;15.552;13.59
35;guillotlucie;2QRjIIjauB#3;Didier;Capucine;2004;7.944;6.145
35;ylemaire;+bT2DBoF@Pd$;Besson;Alex;2002;14.278;11.979
35;bertinlorraine;ErtUs@GW_6C*;Jourdan;Frédérique;2002;5.341;14.836
35;christianemarechal;+&&RCrab4I7D;Gillet;Marc;2002;16.205;6.783
35;nathaliejacob;fyB^mdmch!6Z;Richard;Christophe;2001;13.513;3.858
35;margarethumbert;PY8mDk1C(8Bp;Delattre;Nathalie;2002;3.237;4.702
35;brigittegrondin;hVEZ^kSJ__2R;Valette;Eugène;2002;13.053;13.69
35;timotheeribeiro;Ms9H+ovD+8E1;Le Goff;Jacqueline;2002;16.597;18.973
35;bbigot;n&8VEe%IJx#_;Bernier;Théodore;2002;9.407;5.409
35;hmenard;(wT(vlU#Q(9E;Moreno;Alphonse;2002;8.757;14.458
35;catherinetessier;KMaVWro#%1Ot;Sauvage;Aurélie;2002;8.346;9.05
35;jourdanphilippe;ZGn*wta7!0J0;Rousseau;Denise;2002;10.538;6.032
35;odettebarthelemy;q3k+fCMD+04J;Legrand;Agathe;2002;12.331;15.064
35;thibaultbertrand;%53dFDSarkwe;Moulin;Raymond;2002;8.841;12.44
35;matthieuriviere;Pxb^NNMh*vh1;Guillou;Dorothée;2002;11.68;7.584
35;vasseurmichele;@L5IJObj!YhW;Lagarde;Alex;2001;15.445;9.324
35;daisypons;)CAGVcyW57HI;Robin;Élise;2003;14.179;12.959
35;techermartine;F!M1%NKQCflu;Rocher;Yves;2001;19.96;14.451
35;ychauveau;&VJSz2aI692f;Collet;Guillaume;2002;7.966;12.428
35;sebastien94;^m9G7r2e4oc@;Coste;Colette;2002;2.282;15.145
35;perrineugene;^(GVc(Qq%11_;Pineau;Maurice;2002;11.91;4.539
35;ptorres;I3BDVIld@11I;Godard;Richard;2003;9.004;19.963
35;capucine43;4uUx1Pq+*bs);Gillet;Catherine;2002;7.619;2.508
35;lmartinez;x)&geAS4_3$R;Bernard;Thérèse;2002;9.295;16.784
35;christellelanglois;^B*VTCr+Dd+7;Reynaud;Xavier;2002;4.969;2.011
35;martine51;hk2ChIe1$n)G;Bertrand;Honoré;2002;15.485;14.668
35;laetitia63;TZc5AWEg9(5+;Barre;Nathalie;2002;8.727;5.916
35;potieranais;!Xyw3QnidR1+;Gaillard;Valérie;2002;17.876;18.178
35;fredericcamus;b6UaR4Eyl)Z%;Antoine;Christiane;2002;19.469;11.114
35;duhamelgenevieve;lE4_wUr3Fr(6;Marie;Timothée;2002;11.933;2.267
35;zachariemarin;s**cQHmvrR0Y;Lelievre;Anaïs;2002;12.25;2.878
35;perretstephanie;!v6kA@NiX#6G;Millet;Constance;2002;6.652;9.882
35;coulonthibault;)F(2FCiphoSS;Boucher;Nicolas;2001;17.388;17.803
35;lriviere;(VrujbQj9eUV;Rousseau;Jeanne;2003;19.743;4.9
35;sturpin;GJNGHxFxQ*9R;Roche;Émile;2002;19.548;10.908
35;elodie00;h4Lp@O9L@0Zp;Dupuy;Susan;2001;5.043;8.163
35;iroyer;n9qy_yjP_FQT;Philippe;Richard;2001;18.747;8.007
35;adelaidedelaunay;(6KhG7Jt8sZt;Hoareau;Louise;2002;3.249;11.269
35;rleroux;Q^bxh5x45w3C;Baudry;Adrien;2001;7.199;2.48
35;paulleveque;)J5UoPhrS^0J;Lecoq;Michelle;2002;3.832;12.736
35;bcosta;j9Z5aI*h^slv;Hoareau;Michelle;2002;3.69;6.329
35;wgrenier;Z4q4&Tv!@3*c;Rey;Inès;2002;4.483;15.326
35;ytraore;k*sUfmiRi)47;Dupont;Corinne;2002;2.105;17.33
35;emilie76;h3N4pInz_V80;Pascal;Margot;2002;12.465;15.822
35;colettelacombe;d!Y)Dt@7nq9g;Nicolas;Étienne;2003;2.657;18.001
35;pauledith;p9GZEZyy)xtz;Nguyen;Honoré;2002;5.053;18.754
35;lrenaud;p!5TDLBnCQqQ;Roux;Thibault;2002;11.759;12.546
35;ugeorges;hX)ZcyV^#1Ub;Foucher;Emmanuelle;2001;13.54;14.087
35;brunettristan;y0QUc9(Q^h8c;Fournier;Honoré;2002;2.141;9.393
35;theodorelaporte;SzgG2TKcGY(#;Richard;Joséphine;2002;4.056;15.734
35;dijouxnath;)dGv84*tb^5S;Raynaud;Susan;2002;7.991;5.771
35;michelle01;F)w33qPSFbGI;Leduc;Joseph;2002;8.001;14.152
35;rroussel;UM0TrdHM@EOw;Duval;Alexandria;2002;9.415;8.415
35;rogerpaul;))_jGPYo6Z8$;Huet;Lorraine;2002;19.116;19.227
35;martineztristan;&5p29uKo2BTT;Lacroix;Marcelle;2000;18.992;17.238
35;klemonnier;%19U8Cer1DA9;Sauvage;Océane;2002;17.854;18.892
35;aurelie94;^XrsCRwk&3^^;Hoarau;Noémi;2002;8.743;15.831
35;christianeschmitt;^7V8efOkN9vj;Pierre;Laurent;2002;14.973;9.67
