idLycee;login;password;nom;prenom;naissance;note1;note2
36;anastasie13;uzJ1ZpFe$$ku;Jacquot;Alain;2002;5.171;19.508
36;thibaultalexandre;&RK2fBqTo(I1;Dupont;Pauline;2002;10.018;17.485
36;blaroche;YMn4Objz$9+7;Didier;Guy;2002;10.668;12.529
36;qduval;M9EaCW!O+kTW;Guillou;Luce;2003;14.152;18.955
36;wagnerpatricia;#8nGTHqAwCbm;Gallet;Christiane;2004;18.197;15.452
36;edouard27;L#qX3XzS!Jj+;Perrin;Jeanne;2004;13.072;16.763
36;leclercqsophie;q(u+mBRM%6qf;Gonzalez;Michel;2002;3.661;8.491
36;boyerchristelle;bj0s8@wVsFF_;Paris;Thérèse;2002;14.139;18.13
36;audrey54;(_CEa$ObVH3(;Guilbert;Agnès;2002;16.361;10.98
36;vincentmaurice;(!53CdnOOY^9;Laine;Camille;2002;10.54;18.593
36;adele79;C%3Dqg7M^TOE;Delahaye;Jacques;2004;4.155;10.045
36;leblancdaisy;ikXKgbNPo6U(;Rossi;Julien;2002;15.293;3.507
36;chantal98;xtN0TZVb@*Wo;Leclercq;Dorothée;2002;19.419;12.981
36;imaillet;fNW0J3b@@)gm;Masson;Aurélie;2002;13.5;13.442
36;catherineperrin;T0VAVwS&$v4V;Bonnet;Alix;2002;17.346;9.086
36;vlecoq;&1^Y82mgK3#K;Riviere;Madeleine;2002;5.764;10.394
36;raymondboyer;!#8Gsb@Np!62;Leger;Honoré;2003;8.959;18.539
36;dominique25;yyi8SKGlK7)7;Marechal;Isabelle;2002;11.275;9.611
36;adriendumont;^pY%gfgO045v;Thomas;Luce;2002;18.041;15.176
36;fredericmarques;9FPkViBV_5F(;Riou;Sophie;2002;3.834;19.008
36;dorotheebousquet;OitGeSbS!3DP;Le Goff;Caroline;2003;5.299;5.091
36;valentinemuller;P@OGTdBNU@k2;Lecomte;Édouard;2002;3.4;9.13
36;isaac61;(4MUf)5c%y4Y;Lambert;Catherine;2002;11.151;7.547
36;emmanuelle63;h@dW^w5gwe0F;Barre;Guy;2002;13.95;9.857
36;bigotauguste;XmUbj_co*b6V;Michaud;Robert;2003;4.948;4.502
36;benoit29;nV1I1AkRF!)a;Renault;Virginie;2002;4.937;13.8
36;zlevy;cFGp5Lsj%ZS6;Hoareau;Guy;2002;9.358;7.798
36;martinecolas;@0Y#hOyi*9tN;Allain;Augustin;2002;5.245;2.674
36;xsalmon;QgX02I0&f)e8;Poulain;Charlotte;2002;2.814;10.703
36;lucebonneau;_(mdwBDgoc%4;Peron;Étienne;2002;12.459;6.456
36;etienne64;6QK^2895Kn6f;Lesage;Raymond;2002;19.993;14.305
36;capucine94;V2YUF5yAPIm+;Briand;Lorraine;2002;11.184;14.005
36;thomaslopes;$9+MHpZ^bhCz;Rey;Sylvie;2002;10.016;13.071
36;tdavid;(G4YJrBytPk&;Paul;Guillaume;2002;9.195;9.566
36;monnierandre;rZs*2dIb%H3A;Diaz;Margaud;2002;18.538;10.163
36;audrey71;&TcMD$Ed#m8u;Delmas;Diane;2001;13.053;11.963
36;nmendes;O_0B&*GH7mkE;Weber;Arthur;2001;14.741;7.799
36;yguillet;k+$FgIfO@c6Q;Dufour;Luce;2002;16.016;7.613
36;baillyjosephine;p6qSw7Omk+*g;Colin;Éric;2002;12.356;2.203
36;guibertanne;^5HWvHcZ+*m*;Duhamel;Marianne;2002;2.501;13.361
36;rouxcorinne;#4FO6yq*_V1!;Lacroix;Bernadette;2000;14.146;4.456
36;etiennegrondin;LD4Q@45aY%(c;Fouquet;Michelle;2002;2.965;13.803
36;zoemaillard;$l2uMvZo4e9i;Gauthier;Constance;2002;17.453;17.963
36;simbert;tf6dtYw7P_!D;Maillot;Élodie;2002;17.208;11.789
36;josepheleonore;^#3Nt^_rQcvH;Seguin;Bernadette;2002;16.87;12.48
36;gabriellehubert;3vQ3BGoi#A(L;Potier;Maurice;2002;2.305;2.934
36;matthieu28;*5)Kv%Tr%PSw;Benoit;Madeleine;2003;16.494;16.829
36;jeannine84;rWI7f$Sc0&0v;Collet;Thérèse;2002;14.169;18.839
36;inoel;rHFIaNrt7+2*;Huet;Lucas;2002;10.74;11.733
36;martheruiz;x26JmfP*+1!o;Chauveau;Simone;2002;13.107;19.588
36;srenard;(L^7)&!ZeRCe;Richard;Juliette;2002;9.669;19.288
36;qgaudin;+)6Py%cdMVb$;Bouvier;Denise;2002;18.641;19.997
36;genevieve83;V!rrD^U0tjsA;Cordier;Jacqueline;2002;15.478;4.491
36;constancebernier;_9J&IoZFwZLq;Couturier;Suzanne;2002;11.807;12.216
36;frederiquedeschamps;@9mlL^zc82Ak;Lecoq;Édith;2001;15.873;8.484
36;thibautlebreton;LL7+yNacp12G;Normand;Océane;2002;15.354;3.003
36;marcperon;a264TsToP$)7;Allard;Julien;2002;13.122;16.174
36;chretienjacqueline;)sIsJp!d#2DV;Letellier;Amélie;2001;10.742;11.925
36;lejeuneolivie;840!6rmx&gKO;Lacroix;Antoine;2002;18.145;9.339
36;christineguibert;4zV$p1#v$Y(&;Merle;Charlotte;2002;7.048;13.664
