idLycee;login;password;nom;prenom;naissance;note1;note2
37;apicard;RckcVG^xRo@0;Mahe;Célina;2002;10.129;13.244
37;francoiseguillet;Y_tNtMHq+oz4;Schneider;Laetitia;2002;7.128;8.666
37;frederique76;+HaDGUth7L@h;Grondin;Henriette;2002;10.406;4.756
37;nathalieroyer;0Fzy4N$j8J!@;Delmas;Patricia;2002;7.596;4.458
37;christine40;ucjVyV(g^3nk;Reynaud;Monique;2002;19.36;3.04
37;penelope37;4$$3sfFf3@n2;Guillon;Margaret;2002;16.852;18.187
37;matthieurey;)e*A0cZl7dA3;Monnier;Margaret;2003;9.339;17.982
37;shamel;)CPZ*7SVV6pl;Mathieu;Marthe;2002;17.626;7.737
37;le-rouxthierry;B2zvNrQhk*)9;Guilbert;René;2002;6.282;11.565
37;luce78;_blCRcLg@*7p;Alexandre;Colette;2002;8.474;4.397
37;aimee02;mr613NKw#3Mi;Giraud;Denise;2002;5.016;12.14
37;clemenceklein;&u1sZ2odeq8B;Chartier;Nicole;2002;15.566;14.84
37;luc76;1I0L(cyQ4#8I;Collet;Daniel;2002;12.232;16.333
37;evrardlucas;V!v5Cay#Z%O$;Langlois;Robert;2002;5.265;16.473
37;turpinemmanuel;T&ht8Qb(##QU;Gautier;Jérôme;2002;16.595;13.645
37;philippe40;kkbR8a*b#3On;Da Silva;Martin;2002;18.347;5.756
37;monnierodette;N$8C2xXjB1V&;Da Costa;Alain;2002;2.857;8.544
37;zoe63;i)hP+kuZw$50;Lecomte;Martine;2002;13.372;11.135
37;andree54;!7g*A5%@bfpO;Durand;Hugues;2002;18.846;16.054
37;patrick79;_+D(yz3nFw1b;Riou;Suzanne;2001;8.755;15.842
37;denisgomez;)A^yTJi@c9UB;Carpentier;Charlotte;2001;3.226;5.419
37;lorraine37;0^oRS^t1(sSv;Lelievre;Dominique;2002;13.516;15.624
37;aperrot;J^y*pU7A%R9C;Lopez;Tristan;2002;6.35;13.735
37;lefebvrecorinne;^6%5LJAogjvD;Lebon;Margaud;2002;19.502;8.889
37;thibaut99;#3VELkYjsP3Y;Robin;Marcel;2002;14.461;10.272
37;lorraineleger;%w^^uJAt@1Ql;Francois;Marcel;2002;8.555;7.362
37;lebrunemile;M$97zYnG3)l0;Durand;Valentine;2002;9.295;5.34
37;martine85;5N6Ndmbxh@2c;Laurent;Marguerite;2002;19.101;14.726
37;tlelievre;mPN6TXfBT%@*;Lebreton;Timothée;2002;3.749;3.832
37;alfredraynaud;Jt64uJHs)X0p;Martineau;Juliette;2002;2.225;10.81
37;franckbernier;@l!XMcGu2LLq;Fournier;Capucine;2002;15.187;16.852
37;louise61;WH6o+V0w!%wS;Jourdan;Aimée;2002;9.732;15.051
37;martin94;_T4Byw0)hOhG;Morvan;William;2002;15.094;4.011
37;ljacquot;+AtlPfXd*G0@;Pasquier;Christine;2002;13.816;14.168
37;plucas;7^1fSr0u2JNQ;Giraud;Alexandre;2002;12.855;17.782
37;oroux;wo!29bGUs@+e;Benard;Jules;2002;14.799;5.444
37;fredericdurand;*0mj)vi2Jq@O;Becker;Victor;2003;3.727;3.173
37;oliviedufour;YZc8O&Hp@XZO;Chauveau;Hortense;2002;3.186;11.543
37;vincent63;zo%WVKeg)61d;Bertrand;Zacharie;2002;17.748;14.56
37;gerardthierry;_!d8W#@(s7L%;Paul;Colette;2002;8.648;11.059
37;benjamin58;@t0GKpjXS+SN;Roy;Émilie;2002;11.138;8.822
37;emilie91;&vBVt&jS1sQ6;Daniel;Richard;2002;14.496;9.987
37;bernardruiz;)t4b9M4qQH3(;Jourdan;Michèle;2002;8.655;2.976
37;xthierry;GPeXEHv@O+9n;Collet;Philippe;2004;15.623;2.024
37;claude21;E+1C7cmypaI2;Begue;Véronique;2002;10.801;4.105
37;celineperon;$B$R_y$D(8mf;Carlier;Guillaume;2001;19.208;17.567
37;colinleon;a(T*@1)K*v3);Blanchard;Astrid;2002;2.262;5.345
37;anais06;m2*O$c8b#w9d;Maurice;Margaux;2003;16.49;4.148
37;jacques16;mx2TNfitxh#m;Dumont;William;2002;17.695;3.458
37;astrid60;%!9yE0E%quGN;Navarro;Anastasie;2002;5.536;6.15
37;iblanc;9#TXMsWxx#1j;Garnier;Caroline;2002;8.461;4.625
37;cbegue;w7)CGbyr_dR3;Hubert;Roland;2002;16.098;15.558
37;suzanne88;DI(O50Mn8)ft;Bourgeois;Étienne;2002;8.325;5.981
37;alfredguillaume;*&zKMHdnB3Yk;Marin;Paul;2002;18.362;16.187
37;marcelle92;je9)4Plr_ZDc;Chauvin;Sylvie;2002;13.951;4.108
37;zmarie;CpYvy(S90d)0;Chevallier;Matthieu;2002;13.006;9.926
37;chauvetlaetitia;#6XfsbRg8RTr;Girard;Maurice;2002;15.966;9.402
37;duprebrigitte;dG+HS7xo@F9s;Lesage;Emmanuelle;2002;19.766;13.11
37;veronique66;Rv%Jz3FiYvl9;Bouvet;Timothée;2002;3.554;3.033
37;catherine55;bfFD0iWay&f%;Mathieu;Sabine;2002;15.765;3.869
