idLycee;login;password;nom;prenom;naissance;note1;note2
38;eric04;uU9Ey&q7p@$&;Leclercq;Émile;2002;18.811;16.863
38;agathe90;i8DPAvLg$Pt9;Bouvier;Susanne;2002;5.908;14.784
38;kpineau;^wFl%)HXq4K9;Jacquet;Alain;2002;7.75;7.382
38;aurore44;TVYH8qq#*31a;Roger;Xavier;2002;13.32;12.374
38;gchevalier;Y68Uk5Om+0)A;Moreno;Sabine;2002;8.574;14.244
38;elodieallain;MOL9kkO+%0XZ;Evrard;Henri;2002;12.787;6.702
38;sparis;C@Jl3Ibi$Qzu;Aubry;Emmanuelle;2002;19.16;4.974
38;ischmitt;JVsXyN((&7nA;Lambert;Danielle;2002;4.192;18.63
38;claude70;&&PdLXP^*7ZW;Bonnin;Nicolas;2002;14.988;14.692
38;marcelle21;o#Fw1tccv+8W;Guilbert;Alphonse;2002;16.202;13.873
38;martingallet;Rf0H7i3Xz+DC;Muller;Véronique;2002;7.35;9.368
38;alexbertrand;m4p9Pm7L(ZTD;Barbier;Christiane;2002;6.768;18.407
38;zthierry;!+48ZsR)9GsJ;Carre;Henri;2002;19.707;16.768
38;maryseleger;mp&7T0Hk+9wn;Menard;Monique;2002;5.633;12.24
38;dumontfrederic;u(wdx5$zNOva;Pires;Stéphane;2001;13.463;12.029
38;hguyot;8jGGeEEqc*A4;Louis;Lucy;2001;14.152;9.82
38;paulloiseau;TSI8Ws5ac)nV;Barbier;Pauline;2003;4.285;4.232
38;opetitjean;9Ew7rY#ms!Hn;Pages;Susan;2002;18.058;8.397
38;roland86;A5SF8_Dv*_!D;Boutin;Chantal;2002;5.607;4.866
38;nicolemarie;$71PRgwqV21%;Morel;Anastasie;2002;7.399;18.943
38;jacquotdaniel;Qc)OJBozJVc1;Nicolas;Stéphanie;2002;14.986;9.401
38;etienne46;&o0S6Uclv)JB;Jourdan;Martine;2002;4.405;17.593
38;augervalerie;^JH2wlzdp5P6;Leger;Michel;2002;4.086;18.745
38;tgerard;gT9JEnaQs+O+;Bouchet;Sébastien;2002;13.15;9.405
38;cecilecourtois;IK_m*cWt2^25;Mallet;Marguerite;2002;8.674;17.301
38;margot70;y177CxuA+Pwr;Jacques;Frédérique;2002;6.191;16.797
38;benoitbarbier;IGHYWa6pn4^0;Carpentier;Jules;2002;17.999;12.895
38;girardmargaux;^2R2xeB1e%Pp;Lecoq;Thibaut;2003;17.079;13.346
38;qferrand;zL5ZQ!abf@I+;Perrier;Simone;2002;15.966;18.407
38;edithlaunay;9Z$ZVZ6yaiH0;Masse;Marianne;2002;18.615;5.733
38;nbecker;N4BZTAum#7tW;Godard;Auguste;2002;7.734;9.585
38;vmaillot;#1!^#PeoUG9M;Hernandez;Pénélope;2002;14.695;12.272
38;sebastien07;FCBN9KJgD*1B;Lacombe;Françoise;2002;15.468;10.435
38;levygregoire;@2%9M1(3R&Ri;Costa;Alex;2001;6.834;12.583
38;delattremichelle;XI3xQu@PG#QJ;Boulanger;Capucine;2003;10.779;18.455
38;constance40;(7LWz4nzhcKB;Laporte;Gérard;2002;2.756;16.934
38;hameltheophile;Wj9YJbcq4#Zo;Peltier;Marine;2002;5.002;11.316
38;orey;$9GBj!I%3muv;Pelletier;Henri;2002;11.141;12.555
38;vincent09;Sca7vZlI+1Lg;Fabre;Julie;2001;14.124;8.707
38;carreastrid;6fbh2Fd4@9SC;Bourgeois;Isaac;2002;11.487;19.525
38;poulainbernadette;^ZO2+Zr%h2!3;Andre;Rémy;2002;5.255;3.819
38;claudepottier;+23sjReqVLwD;Tessier;Patrick;2002;16.474;14.583
38;juliettedos-santos;O&3!BDkd_mj$;Brun;Grégoire;2002;14.863;13.861
38;gregoirenoel;!Nd)OhvD#B%3;Diaz;Philippe;2002;3.402;11.849
38;gilletoceane;w+7ef64hNZnc;Michel;Isaac;2002;19.992;17.165
38;raynaudpaul;&_pI1zUpvFUf;Barre;Jeannine;2002;6.803;9.582
38;clercalain;s1)*xRB@kJYE;Lemoine;Odette;2001;16.283;17.735
38;honoreleveque;OT4TfkIA+R1Y;Rolland;Thibaut;2002;2.2;14.23
38;duvaleleonore;@z&j1&Zb4MMV;Peltier;Daniel;2002;3.825;6.503
38;moulinvalerie;8QFwB!ow+8H3;Benard;Laetitia;2002;15.775;19.289
38;oliviepelletier;qwMqanb8S2F^;Cohen;William;2002;4.149;2.911
38;legrosgeorges;O*^3jAztTG%k;Dos Santos;Adélaïde;2002;18.042;12.263
38;michelle82;MB3X7VIu^Ff^;Mary;Pénélope;2002;10.168;8.89
38;jacquesmarin;&zTxY_CZs2fd;Pelletier;Paulette;2002;12.902;7.49
38;corinneblot;7@WjLqMlsAG1;Caron;Marcel;2002;17.04;9.348
38;acousin;SKPh7AfPp(nw;Ledoux;Océane;2002;17.752;14.157
38;mercierjosephine;$nrBzQCdeM47;Etienne;Aurélie;2002;12.221;16.019
38;marie99;O&s$^CSdZgy6;Boulanger;Anne;2001;19.248;8.614
38;deniselacroix;2%tiv)u((GV2;Bruneau;Louise;2002;8.534;7.571
38;philippinerodriguez;q)GkzXZ@&4M$;Boutin;Inès;2002;15.263;8.595
