idLycee;login;password;nom;prenom;naissance;note1;note2
39;agnes70;0jO6DojQ)hsH;Guibert;Gabriel;2003;17.859;7.896
39;galletisabelle;*7wh&w*ukJX);Dias;Martin;2002;7.526;14.062
39;joseph27;97l6lHez!xPe;Humbert;Juliette;2002;12.157;19.513
39;veronique12;(@0UDRow(BfE;Moulin;Jeannine;2002;4.577;5.096
39;marcgeorges;hk8vrO9z!581;Legendre;Victoire;2002;16.707;15.665
39;suzanneraymond;+Lp+vHdB_L5P;Peltier;Laurence;2001;18.223;3.14
39;kvincent;bq4_Rh7lJ_$4;De Sousa;Gabrielle;2002;5.361;15.033
39;tlaroche;nzg_hRPf%8Ur;Guillon;Manon;2002;13.228;14.452
39;theresepascal;m0CWmMBiQ%4(;Noel;Inès;2002;6.243;8.902
39;rlamy;@RRBJuKq1a2b;Albert;Laure;2003;2.4;18.493
39;augustincollin;2(6KQNb33wS0;Navarro;Monique;2002;17.48;6.368
39;mruiz;aoQ#6Lpq7TgQ;Bailly;Juliette;2002;17.563;16.61
39;alix93;@(7NrnKiB#*W;Laroche;Marcelle;2002;4.659;15.766
39;charlescapucine;uJ3(9Mpgoy)I;Chauveau;Michel;2002;11.618;4.008
39;antoinette83;B8CpH^S3_voy;Marion;Jules;2001;13.051;15.685
39;henri69;6a5+JeevGI%W;Rey;Andrée;2002;6.867;18.677
39;frederiquelebon;%30TMy)a*Fvs;Berger;Hortense;2002;2.597;19.454
39;benjamin03;K8*C!0uL@gPk;Fabre;Arnaude;2002;7.4;9.79
39;anne09;*1OvNjrOBp6c;Guilbert;Alain;2003;14.643;12.223
39;anais93;@Mh6fOz*h*eI;Perret;Sébastien;2002;18.866;13.183
39;christineriviere;&o1)jfM9vAEY;Masse;Éric;2002;5.346;6.83
39;lsalmon;l$Rx2YtKJkLx;Da Costa;Éléonore;2002;15.392;17.804
39;georgesjulien;8Lz+GlVb_&t5;Rousseau;Danielle;2001;17.098;15.855
39;bda-silva;*x0+Hpmycv@N;Peron;Émile;2002;9.297;7.808
39;menardgilles;aSuZ)6IpRQ_Y;Blot;Suzanne;2003;9.896;2.981
39;hugues91;G1pBFhr2&FTz;Evrard;Jérôme;2000;11.607;5.023
39;ledouxfrederique;T+jBLzkj#C0L;Pineau;Andrée;2002;14.463;6.267
39;jacquelinepichon;fPtJZ$5f80f#;De Sousa;Margot;2002;19.197;18.498
39;hpetit;*VSqn36d3YEz;Ruiz;Aurélie;2002;12.3;3.206
39;glaunay;4oyMBNgVF&7b;Pelletier;Maggie;2002;18.904;5.058
39;laetitialegendre;WZU+3jt7Nt9t;Couturier;Christelle;2003;2.242;3.0
39;bourgeoissimone;$vbxBP$o0*2r;Mendes;Élise;2002;10.25;4.659
39;aberger;!Vg6qWcQZdy(;Gimenez;Thomas;2002;13.974;5.482
39;guillonmanon;lq+X8I)Fh%3g;Humbert;René;2002;9.54;13.752
39;aroy;%Xs@ZcOdSh!2;Thomas;William;2002;15.46;18.224
39;victoire07;V2hJ1WgF&$Q);Bazin;Aurélie;2002;8.065;4.56
39;isabelle36;)d8S5fyG73#b;Delattre;Georges;2002;11.057;15.955
39;rtexier;#R_Nea!7d1ZS;Renaud;Renée;2002;15.588;18.458
39;gabrielle42;ll!P&EcyL4C$;Brunet;Susanne;2003;12.346;5.901
39;edith23;U$MYHIe9hT0M;Allain;Luc;2002;19.673;10.599
39;njoubert;A*ZR9y!vM&9r;Delmas;Adrienne;2002;12.436;6.003
39;mbegue;%iW1YMoc@H@W;Jacquot;Sophie;2004;4.605;11.142
39;traorebenjamin;%I3871Njea*k;Le Gall;Margaux;2003;19.041;19.645
39;vaillanteleonore;cVbgSf^dX!I5;Fouquet;Pauline;2002;14.648;2.211
39;orodriguez;!$I50gAY4orO;Thomas;Adélaïde;2002;13.155;14.274
39;tristanvidal;gZ!Jn@xw%f9A;Munoz;Théophile;2002;16.114;17.806
39;blancharddiane;^O$9P7IlWR0T;Regnier;Victoire;2002;13.882;2.293
39;marcel03;^ulHCbwS4_fq;Hernandez;Isabelle;2002;8.117;2.217
39;louisclaire;rK(FNh52Q402;Guillaume;Michèle;2002;17.299;18.757
39;ndeschamps;g%zp8Tfk4m&T;Bertrand;Agathe;2002;16.639;3.698
39;susanne74;kl^56RmG%214;Mendes;Élisabeth;2002;5.89;17.145
39;veroniquegrenier;M@9FMceHERJ^;Lopez;Isabelle;2000;7.032;17.758
39;etienneleconte;y*5Mk!XK$W4C;Baudry;Étienne;2002;12.339;6.196
39;arnaudelemaire;2XrQl)Hg_)d*;Fouquet;Thierry;2002;10.776;2.438
39;luce10;+$mnMYhdk+(5;Nicolas;David;2002;19.695;13.358
39;camilleleblanc;91#lbZtt)z+i;Bernard;Xavier;2002;9.836;7.258
39;marie45;^$fxh60*6r@A;Coste;Louise;2002;13.715;2.028
39;vincentolivier;@4dTZE2gxbCn;Dubois;Olivier;2002;18.476;4.285
39;guerinlaure;ai(D9TnVEcCd;Barbe;Camille;2003;11.516;10.703
39;margotleger;jQj1lwKgD)t0;Blanc;Cécile;2002;10.941;5.135
