idLycee;login;password;nom;prenom;naissance;note1;note2
40;raymondadelaide;xi1G*uYa&h#8;Costa;Richard;2002;16.77;19.049
40;nicole60;$WVZ9URperjJ;Teixeira;Margot;2002;14.948;5.286
40;aguillon;!d#57AMpQV#K;Schmitt;Audrey;2002;19.901;6.115
40;eliselebreton;_72&8Cm3xESA;Gilles;Eugène;2002;5.806;3.435
40;gabriel48;ZS2LfnMS^7EF;Dumas;Adélaïde;2002;11.214;15.753
40;adele26;JO0Zxz2TH*8F;Gallet;Valentine;2002;10.744;15.626
40;wlemaitre;s0$6UtfATDI_;Payet;Alexandria;2002;8.693;13.502
40;guillaume85;^2LsKOg+dZfB;Grenier;Tristan;2002;2.557;6.786
40;rochedaniel;t@F4MfXR%(zo;Gosselin;Vincent;2002;9.893;9.963
40;juliegautier;_N(NkV#yf4YC;Schmitt;Christiane;2002;9.869;14.255
40;jacobauguste;#^SiJifks$0K;Samson;Emmanuel;2002;11.338;12.886
40;isaac69;y#xZyLqO@@7X;Chartier;Lucas;2002;8.898;11.529
40;francoisemarin;%HE1nCHuAcx^;Morel;Capucine;2002;2.07;19.283
40;thierry18;y_^md5VH9m@4;Buisson;Claude;2002;12.574;13.495
40;lucas80;!+7QDC2z8aBI;Ollivier;Céline;2002;12.269;10.13
40;alexandresylvie;&9Ax+MzsAwV_;Guichard;Margaud;2002;4.436;3.715
40;remydiane;#&GFXplG1@Ym;Meyer;Caroline;2003;9.109;5.819
40;margaux83;@cRUUg$Fh7Qo;Picard;Lorraine;2002;19.955;13.361
40;camille33;Zr)4$UO4F@pC;Dupre;Bertrand;2001;14.937;7.058
40;blanchetdorothee;B$0xLaGtRfRM;Chevallier;William;2002;16.13;6.071
40;charriergabriel;*9HsXw2l*R9$;Cousin;Paul;2002;6.943;16.845
40;lefebvrejulien;B%N3SICua%hv;Jacob;Étienne;2002;17.037;6.056
40;andree79;b7iS_zd^($k3;Leclerc;Jeannine;2002;17.36;2.681
40;lda-costa;n8kkOOKsQ#%4;Chauveau;Océane;2001;14.503;17.354
40;marcelmichaud;fY+6FzbD@nA(;Clerc;Andrée;2003;10.461;16.143
40;alexandreguy;LVQCP42ys#nM;Hardy;Alex;2002;11.63;5.404
40;wlegrand;DjXy%b(b_0Jm;Schneider;Auguste;2002;19.415;2.319
40;ipineau;o!g*)0Az#%5Z;Dos Santos;Joseph;2002;12.347;10.786
40;qrichard;IwKkT5m8%TH3;Boulanger;Jean;2002;9.033;14.084
40;marcelle75;BI*6NdkO)GFC;Chretien;Céline;2002;9.807;2.077
40;ineslopez;!Zbw2MWzo#aU;Maury;Frédérique;2001;11.635;7.093
40;buissonguy;@2Flt9c_*nYJ;Texier;Tristan;2002;5.371;13.598
40;suzanneclerc;&02Ga!z(Jmwb;Millet;Aimée;2002;14.023;4.678
40;gilbertchristelle;p32mCLj7%6Qu;Didier;Guillaume;2002;5.885;18.544
40;anastasie93;*@nPpx%sn*4q;Germain;Anaïs;2001;12.688;11.754
40;lopesmichelle;*eBg2hb4612F;Guibert;Adrienne;2002;8.116;14.965
40;ocolin;b@)#PdU91)3F;Gregoire;Paul;2002;13.947;19.233
40;rouxguillaume;#H1OS8_U5wBy;Buisson;Susan;2002;6.177;19.042
40;margaux59;lo^E9WKu2CW*;Le Gall;Hélène;2002;7.217;11.3
40;simoneberger;LH^@Zv4@7)3G;Normand;Célina;2002;14.233;11.763
40;celinadubois;3+Phu($b$P2%;Pelletier;Hélène;2000;14.791;9.14
40;ferreiramargaux;*1SmK+LpnZQ$;Begue;Agnès;2002;5.277;12.605
40;charrierpaulette;vbGNVOeQA(0v;Valentin;Marie;2002;16.752;10.998
40;alainmarie;&9VXIqxR6B9r;Maurice;Célina;2002;13.532;19.793
40;diazfrederique;9^E_@esy(ksW;Courtois;daisy;2002;7.562;11.302
40;nathalienavarro;9VTcVZd($vaR;Peron;Patrick;2002;3.459;5.927
40;vdubois;i+6sYqHy1mzQ;Dijoux;Alain;2002;7.366;14.113
40;renee64;gb8+W!nr(2bQ;Dumas;Aimée;2002;2.329;18.731
40;buissonelisabeth;*7F9Npl_Vx@J;Prevost;Arnaude;2002;13.644;18.06
40;zhernandez;!V1#4Pbo&qRo;Delorme;Nicolas;2002;11.387;2.963
40;williambailly;meC#taFn0*4N;Roux;Brigitte;2002;19.991;9.943
40;georges89;G6t%4zxs^kmY;Letellier;Sébastien;2002;8.663;5.28
40;vdenis;)OiIBs$2@f5c;Guillaume;Jérôme;2003;14.712;7.751
40;duhamelmargot;g#8e5xrC$Bn0;Regnier;Paul;2002;3.619;13.11
40;imbertmarcelle;tD1iH_PI$266;Masson;Jules;2002;6.702;11.861
40;gilbert96;s*lCJte#)sb3;Begue;Cécile;2002;9.406;14.621
40;rousselsylvie;@)N!YHFSj0mA;Collet;Thierry;2002;16.179;14.356
40;denis47;I+01awQg)*UB;Lebon;Inès;2002;10.048;2.265
40;emaillot;%GGn#bV0bQ8B;Bonneau;Véronique;2002;15.651;4.085
40;costejules;$0CmJEOt)fCN;Hoareau;Arthur;2002;9.799;3.936
