idLycee;login;password;nom;prenom;naissance;note1;note2
41;danieldelannoy;!y2OOY#2i0Jg;Lambert;Laetitia;2001;12.381;7.63
41;adrienne50;6_5hMZjx&WwC;Marechal;Jeanne;2002;7.381;13.363
41;michelle69;$p1D9sRqC%O_;Gros;Roger;2002;8.958;8.105
41;manon56;0tn(Bkd_$V8%;Aubry;Aurore;2002;12.775;3.148
41;alix47;_*cB26wL&3*V;Michel;Aurore;2002;19.151;6.469
41;maryse99;G0U%hZ41)uu#;Bouvet;Clémence;2002;14.714;11.683
41;elisegilles;$H8WmZtquAnY;Guyot;Guillaume;2002;19.259;5.096
41;uchauvin;(_@#3iJsmlfk;Morel;François;2002;12.769;19.424
41;martineausimone;63p$b4#S2yIo;Bodin;Frédérique;2002;4.106;18.751
41;nguyenisabelle;xr!6CJy9IwtM;Chauvin;Sophie;2002;15.828;15.482
41;daisy05;(cFAV#Or97^m;Chauvet;Thomas;2003;11.012;15.862
41;emilie09;wA!nX#Zw)Fw1;Boutin;Aimé;2002;9.719;14.377
41;lucashernandez;4NzTuHdm#w9F;Denis;Diane;2002;9.724;5.448
41;vdescamps;q*6HH5q5(Xjw;Weber;Antoinette;2002;3.191;11.076
41;mauricephilippine;_xwqwFan8&5+;Torres;Grégoire;2002;13.846;3.896
41;sophiebenard;C$ETG_ht(7ts;Dias;Sabine;2002;13.359;10.95
41;nathalie77;^3c8VcqCIV2!;Benard;Stéphane;2002;6.832;18.856
41;jeromelemaitre;OCXOy7o2(w+6;Raymond;Raymond;2002;16.213;15.69
41;gjulien;T18zEOTs#yTI;Denis;Patricia;2000;16.483;6.426
41;qbenoit;M4kr3ivV)a9F;Lamy;Élise;2002;13.193;5.326
41;etienne71;+k*uCAlm2g@5;Le Gall;Antoine;2002;13.001;17.509
41;adeleledoux;MJ&JoBQxF!p8;Gaillard;Luc;2002;5.651;5.363
41;vincentpires;XcIU@BT5+21v;Julien;Denise;2002;10.676;17.912
41;alfredschneider;P@7dI3S$YmQJ;Coste;Isaac;2002;14.841;14.832
41;begueelodie;6hne8Ljf&aQs;David;Benoît;2002;13.199;8.657
41;ubouchet;aU8PTna9x&*N;Charles;Bertrand;2002;15.248;8.47
41;thibautjoly;!3NZfvrM9%kh;Antoine;Odette;2003;6.262;19.043
41;michellerousset;*x7vD*(ogERT;Brunel;Denise;2002;12.825;17.408
41;hugues16;$0p1+V0@DkPj;Aubert;Aurélie;2002;12.419;3.114
41;rogeranastasie;k#0RJwqoO9uY;Marques;Monique;2002;9.563;7.647
41;martine28;%2(YFf@)%YPC;Pruvost;Michèle;2002;2.026;6.371
41;lucie09;nfSN4SJi(lLY;Seguin;Valentine;2002;19.89;2.085
41;hugues85;cLNido1N%7kv;Collet;Anouk;2002;6.317;14.674
41;cpeltier;^y$BSMIuqMy1;Deschamps;Lorraine;2002;15.892;6.252
41;maggie92;5ayTVh9h^4hJ;Briand;Gilbert;2002;5.301;5.296
41;parischristine;eg0Wi(tiYb_y;Simon;Caroline;2002;11.476;2.772
41;caroline40;$A#k716e4v_M;Petit;Noémi;2002;14.399;14.457
41;claudine66;&l7MAakCbF9d;Marchand;Christiane;2003;14.149;15.829
41;rbonneau;0z2TtWoU(kKH;Merle;Frédérique;2001;6.358;7.375
41;cphilippe;(UX%Wlgb*m9B;Faivre;Joséphine;2002;6.149;10.644
41;williammaury;p2TQgnWeB*T%;Lenoir;Nathalie;2002;3.727;19.609
41;ahoareau;335bd9V0%jXD;Gros;Philippe;2003;7.959;6.103
41;michelollivier;SCS2YVfqH$xe;Foucher;Patricia;2002;3.654;3.374
41;ramoseric;0%w$i_o%*hOS;Rey;Victoire;2002;14.733;9.469
41;turpinaurore;*NLfJ0bdz)5D;Descamps;Alfred;2002;19.823;10.851
41;bernard55;^7394fmYH*XB;Poirier;Sébastien;2002;19.102;19.484
41;techeralexandrie;RzM9hJSw_eZ%;Legros;Valentine;2002;14.605;13.557
41;barbealice;ww3xP37v#39h;Mendes;Martin;2002;2.764;18.774
41;monnierroger;wM25JZev*s3C;Roche;Alexandrie;2001;10.301;12.896
41;leon85;1R6&WWOxc*_H;Dubois;Arnaude;2003;10.234;11.175
41;theodore79;+$TkRYbE_7t_;Gregoire;Agathe;2002;11.583;18.477
41;pageslouis;vt4ou3A37%ga;Duval;Raymond;2002;4.509;18.806
41;parisnoel;#PtBQLOl_2jL;Labbe;Victor;2002;4.564;4.923
41;marcelle12;K6S0pGnlA_7U;Weber;Charlotte;2002;4.014;4.689
41;hmuller;d7tY8g*N@3vg;Chevalier;Anaïs;2003;14.012;11.336
41;sjacques;r2N&!7JrWk^N;Guilbert;Susan;2002;6.596;4.756
41;robinnicole;3YUT*DUx$N_G;Guerin;Lucas;2002;9.542;2.072
41;philippine68;)dIgfpZKXS6E;Pires;Catherine;2002;13.541;11.315
41;susannemace;(s5kSt0+2%$d;Gilbert;Henriette;2002;7.477;12.989
41;jean07;x1Cy^7Tk#MB7;Leblanc;Jacqueline;2002;4.768;10.597
