idLycee;login;password;nom;prenom;naissance;note1;note2
58;fpottier;wR5fhucc@5O#;Petit;Émilie;2002;9.831;10.875
58;renardceline;s7z(6Vba&)l6;Perrier;Daniel;2002;6.265;12.92
58;anastasierodrigues;!rzlISPb*(6(;Delorme;Agathe;2003;5.137;3.625
58;boyerfranck;gXD&+JBy(a7A;Chauvin;Théodore;2002;17.953;10.615
58;capucine68;#le(0I^jm_RX;Schmitt;Maggie;2002;12.74;11.089
58;pelletierlaure;Ioo3L()2!!Ac;Fernandes;Susan;2002;3.573;4.508
58;frolland;&NTXVaAf_b6Y;Hebert;Paul;2001;15.968;5.901
58;alainnormand;gGHp0kCu*5gz;Bernard;Théodore;2002;10.403;16.149
58;renee67;79f5OqLrw#mJ;Reynaud;Jacques;2002;16.903;15.44
58;agathe83;f(0bgKZR!5KD;Thomas;Marcelle;2002;19.702;6.774
58;matthieurodrigues;Z06@pa0q+YVD;Guillot;Grégoire;2002;16.219;9.521
58;mercierdenis;*4@QPZX)Rij&;Blondel;Isaac;2002;15.372;9.72
58;collinceline;i19r0Zxg+5L0;Guerin;Michèle;2002;11.151;14.349
58;eugeneramos;Z8SKI_Qy+0Q(;Gillet;Océane;2002;4.627;11.094
58;valentintheodore;yG@98La7QZ+l;Hubert;Camille;2002;17.149;14.681
58;omeunier;_1*@1DJg3MpT;Tanguy;Adrien;2002;16.217;8.204
58;weissaimee;x))!FWJzdRt2;Brunet;Jacques;2000;2.654;15.686
58;baronelodie;$tE6G2mf3#+4;Humbert;Alexandrie;2002;7.22;10.176
58;gpayet;_+66Cezj($XL;Renault;Gabrielle;2002;9.253;17.111
58;celina24;@u!qwIDpJ4AC;Charpentier;Alice;2003;3.132;19.9
58;fmarchand;W97%Uptp(_#W;Delannoy;Aurore;2002;14.697;9.195
58;raymondaudrey;&U!gDvwW%Td7;Voisin;Vincent;2003;4.262;7.501
58;guybazin;^7(eEc)wyx0F;Navarro;Christophe;2002;10.24;10.809
58;margotpeltier;*jHz$xADU9DY;Mercier;Hortense;2002;19.118;7.115
58;mjourdan;j@qVhCd_4y1L;Poulain;Dominique;2002;17.586;9.794
58;marychristophe;ak146yPh*whU;Levy;Patricia;2002;13.695;5.161
58;patrick18;*v^Moh)UgA7L;Paris;Tristan;2002;6.597;14.212
58;colette19;Ef&^DPDVG#2R;Thierry;Lucie;2003;16.233;14.934
58;tvallee;6(w13SmRar3j;Thibault;Valérie;2002;19.021;18.5
58;pleblanc;9fRHKr)z#&wA;Bourdon;Thibault;2002;15.785;3.289
58;frederiqueklein;)3Ydordl&HGy;Gilles;Jérôme;2002;18.835;11.103
58;alexandriecoste;416(Jakb*BWZ;Charles;Charles;2002;14.265;6.433
58;capucinedupre;e+U5#My^O*0M;Ferrand;Margaret;2002;5.813;17.124
58;henri94;L4lE&kNQ_VB^;Deschamps;Patricia;2002;10.963;6.596
58;olivier80;B#7bGX9kU6F$;Samson;Laetitia;2002;18.9;12.301
58;josephinemeunier;!@7$p&SlUcHO;Guyon;Christine;2002;7.172;9.87
58;nlaroche;y$O84Rvyt^PT;Pineau;Aimée;2002;16.068;6.217
58;pierre04;g%F4H1mZ_8));Marie;Gilbert;2002;16.27;9.618
58;menardsuzanne;ZC^IgV)tD_7^;Julien;Agnès;2003;12.41;19.942
58;daisypires;uBFDXBxi#17r;Grenier;Alain;2002;17.332;2.24
58;patriciabaron;H*A4mGZgux(s;Denis;Bertrand;2002;6.163;7.651
58;gabrielle86;F6U8qAJf!Aj8;Delannoy;Isabelle;2002;16.668;16.876
58;wgomez;k1SwBE$s^8kN;Payet;Louis;2003;4.178;19.265
58;margaux17;#X2M(3w5E_4x;Allain;Astrid;2002;12.8;11.961
58;dominique49;%10$MFImWYzM;Goncalves;Édith;2002;2.095;6.304
58;hamonjulie;)kSar_v%xC6K;Marin;Matthieu;2002;19.848;15.419
58;juliette47;&4FakDp7vv1D;Bouvet;Édouard;2001;17.152;2.343
58;lacroixtristan;#5GEZ2TlO&Lz;Maillard;Capucine;2002;13.959;14.327
58;nathalielemaitre;&3)XfciGu2PW;Diallo;Clémence;2002;5.349;3.584
58;emmanuellemaurice;ch$c8Rp_zZ8@;Brunet;Tristan;2002;12.321;14.078
58;andre31;!4I)hZEG3uwk;Klein;Stéphanie;2002;7.72;19.0
58;wdupuis;%2W7Qzi##aIg;Hernandez;daisy;2003;7.051;9.793
58;iduval;C$xn4Ugs3(54;Valentin;Jeannine;2002;8.278;9.498
58;andremunoz;)9X!(ydpRgLO;Thibault;Valérie;2002;3.39;7.79
58;joseph79;rZo_Zm0h$1lZ;Berthelot;Emmanuelle;2002;5.057;6.363
58;atessier;#O)nExx4b3ZX;Lamy;Martine;2000;16.872;13.691
58;celinebaudry;#jOj&IBFS1(V;Blanc;Lorraine;2002;2.675;19.73
58;auroremartin;_Z*s@d&h7PRf;Mendes;Philippine;2003;14.583;14.486
58;alixguillou;&1bL8q4TiOT$;Gimenez;Alain;2002;16.157;4.264
58;guillotdaniel;irk^7LUrY&@(;Buisson;Louise;2002;13.149;14.631
