idLycee;login;password;nom;prenom;naissance;note1;note2
59;hmorvan;+VfBnS1pR6jz;Rocher;Hortense;2002;3.606;18.415
59;denisebonnet;*_b!nef_)R2B;Prevost;Alphonse;2002;9.387;11.388
59;legerjeanne;d&1UFJmdC^8g;Bertin;Virginie;2002;14.006;10.302
59;picardjerome;zX6NBstg#pT5;Perrier;Margot;2002;17.509;13.292
59;charpentierbernard;d08whQoe73T_;Imbert;Audrey;2002;15.154;6.115
59;kgilbert;4TYpNEuH@%aa;Charles;Lorraine;2002;8.39;5.98
59;maggiemartin;0^62Sie^@&I1;Berger;Victor;2001;9.768;4.847
59;lcousin;6_8+jPsiamUk;Lambert;Jean;2002;17.279;12.564
59;ljacob;*+X4MjxC@6H5;Garcia;Marguerite;2002;16.863;3.944
59;wpichon;16W4ba0k(8#v;Mallet;Claudine;2002;14.975;18.659
59;astrid87;C#0mpV6*oz5K;Hamon;Cécile;2002;9.081;3.98
59;sauvagelucie;0ICd8$Pr+r28;Pruvost;Thierry;2002;3.137;11.835
59;amary;#9HKTyqgMxiz;Teixeira;Sylvie;2002;10.128;11.165
59;zramos;65bQl&mOa3o$;Letellier;Frédéric;2002;9.734;3.739
59;chantal62;P)8LE)vNGo35;Marchand;Océane;2002;17.2;4.846
59;emeunier;27R1_HssK%RO;Guyot;Françoise;2002;15.141;13.805
59;alfred67;Gd17E7@z8*8J;Peltier;Manon;2001;17.565;3.607
59;dlaurent;@3#Tf%OFHad%;Perez;Auguste;2002;4.534;9.275
59;philippesylvie;3ftE%pGt)ILI;Moreau;Anastasie;2002;4.088;8.574
59;gauthierbenjamin;@lQdjpPc68d^;Francois;Marthe;2002;19.145;16.696
59;valeriecourtois;Ww1D4NU#a#Iw;Devaux;Anne;2002;6.793;12.946
59;morinjacqueline;!6oVi97mTfPf;Rousseau;Georges;2002;8.779;11.858
59;monniergeorges;x7J5gkO9$%cH;Guillet;Christophe;2002;13.428;9.144
59;guyonalfred;At_lq&OaN2Sj;Laine;Geneviève;2002;7.775;5.124
59;martelmargot;8)8FhVPw3XiO;Jourdan;Sébastien;2002;2.631;6.219
59;xcolin;c^xTRsZrdc66;Lagarde;Thibault;2002;17.501;12.597
59;lhernandez;EAUkFG!fKF+8;Nguyen;Martine;2002;11.121;16.913
59;emaury;l)LG!XxzYY5J;Vallee;Guy;2002;6.362;3.091
59;clementalexandre;OT0R(XiK&HBS;Rousseau;Anouk;2002;6.562;16.209
59;alexribeiro;Kk($^O1w+)!8;Lucas;Nathalie;2001;14.828;17.297
59;camille86;$*MlCgKy#l1t;Delaunay;Martin;2001;17.821;17.478
59;jacqueline99;yP^4PAl&u%iK;Pascal;Léon;2002;6.851;13.576
59;celina48;_c7brj%S1DxA;Noel;Élise;2002;12.424;17.717
59;neveupaul;$#*MRRp9r+3Z;Roux;Henriette;2002;17.758;5.77
59;virginie40;zUW6GX#l)R27;Le Gall;David;2002;13.901;17.307
59;carolinecaron;)7HMZz_PWf4w;Rocher;Susan;2002;6.013;9.828
59;roychristiane;&oj$$dZB%(0C;Laroche;Constance;2002;3.038;15.306
59;philippebonneau;1kp7YHw+$3(N;Raymond;Denis;2002;9.162;10.025
59;wmaury;+2^u5bPg@M@N;Pelletier;Jeanne;2002;8.684;8.288
59;adrienne93;PG5TtAgy)Okq;Gaillard;Margaud;2002;18.226;2.114
59;sophie68;PcLRZHgz!QL8;Boucher;Frédéric;2002;13.54;14.829
59;philippe37;kZY$4Ec5N9yT;Bigot;Rémy;2002;14.283;12.349
59;ldiallo;NaR3wEjULC_t;Auger;Chantal;2002;7.96;16.398
59;pirescatherine;%4X5!!sHe3ES;Pottier;Margot;2001;19.307;4.492
59;leroysuzanne;8j9OtZHNC%63;Humbert;Susanne;2002;2.686;17.551
59;xbreton;yJ!6)AfSLsVO;Levy;Luce;2001;14.929;10.647
59;massonalice;$q!O5Rrft4(G;Toussaint;Henri;2002;5.125;8.614
59;williammillet;O*7IEoOw7@2l;Levy;Denis;2002;8.078;10.314
59;adrienmartel;fU&90Ku1JDSE;Allain;Margaret;2002;8.549;8.25
59;pierrejacquot;V*7shs)zGG)P;Charpentier;Xavier;2002;9.38;12.256
59;theodoremercier;lKA)l1d(9^aP;Pelletier;Tristan;2002;6.969;11.52
59;frederic67;!b^uy4Nbys4C;Jourdan;Léon;2002;6.892;4.555
59;jbenard;@2tvqBic9!8K;Berger;Hélène;2002;8.511;16.565
59;edouard46;*LB2T!orT7yE;Payet;Bernard;2000;2.965;17.673
59;dianemeunier;*LROXNdx$65k;Couturier;Arthur;2002;9.101;18.444
59;eugene02;y*03XNi5sqs(;Boulanger;Grégoire;2002;5.164;12.47
59;catherine53;j)78QsZdSu@q;Rey;Michelle;2002;7.158;7.458
59;mallard;p*CMSNbDQ&4o;Denis;Édith;2002;4.447;11.374
59;ngosselin;(P8fCyeftCJ0;Gimenez;Grégoire;2001;4.673;3.75
59;adelaideaubert;!lN)AMId%Bd9;Normand;Théodore;2002;13.942;6.479
