idLycee;login;password;nom;prenom;naissance;note1;note2
60;diasbenoit;(2j9Ug_N9@5t;Benoit;Xavier;2002;16.539;13.656
60;piresanastasie;g6*+&pUXi5FC;Masse;Valentine;2002;7.402;12.82
60;susannelevy;SaC91#Cm^3gv;Leblanc;Nicolas;2002;17.492;15.769
60;philippinegimenez;587PyyoG!!WH;Perrot;Pauline;2002;15.659;13.489
60;bourdonsuzanne;3_yGDpKjxhw0;Rodriguez;Philippe;2002;14.016;2.52
60;alex31;Cot^Q+ot@B5j;Evrard;Laure;2002;11.783;12.77
60;morenojeanne;7fVBDoYSf%42;Lopez;Gilbert;2003;14.828;2.233
60;gaudinsuzanne;@AbWTD+_h932;Gallet;Pauline;2002;6.863;9.829
60;guilletadrienne;i9!Gz&xb3O%&;De Oliveira;Colette;2001;14.493;8.525
60;penelopepottier;%a65Thz8&#vf;Wagner;Gabriel;2002;10.682;5.7
60;valentine09;m#3ZHuxLNx3Q;Marechal;Constance;2002;9.16;12.762
60;delmascelina;Or7NcvIyR$I0;Adam;Zacharie;2001;3.647;17.729
60;dumaseleonore;I7MmZEQsvA#);Chartier;Tristan;2002;19.676;19.248
60;odette78;@pAEQDxt8Kk#;Guillon;Sophie;2002;2.37;4.18
60;ybrun;*+3WgZUJGpTg;Imbert;Danielle;2002;19.594;15.213
60;alexandria42;+H2VZxx@*(5c;Bonnet;Gérard;2002;7.3;10.521
60;antoine88;4OP*n2MoaCJY;Schmitt;Denis;2002;14.747;3.655
60;ljoly;am2hZYnKa1$Q;Bourdon;Vincent;2002;6.064;12.621
60;bourgeoisyves;+jG7DObNglRh;Torres;Thomas;2002;12.663;10.376
60;gabrielle10;_Pj5!OzH^AHL;Roche;Victoire;2002;2.762;9.773
60;maillotclaudine;uu84BbIrN(A9;De Sousa;Benjamin;2002;9.693;19.824
60;alixthibault;T&Y5fBED*7hx;Toussaint;Maurice;2002;8.355;16.108
60;benoit08;*)p3NgGFq(zp;Jourdan;Alex;2002;19.259;10.853
60;aimee96;+EEJqsW54GG#;Gaudin;Roger;2002;11.893;12.963
60;pichonlucas;3NT^VnLm!UL^;Masson;Catherine;2002;4.102;14.447
60;claudine61;u+8@ezV5M#*R;Albert;Maurice;2002;4.645;4.798
60;hvalette;&P8rBWPjk)*G;Toussaint;Aimée;2002;12.243;6.568
60;lucasherve;BYUHYoBb$9h@;Allain;Michel;2002;6.346;10.784
60;auroreguillot;^)KaveP!8noo;Grondin;Luc;2002;4.25;8.391
60;weberdenis;^eG3S*IldvT$;Gaudin;Margaux;2001;19.165;11.44
60;bigotcapucine;e2Z!A8ih$vUG;Rossi;Maurice;2002;19.704;5.236
60;bnicolas;*@Bi3gpRG91(;Thibault;Sabine;2003;18.774;5.341
60;astrid12;481$7slvW&lJ;Masson;Amélie;2003;13.786;17.181
60;brigitte03;uO2^Z&dQ$oEZ;Perrot;Augustin;2002;13.879;10.631
60;legrossusan;&*&V2LNwNsm3;Navarro;Dominique;2002;15.296;16.433
60;michele18;R#3O@pQv+eC$;Merle;Aimée;2002;7.725;10.605
60;xbourgeois;!b1c8)IdH^hW;Martineau;Andrée;2003;6.599;12.426
60;torresaurelie;E_x2Rs!eJB$&;Arnaud;Lucie;2003;17.929;7.722
60;ines45;%0mRRnkC+suA;Marty;Augustin;2002;9.219;19.254
60;claudinevincent;K(e8AfKjOhqD;Tessier;Zoé;2002;5.563;15.842
60;lorraineribeiro;U2MrlztA^xJZ;Martins;Suzanne;2002;17.212;11.257
60;martheriviere;w_8kgpn^M*!R;Bourdon;Gilbert;2002;18.392;6.558
60;bpages;m4Xb7nGr#)6Y;Hubert;Raymond;2002;14.054;7.907
60;hgautier;a4Wt#0CvpBu@;Samson;Alphonse;2002;18.134;7.246
60;isaaccolas;%0gAL_PkO58T;Bouchet;Charlotte;2004;7.959;3.85
60;graynaud;^(M#ImQB70$b;Gerard;Édouard;2001;15.915;2.862
60;dmaillot;dofYXiahj$4);Marion;Stéphanie;2002;9.62;13.691
60;zguyot;@eN$gFAwEM0P;Simon;Virginie;2002;15.532;2.237
60;aimee49;DdHHCyDGY0R(;Dos Santos;Anaïs;2002;18.057;13.225
60;massenicole;t6Tytb$V_QVq;Guillet;Susanne;2002;17.375;8.92
60;grenierpierre;A0%ZYhob1@+8;Delmas;Camille;2003;12.792;14.418
60;qdenis;1FltiQjw@(l6;Neveu;Stéphanie;2002;11.712;9.14
60;lleclerc;5h2lo&mA7#Q^;Lefevre;Gilbert;2002;11.83;6.6
60;colletdorothee;Bv+*SBiD*h9w;Guibert;Marie;2002;9.14;4.664
60;adriennerenault;W4J4aSQQ@phB;Rey;Roland;2002;10.628;9.344
60;capucinemerle;py4UmW!MF!ZB;Lacroix;Josette;2002;12.187;11.852
60;droux;Y2^QFcRySE4J;Collet;Roger;2002;13.918;14.689
60;augustin48;o0CXtR2p*rh4;Blanc;Hugues;2002;3.363;8.564
60;briandmarianne;$#P2K*PidjY9;Roussel;Nicolas;2001;15.789;6.673
60;alexandre12;3_HNZt9J_c2E;Denis;Lucas;2002;6.677;7.193
