idLycee;login;password;nom;prenom;naissance;note1;note2
42;ballard;*ARZNIODi8J^;Brun;Michelle;2002;3.725;16.407
42;cgilles;UMU!T6lEsZz5;David;Colette;2002;14.984;18.821
42;tboulay;%3o(rdWuQ*RL;Gauthier;Marine;2003;16.481;2.775
42;benjaminguibert;$hegz$AfF4)N;Becker;Stéphanie;2002;2.019;9.12
42;diane86;#O4e_9Zt74H%;Imbert;Bernard;2002;14.376;3.523
42;giraudgenevieve;$6PtEV6vT2qP;Coulon;Frédéric;2002;6.949;10.113
42;olivie95;!7Xhd#wbF0Cw;Pascal;Thibault;2002;18.125;6.709
42;eleonoretanguy;59O$d$SwU%%9;Traore;Suzanne;2001;16.031;6.928
42;colette99;y@E+issKJF6Z;Marechal;Martine;2002;13.532;19.843
42;pierre55;#5&I74Ap89A3;Germain;Jeannine;2002;19.2;12.379
42;charlottegimenez;^GANSxsbXe9E;Gauthier;Thomas;2002;19.995;8.625
42;stephaneantoine;l@g6Ex6mjb&1;Martin;Lucy;2002;7.824;11.616
42;clenoir;^2olkvbL!NWu;Clement;André;2002;7.323;10.7
42;philippine45;+5pHN8us%%Ej;Leclerc;Antoine;2002;4.336;2.394
42;alexandria31;h7DQuId#$5BP;Pages;Astrid;2002;3.255;5.794
42;aime78;7E2obfHBR+nC;Boucher;Christine;2001;15.511;3.648
42;obruneau;U2Dj+Frw*kjT;Lemaire;Camille;2002;13.668;13.017
42;pichonemile;Bq0Xxn%e8@(v;Marion;Louise;2002;7.02;6.028
42;laurentfleury;e#g3F3XpPcGv;Carre;René;2002;7.486;2.647
42;clemence25;2GQivTYc!hQ2;Bouchet;Émile;2002;9.963;8.479
42;laurentbouchet;*bP5dz+&67ck;Picard;Suzanne;2002;14.98;17.852
42;chauveaucolette;OB$lTh(co!N8;Leduc;Aimée;2002;18.774;14.775
42;patrick72;_U6A0E7gJlsT;Camus;Colette;2002;6.436;11.881
42;maryse45;z6fSTdg^X$!&;Pereira;Tristan;2002;6.423;10.945
42;lblanc;_6TKoTiZ%icc;Thibault;Isabelle;2002;6.113;11.845
42;wlucas;!$gNt2&$sS58;Richard;Arthur;2002;6.41;15.221
42;maurice86;&#KOfqLY2xGj;Thierry;Françoise;2002;12.611;9.131
42;maillardveronique;B3n*Zi%e)k^H;Leduc;Océane;2002;6.915;7.888
42;lucie67;97f9EuVs)e_C;Guerin;Élisabeth;2002;18.608;14.854
42;julesbaudry;(q0$Zqoo+7W3;Fernandez;Aimé;2002;18.68;12.634
42;toussaintsophie;&^w&6So474a7;Gimenez;Grégoire;2002;19.364;8.884
42;gperret;9XO64s$u*V&E;Lefebvre;Odette;2002;7.403;5.844
42;claude71;@y1EL#ht$TgL;Guilbert;Océane;2002;5.01;9.332
42;ines56;+d@9QgQt5f%I;Guyot;Tristan;2002;16.478;10.124
42;camillebriand;IRV321Em^yCu;Huet;Juliette;2002;6.61;7.606
42;gdevaux;jL@@4Zehrvz9;Garnier;Augustin;2001;18.289;4.397
42;margotherve;3AK#GNv8&%@T;Pierre;Christine;2002;8.373;6.217
42;ade-oliveira;&1O%nxuceUSO;Riou;Zacharie;2002;12.866;3.992
42;celinenormand;ra1KMU8OS_XN;Pasquier;Dominique;2002;8.339;14.281
42;nleduc;+R6D6up$Mk*(;Denis;Jules;2002;2.231;5.182
42;anaisgodard;pj9KVqzV*XlK;Blanchard;Margot;2002;10.101;10.667
42;pguibert;+^MqPMTJJ4Lq;Petit;Anouk;2002;12.604;7.772
42;wlesage;p+u1QAwyx84M;Gerard;Richard;2002;15.943;8.757
42;qtoussaint;l2WMO8Jz%UJK;Gaillard;Lucy;2002;6.696;11.562
42;yvesguyot;D3qy@u5A*(Bf;Georges;Marc;2002;9.524;2.322
42;picardlorraine;4&6jAYsNl5C1;Blin;Roland;2002;10.96;7.112
42;augustingarcia;@51q8+ZaZ2VK;Muller;Constance;2001;14.38;18.795
42;hribeiro;LJ0W0&)vm#PR;Barbier;Anouk;2002;11.722;4.379
42;olivier70;)8r^#gF4&ZN!;Mary;Alexandria;2001;14.058;9.03
42;meunierdanielle;M)jrIU4rfj89;Legendre;Valentine;2002;14.316;8.93
42;antoinette63;X6y@G*iB(bQQ;Fischer;Sébastien;2003;9.901;4.193
42;da-silvaadele;%NDWS9Zz85hV;Collet;Christiane;2002;8.239;17.104
42;barbieremmanuel;_)0lEzwof6bQ;Marechal;Manon;2002;6.19;9.27
42;marinegimenez;v9_8bNcD!%9v;Hebert;Claude;2001;7.335;2.064
42;barreluce;tR(IARDr@R4o;Hubert;Constance;2000;7.541;18.837
42;tristan60;!l1N@Qta$F%T;Charrier;Bertrand;2003;11.492;19.398
42;jthierry;P_5a0Vn(L^gg;Roux;Élise;2002;4.228;8.001
42;guillaumedias;$60wveOeRY9$;Chevalier;Michelle;2002;17.376;13.187
42;philippine80;uxZXB^u!CA!2;Vidal;Hélène;2002;19.744;9.122
42;michelemarchand;@BCFt%qtjE8Q;Delattre;Adrienne;2002;7.964;8.162
