idLycee;login;password;nom;prenom;naissance;note1;note2
43;bertrandguyot;W6LafxvQ4&9A;Pelletier;Henriette;2002;5.47;10.033
43;ygirard;Z_GhwLgMgU1r;Blot;Franck;2002;6.18;14.019
43;gilletroland;%1YDsvnW(#Yp;Tessier;Philippine;2002;4.365;14.691
43;audreypierre;%@vQCb+wj+2N;Germain;Rémy;2002;18.645;16.686
43;uhenry;A&2ZOAshFs!B;Ledoux;Andrée;2002;9.104;12.569
43;pdumas;@5B!7vLymLXq;Perrin;Adélaïde;2001;4.716;11.208
43;peltierrobert;*2s89o_&z)Vp;Gay;Jacques;2002;13.355;2.115
43;vincentrenard;!CFlFX24!#79;Riviere;Marianne;2002;13.001;10.012
43;alainfoucher;mF8Z6HeK(h^h;Begue;Gilles;2004;15.141;19.292
43;levequeanouk;8isN!Lsp(y!4;Michel;Tristan;2002;7.611;7.068
43;araynaud;)@7M*1_pSXYP;Labbe;Xavier;2002;4.458;14.831
43;eraymond;!z6H%!s#BRNL;Grondin;Richard;2002;16.309;10.873
43;isabellecarre;_MxSEIfp&ut0;Dubois;Caroline;2001;18.642;17.544
43;corinnedelahaye;ZG1B7HFrA%Z4;Bruneau;Denis;2002;13.418;3.076
43;mphilippe;x3btVncV@2De;Gimenez;Luce;2002;8.207;7.225
43;josephfrancois;#fm0d7SjS8oL;Bruneau;Charles;2000;19.553;8.954
43;bertrandlucy;%8cIOUEh+rUa;Bourdon;Zacharie;2002;7.643;9.33
43;fmoulin;#6PaTTfbFEmg;Normand;Lucas;2002;14.711;16.357
43;joseph46;ll9hHBqge_&!;Guillaume;Tristan;2002;19.191;9.467
43;afontaine;#GxVwb@v6hSW;Hoareau;Danielle;2002;6.292;9.337
43;michellealbert;_#9JEk1f0+px;Lebon;Charlotte;2003;8.86;13.319
43;genevieve81;P)EhQL6e4aj7;Le Goff;Nath;2003;5.902;11.384
43;allainnicole;Egx7lNBQ*61I;Bernard;Élodie;2002;15.652;17.009
43;suzannevaillant;O7OYW3Qc#FsF;Rossi;Noël;2002;14.646;2.461
43;bertrandjacques;*NT9hBXF0RZE;Lagarde;Corinne;2002;3.415;14.863
43;boulangerisaac;_#ytANzh+0Dt;Klein;Émilie;2001;18.646;16.926
43;barredaisy;$n%#U%iM(gv0;Tanguy;Patricia;2002;14.723;9.832
43;veronique47;^^U0KuvSe&zC;Colas;Étienne;2002;3.654;4.395
43;gaypaulette;N$Tn29o3&2Z+;Le Goff;Augustin;2002;13.215;18.096
43;nevrard;9l*Uff@t%Z9E;Lemonnier;Hortense;2002;14.108;4.708
43;laure56;(5CSarNc%a8U;Evrard;Charles;2002;3.773;3.646
43;plopez;$0e2Y(L*1lIZ;Marchand;Claudine;2003;12.084;17.564
43;fbazin;kn#jTjy&2*4B;Germain;Olivie;2002;18.02;14.63
43;gomesthierry;7$lQtu0!#G3B;Le Roux;Gilbert;2002;6.0;10.337
43;constancethomas;SUp4M6iId#DM;Guillaume;Stéphanie;2002;12.004;7.327
43;gillesvoisin;eNS+27FvWfKp;Leveque;Alfred;2002;15.318;11.927
43;thibaut54;A4jnObgT^p*T;Gomes;Luce;2001;13.935;5.854
43;marguerite87;&1e*BovTlrJl;Bertrand;Auguste;2002;18.905;17.555
43;amelie46;#QaTM72xk@7);Costa;Victor;2002;6.939;13.854
43;carlierbenoit;VI^3@6GyOf(5;Monnier;Inès;2002;10.167;2.266
43;smartinez;EwMW%zmN*k3H;Mercier;Célina;2002;12.393;13.319
43;ydijoux;fYy7T^Pll8)B;Lebrun;Anne;2001;15.25;15.84
43;rogernguyen;g6HYYWh1+8ca;Lejeune;Michelle;2002;15.071;11.89
43;xroger;&2ykcQXfv$h6;Becker;Xavier;2002;11.891;3.845
43;knavarro;*dXi@Cbwm8KS;Carre;Emmanuel;2002;2.078;5.858
43;chretienaudrey;H&+OI7tyyh^4;Lelievre;Louise;2002;11.939;10.607
43;arnaudelambert;^M8#%S8anvRJ;Joseph;Philippe;2002;14.301;14.094
43;wnavarro;w8Au&uch&b%6;Ledoux;Alex;2002;14.107;12.96
43;adrienne75;ci6lIQmh%5mw;Bertin;Arthur;2002;16.815;2.617
43;chantal40;8xA8SnF88*mV;Fontaine;Célina;2002;4.397;7.19
43;lgaudin;^vlyfyXz_86U;Hardy;Aimé;2002;7.35;9.722
43;marcellesage;@*0bvT4NmB$J;Lemoine;Charlotte;2002;11.881;14.502
43;sophieweiss;p2+Low1($l*#;Boulay;Anouk;2002;6.402;3.13
43;aaubry;+hGzCGqL(8b1;Clerc;Roland;2002;6.195;14.46
43;astridbourgeois;9)2w7ngB^(LI;Bourgeois;Robert;2002;18.11;8.172
43;lombardisaac;z06CmJ_wx)av;Lefevre;Louis;2000;4.493;19.682
43;delahayeisabelle;m&ENOwJC_6CZ;Arnaud;Valérie;2002;11.648;10.506
43;isabelle48;&W$e#2_iKK1U;Rousset;Pénélope;2002;16.345;3.756
43;bertinjoseph;A$o##yyWdo5S;Faure;Henri;2002;11.951;17.885
43;agnes14;1fHHZNfm%E3L;Le Goff;Frédéric;2002;14.303;9.414
