idLycee;login;password;nom;prenom;naissance;note1;note2
44;lnavarro;&63Wu2d2a)fk;Louis;Pierre;2002;19.953;13.108
44;jeromeimbert;P+LTT((w9&7(;Arnaud;Marguerite;2002;4.538;17.902
44;etienne90;_0%UOCnZkhNY;Lebon;Guy;2002;16.492;11.957
44;girardnoel;+7Vcu0mwaju5;Riou;Michelle;2001;12.938;11.603
44;kbecker;GPPHlz80&82W;Nguyen;Édith;2002;18.984;18.443
44;guillaume65;Q@i+UmDtUz(0;Letellier;William;2002;18.875;5.847
44;alfredthomas;&TY(d@fmd9B*;Leger;Bernard;2002;3.276;7.805
44;blopes;#nPq1Xz(V)+P;Collet;Théodore;2002;8.356;17.828
44;bertrandthomas;i%WO6qgQ@Jy4;Leveque;Luc;2002;17.959;7.153
44;hortenseparis;(@k5ZuUrhmlz;Ferrand;Cécile;2000;12.872;11.943
44;mpasquier;0b6p3Xofo0&V;Da Costa;Danielle;2002;10.544;13.593
44;morinpaulette;)HgX&VOn(h+3;Dupuy;Célina;2002;16.565;3.594
44;sophieperrier;+8)4IdXh4QC5;Etienne;Yves;2002;6.16;14.501
44;rlemoine;8Cp84DZt!(ZL;Jacquet;Cécile;2002;18.222;14.453
44;christophe45;VaIi7Hm*+P3u;Huet;Bertrand;2002;9.395;14.554
44;hbigot;wIFFTgRx)7JD;Jacquet;Gabriel;2002;13.724;10.344
44;marianne35;#knUJkkw#&j6;Dupuy;Martine;2001;9.846;2.746
44;capucine15;l2w^ZeI#960P;Lemaire;Monique;2002;6.561;11.266
44;lemairegregoire;^*eSgsPiJ@3Y;Pineau;Marine;2002;19.112;19.576
44;gomezeugene;nhDNL2QgQ#U_;Godard;Camille;2001;13.072;3.831
44;vlegendre;(8+COQCWxYeD;Couturier;Caroline;2002;18.31;13.586
44;susannebrun;!02!I&AHeSFe;Fournier;Laurent;2002;18.909;14.718
44;vcousin;n^i%BrcifY46;Chauvin;Daniel;2002;15.017;8.754
44;guyonisabelle;(5H7xXusU5gU;Lombard;Emmanuel;2002;16.662;16.81
44;christophe49;023uQpvn!+AS;Picard;Agathe;2001;8.692;18.055
44;lainemarguerite;cK(Vs2syN*5Q;Hardy;Rémy;2002;3.339;13.53
44;simone20;nhI!4UuOf*U!;Lefort;Jacqueline;2002;16.54;17.464
44;kdupre;zh+mAbmY$3g3;Faure;Élisabeth;2002;14.481;13.72
44;marine49;F3l147Wuxs*e;Rey;Nicole;2002;2.23;2.169
44;riouemilie;&j4@jXM$36al;Jacob;Margaret;2002;17.539;18.782
44;bigotsusan;S#GKiFmg219v;Bousquet;Roger;2002;2.055;10.628
44;augustinblin;mV0)FhEzp!B3;Simon;Matthieu;2002;9.53;4.293
44;colletceline;$D%2L0va^14Q;Dupre;René;2002;3.59;5.973
44;perretmarie;#060JZox(1RM;Parent;Paul;2002;10.859;7.215
44;astrid22;*0@7cf(N2VYR;Lecomte;Isaac;2002;3.589;19.501
44;malletdaisy;kocJT2j@L(5x;Gregoire;Laurent;2001;14.506;15.887
44;arnaude51;Qd69CefMArA^;Lefebvre;Laurent;2002;7.403;15.631
44;pichonsimone;*@zq!oWkZ3xq;Lacombe;Emmanuel;2002;4.482;2.439
44;alicemorin;3WS0S9vm*rC2;Girard;Franck;2002;18.508;17.448
44;yfournier;(9iRBz_jRQAx;Berger;Hortense;2002;18.898;8.15
44;jacques06;@7o+k(5tCQVE;Dumas;Laetitia;2002;2.22;2.145
44;catherine62;jzfQr(*(g^3v;Pascal;Daniel;2002;9.088;9.826
44;ylucas;)IpuLG1^SRT8;Roger;Nath;2002;5.697;2.352
44;delahayefranck;!Q4VVXxvPmIg;Clement;Suzanne;2002;5.374;15.347
44;nmarchand;)rvQcZ(D5sOW;Vaillant;Aurore;2002;18.57;15.366
44;andreedidier;qz00$E#bi*MF;Roussel;Margot;2002;8.64;18.522
44;jules63;QTy9OzYd*7qE;Legrand;Antoine;2003;6.161;8.845
44;dominiquerenaud;+U0mPtS_q@ag;Lucas;Charles;2002;3.971;2.407
44;nicole86;75Nj0n7l#k6w;Normand;Renée;2002;5.126;7.421
44;amelie91;MB)2VwsC^72x;Vallet;Jacqueline;2001;3.143;18.149
44;dgautier;*Uyn2Eud9%AG;Fernandez;Henriette;2002;7.464;13.262
44;camillelemonnier;w0M!SWLRvWyI;Collin;François;2002;16.996;18.692
44;audreybaudry;2z7p4c&e!#BR;Pinto;Laurence;2002;18.591;15.083
44;penelope52;L#pR3Zsm+qZ*;Lefevre;Grégoire;2002;16.986;11.486
44;uchretien;t$FCQWgla!0n;Blondel;Éléonore;2002;19.766;12.676
44;qpons;f*2Cjel4wS*F;Brun;René;2002;15.4;9.619
44;leon99;9^uPtVgdPJ19;Nguyen;Agnès;2002;10.573;14.499
44;bertrandstephanie;3jQHRHw++08A;Ruiz;Victoire;2002;13.361;13.709
44;loiseaubenjamin;s+B0XZ*p8k95;Bourgeois;Benjamin;2002;10.53;12.854
44;franck40;!z1%UgAx99y#;Barre;Guillaume;2002;18.131;9.752
