idLycee;login;password;nom;prenom;naissance;note1;note2
45;margaud60;aK4lEfWb+hsO;Roy;Édouard;2002;11.402;8.811
45;brunelfrancoise;%9CSVaZ6eQm(;Rousset;Thibault;2000;19.753;9.185
45;msauvage;Bq*EZhq9*9@^;Thierry;Agathe;2002;6.259;14.644
45;ypelletier;i3^hwkp5T&3N;Turpin;Jules;2002;7.846;15.064
45;ofabre;(1fSA60h!E0y;Fischer;Maryse;2002;5.318;18.571
45;lorraine61;!1+o)wsP3nZY;Bodin;Marianne;2002;3.316;11.107
45;emmanuelle85;AqAu(vuj*354;Albert;Joséphine;2002;12.356;9.163
45;isabelleleleu;#F&5Sg@PVoiS;Blondel;Bernard;2003;18.922;14.251
45;de-oliveirahelene;&Hr1z+Wt(J^p;Mallet;Brigitte;2002;10.325;8.577
45;maggie39;(0ZQ5Zuxer5O;Marie;Antoine;2002;11.476;14.787
45;aliceprevost;1JSMlCG^_#N);Boulanger;Honoré;2002;16.174;16.978
45;jeannegarcia;!FDXa+a_T2kO;Carre;Aimé;2002;2.967;15.689
45;susannevallee;_Gf8j^WgN_Kd;Roche;Sylvie;2001;16.33;3.318
45;helenemary;Uq%OjqL(#65W;Lucas;Yves;2002;4.591;15.673
45;susanmendes;b!3NH6PltGSY;Payet;Louis;2001;19.077;16.958
45;aurore21;56JJ_GhN&vMS;Aubry;Sabine;2002;8.673;12.057
45;christinelagarde;i&zQC28ts(6A;Paris;Alphonse;2002;11.444;17.162
45;marchandchristiane;8t1XrOwa$UDh;Gilles;Emmanuel;2002;7.91;7.985
45;cauger;D6f%%zVN!YV!;Boucher;Édith;2002;18.195;10.264
45;charles21;*o#WbZyb&h28;Poulain;Frédérique;2002;8.842;13.416
45;susan90;Ot6(m_Cp^KAx;Pineau;Isabelle;2002;7.026;9.544
45;da-costadaniel;^5&bM5+cc6X);Klein;Suzanne;2002;18.698;2.243
45;martinletellier;#Ouhkc*M3*Gz;Joubert;Étienne;2002;10.366;8.309
45;whebert;*_*uqMep+)Y0;Blot;Marcelle;2002;2.982;10.299
45;philippe07;*k0cl1lk+u1O;Reynaud;Théodore;2003;18.791;10.674
45;tpierre;_mSp7tfpY#19;Hoareau;Élodie;2002;8.025;5.728
45;gaudinandre;$^JidJ6gRJth;Guyon;Alix;2002;13.445;16.482
45;michelleduval;2VLXc6J+)r!i;Lambert;Amélie;2002;5.928;13.16
45;delannoyaudrey;R5Lri6nlHO*e;Klein;Alice;2002;17.824;3.075
45;christopheleveque;s0Qx6zY6^5LG;Loiseau;Honoré;2002;18.0;2.08
45;celinalamy;n&8sN)cQJO8A;Poirier;Lorraine;2003;5.543;4.838
45;alix92;DZ0CTwGss!T3;Raynaud;Gérard;2002;13.877;4.958
45;aimee27;3HEujuXN&50S;Dupuy;Valentine;2002;9.399;2.515
45;martinshonore;X_s+Yb(kC@@6;Dias;Richard;2002;8.097;15.415
45;bernardjoseph;czUm6Kp$z&3z;Chauveau;Marcel;2002;14.78;5.726
45;dominique84;eX@N4FlSO+T!;Lefebvre;Guy;2004;7.788;18.77
45;andreraymond;^O^cyn1i#r1G;Delahaye;Xavier;2002;12.099;10.545
45;acharles;0uZku6%IbG1$;Lefort;Sophie;2002;5.551;2.85
45;thierry80;wl7YKMl4_77!;Leclercq;Michelle;2002;6.882;15.543
45;therese67;%xg4DfNt2BpV;Pereira;Benoît;2002;7.76;17.663
45;claudecoste;Z@e2Dwi!h#(+;Martinez;Christophe;2002;7.679;19.411
45;frederique13;(rP+ZdETQf8O;Gilbert;Olivier;2002;6.247;3.533
45;mathildefabre;WHSL4Jfr)%1q;Lacombe;Marine;2004;18.947;6.731
45;zcharpentier;1Qq1Fnq+H(3^;Guillet;Éléonore;2002;4.159;9.118
45;moniquelopez;+n4@Xlhn2$Y4;Gaudin;Jérôme;2002;16.606;17.749
45;luciebertrand;+1)c8c2cvWYU;Collin;Sébastien;2003;18.166;19.226
45;jacquelinethibault;@N$8PsmZ&)yp;Bertin;Astrid;2002;4.418;11.687
45;gaudinzoe;II^t7WiRt0T3;Collin;Agnès;2002;8.462;3.923
45;benoit65;b^QMZSwy^&2E;Valette;Geneviève;2002;19.054;3.23
45;noelmarchand;LJS^C9AW94!r;Vallet;Odette;2002;19.424;6.644
45;hortense34;e^Z^r&aL5)7P;Lebreton;Alice;2002;17.576;5.574
45;richard48;^UoB3mMzq*au;Verdier;Adèle;2002;12.939;6.847
45;bigotcatherine;4k8Mkwzkt*ux;Joly;Célina;2002;11.534;10.793
45;thibault22;Ux1EsN_i#gwA;Blondel;Roland;2001;6.537;9.293
45;kleinjosette;g)l!2FyN&dw(;Pierre;Paulette;2002;15.477;13.859
45;perrierpaulette;K7k*0Ow9oiw!;Lefort;Odette;2002;19.006;19.138
45;nicoleleduc;8Rd&nr#&IvnG;Navarro;Suzanne;2002;5.762;4.824
45;timothee81;G$7Gr5mqDNUW;Boucher;Philippine;2002;13.181;5.042
45;dorothee61;)#pRl5(o)k9^;Nicolas;Alice;2002;3.732;4.427
45;anouk31;q^43+Ir#%Bm_;Chevallier;Camille;2002;11.978;5.04
