idLycee;login;password;nom;prenom;naissance;note1;note2
46;hbenoit;yxS_qpK_)40w;Blanchet;Richard;2002;4.484;5.197
46;thierry36;6MuPWdjI_X81;Fontaine;Michèle;2002;5.794;13.267
46;njoseph;^4ool+xeT1Hv;Joly;Jacques;2002;7.867;11.454
46;cordiervictor;#$jjZhex4mGI;Morvan;Diane;2001;12.213;3.455
46;qnavarro;eQ9rC$BqK^2u;Buisson;Jules;2002;2.509;13.852
46;boyerzoe;$8&S8r%3(f(C;Morin;Josette;2002;19.097;10.785
46;marc93;WBUYrpco#L7@;Allard;Adélaïde;2002;18.027;12.263
46;mdupuis;x373tbWp@1mS;Benoit;Bernard;2002;8.265;10.896
46;perezzacharie;Ry%kBsJv$0bM;Dufour;Éléonore;2002;9.747;2.126
46;bernadettede-sousa;+(*nXX3aU1z8;Durand;Catherine;2002;16.744;3.557
46;thibaut12;o!rAlwtaGI8J;Jourdan;Benoît;2003;16.123;16.719
46;berniercorinne;9k86lxNo$q@S;Da Costa;Mathilde;2002;5.329;18.926
46;xschneider;hvFRDYwd2%1b;Duhamel;Nathalie;2002;3.217;4.442
46;georgesremy;@qFW1WAqRj3U;Lamy;Marie;2002;15.329;5.193
46;slaporte;qW^kB1Qx1_f4;Bigot;Dorothée;2002;15.929;3.671
46;laurencegaudin;a#6lGL*v8Cx7;Dupuis;Anouk;2001;14.394;9.605
46;david36;%3O!%e!Jt27r;Cousin;Marc;2001;19.736;10.195
46;fgimenez;$9_3JkQc187o;Payet;Timothée;2002;18.382;12.026
46;jacquetedith;(uTGHWc9)nY4;Prevost;Julien;2002;11.004;16.831
46;joseph94;v746bbMx*AY3;Schneider;Sabine;2002;5.461;15.638
46;renaudalexandria;kU0D^Hab2$)C;Delattre;Christine;2002;13.18;18.817
46;bernadette18;)Qg%7Z_enAC+;Vallee;Honoré;2002;8.877;7.222
46;emmanuellerichard;3^(QWx6a+tWO;Barthelemy;Eugène;2002;4.496;9.28
46;augustindidier;Zd9tnWikq&hX;Lemaitre;Juliette;2002;17.186;4.389
46;theophile18;)PVFJFrwE45K;Bruneau;Marc;2002;2.235;16.056
46;torrescorinne;)pBMaHxuN4Cz;Masse;Claire;2002;4.131;11.968
46;celina86;A^0oOyu5RGCb;Albert;Bertrand;2002;6.378;11.086
46;raymondmunoz;r22N7TVdq!VP;Navarro;Lucie;2002;17.37;18.884
46;augustingiraud;Bi)NGjsR2$6_;Boucher;Timothée;2002;18.242;8.052
46;isaacgaillard;RxdCn(sh#2t2;Teixeira;Sabine;2002;14.834;10.34
46;paulgomes;%4SYjA!qbWAS;Allain;Élisabeth;2002;11.912;7.097
46;pnguyen;28lB93s1&!ie;Delahaye;Agathe;2002;7.179;17.005
46;jacquesprevost;$J&vqCP99vze;Martin;Gérard;2002;2.054;12.246
46;martinsbernadette;LoF@Om+1&fe5;Henry;Daniel;2002;14.969;4.542
46;juliettedurand;YDG*9#UfR*6k;Lombard;Dominique;2001;14.16;18.13
46;edouard49;b!&1Zenq7ijm;Jacques;Matthieu;2002;3.407;6.777
46;mullerhortense;oV5JVgpUa*6Y;Barbier;Alain;2002;10.196;12.201
46;corinne25;7ZT4KMp2#TxZ;Thomas;Christophe;2002;3.731;11.938
46;christiane45;aTI(78SigJ*U;Lefevre;Simone;2001;17.429;12.704
46;ipeltier;_9B$qSNt)+VX;Leroux;Isabelle;2003;19.872;3.338
46;philippe08;(6tVq1dI9hRP;Pereira;Inès;2002;3.222;7.87
46;bouchetnath;N2Z_6J2m*t^!;Hernandez;Frédérique;2002;14.895;18.196
46;dmoreno;K8(eT3Dzr%6W;Alexandre;Geneviève;2002;15.775;5.645
46;allainisaac;NmoD6Z+i%(m3;Arnaud;Madeleine;2002;3.805;3.397
46;martinleduc;8^0hiufi7QHV;Deschamps;David;2002;13.089;13.751
46;alexandria62;+oRPZ$Fw2u2*;Blondel;Suzanne;2002;14.196;16.497
46;daisybertrand;TJQn$7ib*(l5;Ruiz;Émile;2002;5.647;13.358
46;laetitia51;e#iGe)Sw^q6I;Tessier;Théophile;2002;18.797;7.384
46;dominiquebousquet;cW%VQxdG+oL0;Albert;Bertrand;2002;13.479;10.361
46;colettefaivre;0)5Wzqdf6X3L;Guyon;Tristan;2003;12.883;15.604
46;emile31;MAbJwJAj&4rL;Lecoq;Laurence;2002;11.313;14.574
46;michel92;V(yJ4QlCmx)!;Barthelemy;Valentine;2002;6.028;15.037
46;catherine52;Ip^wSVsD)aa2;Lacroix;Margot;2002;18.165;11.863
46;gillesbernier;h5E&mUC_&EU5;Lefort;Bertrand;2002;3.974;12.166
46;ddaniel;!4&cxb03bcWd;Riou;Nath;2003;8.395;11.913
46;jeanne42;NuUzWfcM$6GT;Laurent;Jean;2002;8.056;7.482
46;clebrun;3_aV07Il6DPe;Benard;Nath;2002;5.111;14.575
46;oliviegauthier;D^UJ!MTi2ww7;Jacquet;Alex;2002;14.82;17.345
46;eugenerodriguez;z$TiuaSQ(6E);Laroche;Denise;2002;19.361;10.424
46;vincenthortense;1p@BZiH8akj*;Laine;Bernard;2002;17.949;12.567
