idLycee;login;password;nom;prenom;naissance;note1;note2
47;godardaimee;625@bn+%eHFK;Descamps;Michel;2002;18.907;12.043
47;dbertrand;kd+7Ag481R+2;Marie;Virginie;2002;17.014;5.354
47;elodie90;U)8dWFcaM)q9;Gros;Anne;2002;13.208;10.874
47;colasrene;(9oXXegHj&Fp;Tessier;Geneviève;2001;18.006;17.42
47;adelehernandez;3w)P4yPI&gd%;Poirier;Chantal;2002;9.363;13.416
47;tchevalier;#T5*t#gn#$Ge;Guillet;Michelle;2003;8.83;11.702
47;vincentvallet;%1pFOdPlr6vq;Morvan;Jean;2001;5.143;17.78
47;colletagathe;jkwRsWgHHz6$;Lelievre;Virginie;2002;10.432;10.181
47;bonnetmarianne;9*q76Sfp5!1O;Bigot;Vincent;2002;5.419;15.511
47;edouard18;)OYwkNq+w7VZ;Martins;Suzanne;2002;2.642;2.305
47;marthe16;J#F*0RTe#7z9;Mahe;Augustin;2002;3.473;8.666
47;poulainandree;&lEfL7z)w$S6;Courtois;Thierry;2002;16.171;16.056
47;franckboulay;)BxIdjso2Y67;Faure;Sophie;2002;6.686;18.224
47;xbrunet;+(9KX6EvWp+!;Thierry;Étienne;2002;19.071;16.181
47;pcoste;d0b878nm@+H+;Maillot;Denise;2001;17.736;11.641
47;luce04;#p6^^1OuYPk&;Thierry;Alix;2002;4.779;15.287
47;margot58;59u5y@xG%@aV;Riou;Simone;2002;16.123;10.228
47;bourgeoiscamille;(kX6wIykPUvD;Giraud;Gérard;2002;9.126;4.677
47;francoise69;@778WIqrE+bO;Begue;Georges;2003;19.778;10.556
47;ylegrand;ow)%OH^aC_V4;Guerin;Aimée;2002;6.878;12.91
47;constancemorel;&wfRukc0*1xH;Vaillant;Caroline;2002;4.369;15.279
47;christelledelorme;+gM_y!Ey1Rva;Henry;Gilles;2002;14.858;4.566
47;louise47;Od29UunN7$#^;Dufour;Célina;2002;12.91;18.822
47;camuscelina;dqkIuNc9#EX9;Thibault;Sophie;2002;16.342;6.266
47;alexandrie50;wLEeKgxWF)4b;Valentin;Sébastien;2002;18.526;4.255
47;tblondel;z!kc!K_v#D#5;Lemaire;Renée;2000;17.137;2.384
47;ferrandmarcel;19U0chry_Xy5;Bonneau;Laurence;2002;11.106;14.976
47;timotheeevrard;(!M3cjS676bi;Chevallier;Édith;2002;9.529;18.136
47;pineautheophile;Py*5@2Zl)cfg;Lejeune;Victor;2002;6.106;14.667
47;walexandre;0+p4WH4aYom6;Wagner;Lorraine;2002;2.038;17.489
47;fabreclaire;U#5OPQT12x5f;Merle;Alex;2003;12.967;13.724
47;michellefabre;(*8%00fvES6$;Ledoux;Christophe;2002;13.128;6.571
47;thomasmaury;%FEIJ1dh9cOm;Alves;Suzanne;2002;4.875;13.177
47;wblanc;RS87x^2##dD);Leblanc;Diane;2002;11.015;9.688
47;constance24;7#43KGti$6lE;Mallet;Olivie;2002;13.585;17.173
47;valletmarcelle;7YMbnpx6%5ae;Techer;Robert;2002;4.044;3.983
47;delmasclemence;&x#6UQttTX$I;Voisin;Célina;2002;14.342;5.0
47;elisabethmoreno;t&xF4Jol#K0O;Albert;Joseph;2002;3.195;7.671
47;nath83;+9SZs*LG*AO%;Schmitt;Dominique;2004;6.378;5.073
47;roger49;Cl7SSm02(P(Z;Maillot;Vincent;2002;3.133;11.885
47;perrinagathe;4sWN(%fM+#MP;Levy;Alfred;2002;19.977;2.596
47;maryse34;56nXlNVl2#3K;Laporte;Alphonse;2002;2.888;8.798
47;fouquetnoel;3JB#q5vgh7LG;Gilles;Marie;2002;8.945;4.073
47;rioufrancoise;^a5dCJUjipBa;Roger;Audrey;2003;10.8;11.37
47;matthieu83;T_9+TCNysFN0;Dubois;Adrien;2002;12.938;17.859
47;otraore;feGbSmHs^H46;Alves;Michel;2002;13.68;7.735
47;wsalmon;Y4x+AQX*%9Wk;Peron;Monique;2002;19.119;17.03
47;garciapauline;!e+qAatJ#84K;Legrand;Eugène;2002;2.885;15.205
47;josephinemerle;79AKkB+OWwc^;Munoz;Philippe;2002;6.879;3.876
47;isaac82;BY^3EyMCrvq^;Fouquet;Michelle;2003;2.524;19.87
47;philippelegrand;u6zF1lDFwqf&;Texier;Michel;2002;12.561;8.684
47;jeanne04;4yAkXhh0#j1E;Noel;Margot;2002;13.469;13.325
47;dialloantoinette;*r0zmmEZZ2UY;Hebert;Claire;2002;5.483;17.75
47;marguerite31;T_cAPKzxUJ4&;Prevost;Margaret;2002;7.608;17.102
47;margaret69;_276Do!p%yF4;Boucher;Léon;2002;9.81;13.613
47;gdupuis;t^W8btdR(6mG;Dubois;Diane;2002;12.668;4.92
47;dianelambert;lS^fv@pzmoZ4;Gros;André;2001;18.349;13.542
47;bpasquier;#u6L*gq1_Q$f;Salmon;Gilles;2002;6.539;11.704
47;olivierallard;%!1ZR14p*p66;Mahe;Denise;2002;17.894;13.094
47;thibautgautier;FY4_#Iuf^_2Q;Besson;Maggie;2002;19.806;17.076
