idLycee;login;password;nom;prenom;naissance;note1;note2
49;giraudalice;7m%N2V&r_ElC;Pruvost;Timothée;2002;17.634;18.83
49;jroger;V*7*Q_In8fs1;Evrard;Arnaude;2003;2.223;6.286
49;grondinarnaude;2u)PsByIj$5X;Millet;Margaud;2002;11.075;17.576
49;delahayetheophile;RdYQ4lIr#3u2;Morvan;Denis;2002;3.748;15.278
49;jpinto;b$R$WnjL+@4H;Jean;Valérie;2003;7.722;9.172
49;hchauvin;ryJmsUdyM4)W;Delmas;Bertrand;2002;15.894;3.638
49;jeromebarre;HMqAJmepg4%7;Giraud;Gérard;2002;6.31;12.567
49;stephanepierre;J@52jHgoMUs$;Lesage;Margaux;2002;16.573;18.172
49;pcousin;47Ho(Blg!sE8;Noel;Nathalie;2002;12.059;15.627
49;hoarauchristelle;*E5E2bQISW1R;Colin;Théophile;2002;11.62;13.244
49;jacobsabine;&mRx^$qd19n8;Didier;Lucie;2002;19.142;14.574
49;nmichel;Pi_^W4RbP$l2;Guyot;Antoine;2002;5.511;8.379
49;benoitbenjamin;H#Gp813g%t3n;Leclerc;Marc;2002;6.782;13.132
49;benoit98;E093pVIq+iFf;Maillot;Alex;2002;12.637;17.743
49;victoirebonnet;!3tkCSlg&T(e;Collet;Antoine;2002;5.575;12.072
49;joseph48;^U9+Fds^76(P;Valentin;Clémence;2002;11.99;13.634
49;delaunaysylvie;to2Y4CQva%1_;Loiseau;Robert;2002;3.811;7.181
49;celinafischer;c0Ix4j5f%ozo;Chauveau;Marguerite;2002;15.438;19.517
49;daisyrocher;$*AKBVbQx5e0;Gautier;Zoé;2002;18.063;16.439
49;vdelaunay;$349eIe(cuUI;De Oliveira;Luce;2003;12.687;7.807
49;loiseaueugene;^30)x8Jb$p4w;Gregoire;Jérôme;2002;2.093;11.449
49;caronjerome;k(0D%k_imx1T;Antoine;Alexandrie;2002;17.565;3.551
49;berthelotcolette;WFSUNhn*(7$i;Robin;Françoise;2002;19.144;16.249
49;kgirard;*Zm^z)Hmk62Z;Noel;Eugène;2002;6.668;5.502
49;ypereira;VLHy@NgP@1@6;Lacombe;Susanne;2002;19.945;10.916
49;emmanuelle24;!bT4D%pnA!!9;Rodriguez;Charlotte;2002;6.112;2.244
49;verdierelodie;&YU$YKw#S+a5;Voisin;Nathalie;2002;19.088;13.45
49;antoinedelmas;so3WdkpN@*8v;Pottier;Thierry;2003;9.395;5.178
49;margaudclement;*9OZct(pSW2Y;Legros;Adèle;2002;19.381;19.861
49;spascal;#M7lcYa*2mWv;Nicolas;Jacques;2002;15.624;12.474
49;lalbert;42UYo$p(!%DW;Delahaye;Henri;2002;13.069;9.817
49;sophiehoareau;&0GbjvnK20tz;Hernandez;Louise;2002;16.302;2.105
49;pallard;*q7dEzxp*_DZ;Colas;Jeannine;2002;12.322;10.112
49;nguyencaroline;bBg(@8uU+#5V;Dias;Victoire;2002;16.565;2.991
49;blouis;TK5C^yoA(BQk;Weiss;Roger;2003;2.296;10.203
49;margotjacquot;Rf@Iwets#2Tg;Lucas;Alphonse;2002;5.301;14.062
49;durandstephane;*1g3Ci8uUoMl;Picard;Philippe;2002;6.462;18.958
49;pintocamille;(6INBStQWih@;Maillet;Théodore;2003;5.053;9.212
49;margot91;*h$W0K9gd2PU;Denis;Nathalie;2003;13.376;5.259
49;noel20;73_Ybc%l!6fK;Guerin;Thomas;2001;12.242;15.289
49;marcelle87;3#H9Vc7SU5(Q;Leroy;Inès;2002;3.049;3.791
49;laetitiachevalier;)K9&Fx5BWU_^;Lagarde;Joseph;2002;16.092;14.906
49;wmercier;(bs0gO&y2uC^;Bailly;Étienne;2001;9.419;11.437
49;stephanielenoir;)@6GrRol)%De;Laroche;Louis;2002;12.532;18.521
49;antoinelucas;$8!hUYN(9ASG;Delannoy;Paulette;2002;2.219;14.025
49;susan19;ja%3)od#(VLY;Roussel;Bernard;2002;14.239;11.785
49;colletwilliam;Aj2R!DRn3^*p;Lambert;Caroline;2002;6.199;8.408
49;teixeiracapucine;T2Nj72AGE6e(;Peltier;Aimé;2002;8.494;19.063
49;david42;#Sl^^0z5&8Q%;Didier;Astrid;2002;7.148;4.459
49;qbourdon;%1ErGDchceq5;Rousset;Gérard;2002;8.287;4.261
49;jeannine12;)tZyZrzW#13*;Didier;Philippine;2002;4.722;9.534
49;jacques96;Co(fWV$767Ua;Weiss;Alexandria;2002;19.498;8.207
49;audreydeschamps;)7Qd2hD+8OdN;Cohen;Victoire;2002;6.073;14.621
49;thomas78;yX$c9Elh+Cbt;Breton;Matthieu;2002;14.346;11.679
49;sylviemallet;9bQZLpdb*Mb^;Lopes;Jeanne;2002;18.941;8.495
49;corinnecourtois;__0E@zyhnQLX;Pereira;Joseph;2002;3.6;16.044
49;frederiqueroux;#Q&+_Na8iKm6;Courtois;Michèle;2002;14.179;6.699
49;mfouquet;#5@(51YiMsuH;Tessier;Richard;2002;15.423;15.556
49;dominique47;8gozdYt1^jQ5;Blanc;Denis;2003;8.41;16.9
49;heleneallard;E(aAW3QS7jk6;Laine;Émile;2002;11.798;14.126
