idLycee;login;password;nom;prenom;naissance;note1;note2
50;bonneauelise;*maXi+AWg0GE;Bazin;Jacqueline;2002;9.23;15.961
50;emmanuel44;bt(s$2Xn!sg9;Navarro;Augustin;2001;6.568;2.764
50;michelle13;#3qPzqJmqc2W;Benoit;Françoise;2001;15.809;16.184
50;elisabeth30;%j9KFqrcP%C2;Maury;Alain;2002;6.681;14.117
50;cleroux;u@inoImkVa4n;Hubert;Laurence;2004;7.542;13.507
50;francoisbaudry;oGGcH*dq(6#Q;Laporte;Paul;2003;19.275;11.629
50;lopezjuliette;V01Z9W8v_kE@;Potier;Martine;2002;4.876;6.048
50;kguillon;(JW$GRm0C3o8;Fouquet;Corinne;2002;18.205;7.54
50;gchauveau;1I(L!9OtCp!x;Perrin;Yves;2002;8.561;17.649
50;alombard;3v(NU8qj_8ZT;Parent;Éric;2002;14.098;9.883
50;antoineboucher;M$F2$Q&sTZLT;Chauvin;Alexandria;2002;19.035;10.687
50;lucaslouis;c2c0OwHhTN#x;Louis;Gilles;2002;11.773;10.401
50;wbrunel;$4D_rg^TG@7n;Rocher;Élisabeth;2003;10.361;13.649
50;therese70;+#R(EdbUVk7a;Fouquet;Gérard;2000;4.266;2.104
50;guilletanouk;sr05U*eqbX(^;Paris;Julie;2002;11.507;17.397
50;christophetraore;3gb(ub1yO+dE;Deschamps;Arthur;2002;3.3;11.223
50;lucy76;C2v9NaWc#Izk;Benoit;Manon;2002;17.418;12.196
50;tbailly;)FFRVKOqZ8oF;Legrand;Véronique;2002;14.511;5.698
50;ines62;G&YsDCvx*3G2;Boulay;Aurélie;2002;4.33;10.769
50;bruneaurenee;VE4Drndtm$yG;Millet;Daniel;2002;9.524;19.834
50;sabineraymond;b9o1Bj5n+Z7a;Mahe;Cécile;2002;2.183;15.914
50;luc77;$0Wa1fNs_1GR;Petit;Chantal;2002;7.672;2.567
50;lebonbenoit;m+zs2VWz+ACa;Lefevre;Geneviève;2001;5.285;3.973
50;jeanconstance;9v5oTvw#++m$;Delannoy;Émilie;2002;13.741;5.266
50;zvalette;27&PBJqhBCm9;Marin;Victor;2002;6.458;14.51
50;maurice22;@9wC4Ap46pNH;Thibault;Luc;2003;12.733;14.742
50;lopesmathilde;+&0Hk8_P6lhs;Fournier;Capucine;2002;5.26;12.443
50;ledouxchristophe;&p6CeL)Qk^GV;Paul;Pierre;2002;13.428;4.427
50;dnicolas;1)lTM3ha@tVo;Lombard;Georges;2001;7.395;18.826
50;lecoqanais;7j&65VOhIaJ);Morin;Matthieu;2002;7.635;19.464
50;moniquevalentin;muGfq+7Kj4#P;Gilles;Astrid;2002;13.013;4.649
50;philippeetienne;eG4f#nOoB#xm;Delaunay;Marthe;2002;2.483;3.074
50;qdupuis;+4%SJhHTbNup;Verdier;Adrienne;2002;5.104;15.306
50;alexandrielemoine;$wgKTc1wO1M(;Alves;Stéphane;2002;16.921;6.403
50;dufourvictor;+Z2%bqrcUHFC;Schneider;Marthe;2002;8.073;18.317
50;etienneteixeira;FYP9wEvp##fK;Remy;Olivier;2002;19.822;11.079
50;sophie06;+K#5GkiUG*ia;Pons;Jean;2002;17.989;5.694
50;petitjeanhenriette;+IZPcQnAw9@N;Barre;Noémi;2002;3.025;10.101
50;arthurdurand;0S9Ljd@b9(_Z;Lenoir;Anastasie;2002;9.038;2.148
50;gguilbert;@24qZ$mRWGQo;Valette;Xavier;2002;7.857;11.691
50;gabriellesamson;+_AxnxBJ23jO;Lelievre;Jacqueline;2002;10.699;17.951
50;pottierdavid;sM$)MrMu%6S8;Pierre;Suzanne;2002;3.675;19.475
50;yvescamus;%d8LlJ(Mdw%x;Bailly;Catherine;2002;17.374;16.065
50;helene18;yl(4znYw(j1X;Peltier;Anastasie;2002;3.041;4.747
50;andrenicolas;!S6UDb_f#sBJ;Delahaye;Claire;2002;5.18;5.45
50;smarin;y6tNY1eD*JUX;Lucas;Juliette;2002;15.855;10.601
50;leonmorin;#V5iFPdPlC(s;Gomez;Antoine;2002;12.825;8.897
50;lombardmarthe;993#iHlV%z^Q;Boutin;Colette;2002;13.447;15.574
50;emartel;@DJ(_zvpm9rH;Martin;Emmanuelle;2002;4.1;13.033
50;lorraine78;1+g5Ko5a$VS6;Voisin;Valentine;2002;6.823;4.372
50;xjacques;!KATYTus4gAC;Allard;Antoinette;2002;14.654;5.103
50;robertbecker;%$1IgQbP+P1m;Marty;Xavier;2002;12.671;15.703
50;cbazin;nm%XWfRPs11+;Blin;Roland;2002;3.307;9.173
50;corinne64;k3kpeWaM(UTW;Ferrand;René;2002;6.012;7.963
50;wrenault;H^6rNivM+aMN;Remy;René;2002;13.793;16.98
50;lhoarau;4Gs%#caR&m8q;Aubert;Jacques;2002;13.983;10.992
50;rouxauguste;TQ$##rTlr(4H;Clerc;Virginie;2002;9.892;18.071
50;marianneneveu;)FQ2UUOXa$xi;Prevost;Jules;2002;5.438;3.561
50;lerouxhelene;1@BWgHSz0c1Q;Perrier;Élise;2002;4.081;11.427
50;adrienbreton;!sCZB8n96CTI;Blondel;Céline;2002;12.914;6.262
