idLycee;login;password;nom;prenom;naissance;note1;note2
51;alphonserodriguez;J2XNsAf^%+mg;Jacquot;Alfred;2002;3.229;10.835
51;bernard63;@bE)Tha2N17_;Ribeiro;Sophie;2000;17.641;2.464
51;marietheodore;#4TSdHnT(y3b;Perrot;Lucy;2002;17.064;15.255
51;lucieschneider;hI%7Qnk6zA%T;Delannoy;Hugues;2002;5.162;13.494
51;margotgilbert;#0BCRyUrY(*z;Dumas;Victor;2002;14.161;15.054
51;patrick66;N1KB90mD^9Rc;Devaux;Renée;2002;11.805;15.88
51;lamyalain;(Jch4DVb*D&a;Gomes;Frédéric;2002;4.444;11.421
51;hortensediallo;EPp%9Ly(&wRC;Fontaine;Patrick;2002;15.249;11.75
51;aimee06;!c9OiNrq&l0m;Bonneau;Brigitte;2002;4.631;3.421
51;paulineleblanc;RG+oGZ(seS+5;Mercier;Roger;2002;5.545;15.156
51;timothee17;0jR5)@Bn7(wT;Le Goff;Arnaude;2002;2.744;11.716
51;guyothugues;S1X*ELsI%eli;Joseph;Brigitte;2002;19.721;14.752
51;wdidier;#U8Kt0V(mk&H;Hamel;Auguste;2002;12.408;14.137
51;theophile75;$W8Z)Raq^TMt;Aubry;Tristan;2002;12.939;15.638
51;diane38;6I&8Q0BwJ_US;Leroux;Claire;2002;14.833;14.996
51;alexandria33;S21KbY#k*a8W;Lebreton;Henriette;2002;19.666;5.468
51;william91;xF7k_ywym^n@;Duval;Denise;2002;2.691;13.464
51;emmanuellemartinez;mT#PQv05j&7H;Hoareau;Thomas;2002;18.294;16.244
51;lroyer;&n#N(tqr@00t;Cordier;Aurore;2002;8.432;19.477
51;ajean;8mBiK!Dk%bPd;Blot;Pénélope;2002;14.177;19.143
51;paulette39;+JX9$LiN&7K4;Gilbert;Raymond;2002;12.682;2.047
51;costahenriette;ok5e5BohNQ#Q;Bernard;Augustin;2003;15.838;13.329
51;helene21;Tuh16A+sgd)H;Loiseau;Henriette;2002;15.03;8.271
51;aurore51;zDCauY+w!2H2;Riou;Noémi;2002;3.121;12.652
51;fabresusanne;@!NkDz%O_5U0;Guilbert;René;2002;16.758;9.792
51;jacqueline36;(93#SPjoMN%C;Guyon;Pauline;2002;8.16;10.07
51;jacques42;xQfy*fKo#06!;Gautier;Alphonse;2002;7.818;17.742
51;bboutin;*#i1QWNb@vdE;Pineau;Brigitte;2002;18.162;7.24
51;caronsuzanne;O8xHbzM!)*@);Dumont;Suzanne;2002;3.268;12.382
51;louisejourdan;M+WILh#$%Y1B;Roy;Étienne;2002;9.739;8.373
51;bertrand63;&Cq2gFEmj&gR;Ferreira;Pierre;2003;9.078;15.984
51;vaillantaurelie;hCt0TCVwMS*6;Perrier;Catherine;2002;6.328;7.091
51;victoirebodin;+s7C*0Id!ZKL;Hamel;Renée;2002;9.163;7.05
51;nde-oliveira;!%E!_P!)r9az;Perrier;Augustin;2002;2.764;18.157
51;antoinette45;a2R##3Nk2UWm;Barre;Élodie;2003;8.911;12.393
51;gdelmas;sdvVeJ%v&)B8;Peron;Marine;2002;9.933;8.311
51;etorres;ATZHO(3c#1WG;Diaz;Bernadette;2002;3.266;8.586
51;gerardjosette;1WA(q#Ng+a+w;Fontaine;Franck;2002;5.836;8.652
51;charrierpauline;_VzDlQGx1q&R;Thierry;Emmanuelle;2004;6.984;6.084
51;jacqueline98;*x36ZPAkLv03;Weiss;Philippine;2002;9.253;16.815
51;gillespoulain;ik!$eW!tj^D9;Benard;Marguerite;2002;14.564;13.127
51;denisjacob;jj0$OTN7D*9K;Monnier;Paulette;2002;8.279;16.12
51;honore84;&n6$FHo+Sc(U;Clement;Théodore;2002;14.967;14.433
51;danielleantoine;$TLAFhxBg8tm;Fischer;Martin;2002;19.477;4.464
51;thierry34;h1@yXRld)D&k;Michel;Tristan;2002;13.46;3.06
51;uturpin;nfAS(heS+6kA;Buisson;Augustin;2003;4.483;2.441
51;chartiertheophile;hNB5Jr+2*24e;Gonzalez;Lucas;2002;17.302;15.515
51;alexduhamel;sl4ltns_#G@W;Fischer;Richard;2002;8.707;5.541
51;victorclement;(Ymhjr+lQ3)I;Lemaire;Caroline;2002;9.781;9.413
51;emmanuel82;u%TrrvHa6$7N;Joubert;Adèle;2002;11.592;7.71
51;martine93;Zjp1UGfL(i6$;Guyon;Célina;2002;15.474;8.479
51;coletteandre;&rx5ITSwRgp_;Bernard;Paulette;2002;12.349;6.663
51;alphonsedurand;#0M4ZaC3&vwX;Blanc;Bernard;2002;16.689;5.763
51;arthurbouvier;NzfOUS_dx+3L;Guibert;Michelle;2002;5.748;2.302
51;torresadelaide;1EcuHJOm%N^A;Fontaine;Danielle;2003;10.892;19.14
51;alfredparis;(v37TmUaHePO;Charles;Sylvie;2003;5.13;5.564
51;ppasquier;CaFVa)jp!x1d;Pereira;David;2002;5.88;12.738
51;adrienne04;xwVJlH4O)4x2;Carlier;David;2003;6.239;10.484
51;renardlucas;u5n*EtoRFtRZ;Joubert;Pauline;2002;11.735;11.078
51;leon20;+4pJCah4d8tp;Allard;Nath;2001;7.353;10.623
