idLycee;login;password;nom;prenom;naissance;note1;note2
52;duvallaetitia;@1EWZv2)gek2;Pons;Claire;2002;3.856;13.126
52;allaincharlotte;gJ5035Xt!Fbu;Launay;Matthieu;2002;6.435;4.629
52;adelaideweber;yWbySTut!5cI;Joseph;Robert;2002;13.284;15.708
52;dominique82;_oC9#&Ch57&N;Jacques;Alfred;2002;11.285;12.163
52;jules56;(0csXWcQqns(;Briand;Michèle;2002;17.273;5.607
52;aurelie60;V_(15Xgb9q!Y;Guerin;Corinne;2003;13.461;8.11
52;guyonjules;KqQ9OMc#15)*;Faivre;Julien;2002;3.078;16.77
52;lperrot;0dt0XeeF3*ok;Laine;Margot;2002;6.123;15.095
52;alainhoareau;%Bjj9SJuGmF4;Bonneau;Thierry;2002;7.177;3.82
52;poiriereric;b!4aUNloa@Kb;Michel;Michel;2002;15.682;4.438
52;jolymathilde;YS0SM)eYA$Sx;Guibert;Alex;2002;16.49;17.862
52;lmercier;G07a$cJv!seZ;Schneider;Paulette;2001;11.973;17.329
52;tguichard;x(&x)H#xa&V7;Texier;Véronique;2002;19.324;13.754
52;umeunier;6m^RFRGgSp4Q;Denis;Bertrand;2002;5.272;19.111
52;martinshortense;+ue@WgrJza1Z;Poirier;Philippe;2002;2.984;12.743
52;pguilbert;r*ZoQqNhpI1E;Techer;Benjamin;2001;12.21;14.741
52;martyjacques;X8MCDZom&W)b;Delahaye;Jules;2002;9.338;14.597
52;berthelotwilliam;!C807wm4b65E;Godard;Margaret;2002;14.995;13.389
52;aimeemeunier;^yE6KwasV&Ex;Gilbert;Lucie;2003;13.969;2.472
52;michelanne;u(+7o*BvW65Q;Neveu;Nath;2002;5.115;15.946
52;malves;9tQe9YfrX@C1;Besson;Dorothée;2001;11.438;19.957
52;edouard72;V!3U6F*b*liE;Lamy;Christelle;2002;14.577;4.519
52;agnes35;GRRy(qcz&8HR;Schmitt;Richard;2002;18.315;18.682
52;qdurand;UNEZj!E@!92);Brunet;Alex;2002;18.056;19.426
52;julesrodrigues;^25b^Zaxkj__;Monnier;Yves;2003;6.394;17.69
52;martyluc;$i2HNzmu+wN7;Hardy;Valentine;2002;3.831;16.131
52;timothee47;*HU0s_rP4d@N;Garcia;Pauline;2002;5.017;10.432
52;virginie19;n_5N46g5iNCI;Lamy;Philippe;2002;5.983;8.284
52;pmarchand;f$LYCrMl%@8*;Chartier;Gérard;2002;16.985;10.96
52;laurebrun;(L0E_lvr*83x;Collin;Aimé;2002;19.104;18.851
52;corinne58;42Qqwr5M(3nT;Perrot;Denis;2002;16.475;2.536
52;zacharie81;xVl&tMNry#97;Martins;Gilles;2002;6.881;11.23
52;zroussel;mG8^7gLc153x;Hoarau;Denis;2002;8.584;15.783
52;margaret02;*ab1FK4sX75r;Picard;Capucine;2002;11.945;15.345
52;imahe;wqoYnJYJ^1eU;Joubert;Laurence;2002;13.07;4.587
52;adriennegaillard;&frQlW5qR3%X;Pascal;Nicole;2002;15.206;14.68
52;vgomes;$0Q8@va+XBKd;Roger;Paulette;2002;13.394;10.154
52;xfischer;CiIL1cBc$4o1;Marion;Célina;2002;16.426;12.184
52;alfredvasseur;RS)eYMkqwH0e;Brunet;Thomas;2002;3.869;19.933
52;wguillaume;*#9gDprAlB&z;Gonzalez;Josette;2002;13.679;13.019
52;leonpages;R3I$AJozXeUU;Auger;Adèle;2002;17.722;4.141
52;emmanuellucas;PWA^^Nxg76NY;Leveque;Amélie;2002;17.438;14.264
52;christelleguilbert;%%GpdvgdW5$o;Morin;Audrey;2002;15.342;16.672
52;suzanne17;_BCUi&OE1Bcj;Bernier;Jacques;2002;18.023;13.914
52;claudinecharles;)yEc1TU@5ckw;Jean;Anne;2002;6.888;17.451
52;hortensechevalier;dL7AK5Be&js9;Alves;Marthe;2002;4.681;15.442
52;nath79;HyO05lQl*Ma5;Bonneau;Richard;2002;9.363;11.391
52;victor84;_JWu(iZ76b$7;Marin;Alexandrie;2003;10.381;18.989
52;laure99;LdYn(9su!4Ac;Vallet;Charlotte;2003;18.43;2.674
52;georges51;9Mn$9wDwryGS;Cordier;Danielle;2002;9.521;4.199
52;pierrehamel;93NiMMeIo^1G;Lombard;Marcel;2002;12.738;4.788
52;lemairerene;7KsJU*re*@9$;Leconte;Valentine;2002;9.679;8.767
52;laetitiamichel;22K16ElP1&k@;Carre;Joséphine;2003;2.197;12.652
52;poulainchristelle;Q(Z4ovz2+8Z*;Ferrand;Gabrielle;2002;12.312;16.12
52;margaret33;A_Hvo2VTDl8B;Pages;Philippe;2002;15.141;6.492
52;veronique85;9_Frn@it)$Jk;Lebreton;Agnès;2002;6.808;3.978
52;mariannelouis;u+FGWmiJeLf6;Bruneau;Agnès;2002;10.508;2.181
52;williamgrondin;1k3_L+c_+d%r;Lemaire;Éric;2002;19.036;16.403
52;aimegomez;zRyI7)Qes&2^;Garnier;Gérard;2001;6.942;5.377
52;denise01;^2&Mn1Wo*Y^T;Giraud;Lucie;2002;9.801;2.285
