idLycee;login;password;nom;prenom;naissance;note1;note2
53;marchandmaggie;@kPq_Zawr1iI;Lopez;Hélène;2002;7.825;4.921
53;elisabethhebert;2l_R1SvgMUgR;Klein;Adrien;2002;14.914;3.125
53;michelfabre;#qjA!2f(b2PO;Remy;Antoine;2002;19.036;15.287
53;tristan31;_GZYjhSubj0n;Ollivier;Françoise;2002;11.522;4.914
53;imartel;b*f9wVxP(E@I;Morin;Jacqueline;2000;3.104;11.648
53;guillaume62;h%+24gNcI2Kv;Francois;Christine;2002;14.952;12.607
53;hmillet;!1*0*!bR5zR^;Alves;Pauline;2002;2.807;6.249
53;marinarnaude;@8hAMBz(yyVF;Meyer;Adèle;2002;16.628;2.25
53;masserenee;_X#E^LRa47DX;Paris;Gabriel;2002;3.146;12.69
53;qribeiro;pb74F+gV@_!_;Marechal;Grégoire;2002;9.293;4.255
53;hleger;TlLw9Tjz@1F5;Vincent;Marcelle;2001;15.471;15.881
53;henriettegauthier;gJ$!9OQga5C!;Da Silva;Luc;2002;19.274;15.01
53;ines30;0g%1F@jwtx@a;Morel;Marc;2001;12.281;16.593
53;stephanielecoq;H1VAhF1I+qJL;Ruiz;Aimée;2003;19.439;7.958
53;mda-silva;SSPff9DC(35C;Olivier;Augustin;2003;17.199;12.733
53;noemileduc;u#ZRumUV9rX8;Poulain;Martin;2002;19.359;8.972
53;eugeneroy;F&V442Dj5PPu;Fischer;Yves;2002;3.84;11.715
53;anguyen;K#3_pQgN)Px@;Fouquet;Charles;2001;2.545;16.636
53;timotheehubert;)69ARvDg#2!(;Jourdan;Agnès;2002;3.487;10.079
53;uherve;f*57gUKmBGH$;Potier;Arnaude;2003;19.77;6.841
53;theophilebarbier;*8#TYCP&@TLl;Auger;Julie;2002;16.895;19.861
53;mathieumargaret;v))rNy3vl!2J;Becker;Christiane;2002;19.13;2.156
53;bnoel;#iHD(K_b*2V1;Menard;Julien;2002;8.497;15.756
53;lemaitreguillaume;*7on&M_b%I9S;Garcia;Gabrielle;2002;18.699;13.862
53;sebastienbenoit;UHW7MbK@&&9G;Devaux;Nathalie;2002;10.924;2.331
53;fguilbert;MC6xFUoW!2Fs;Gomez;Alix;2002;6.287;15.983
53;denis43;n#5alYHnH82G;Chretien;Pierre;2002;18.916;11.944
53;augustebegue;_nF35GnQ%fF@;Michel;Laetitia;2002;19.271;12.143
53;denisgrondin;@y!DR%g11D_d;Launay;Hortense;2001;3.452;3.583
53;simone45;@7aLhAg&(n3K;Leblanc;Émilie;2004;13.276;19.827
53;lefebvreagnes;d16SjR^k*p7J;Lefevre;Louise;2002;7.693;10.405
53;gregoiredaisy;$Q^qE7hdr%19;Lecomte;Margaud;2002;5.17;9.278
53;bmeyer;@k*geeY(0cWL;Bazin;Agnès;2003;14.83;19.082
53;royhenri;@)E*fdQ)_S3W;Gros;Anne;2002;15.92;17.741
53;gilles09;m$+C8MEaezw7;Becker;Nathalie;2003;2.459;6.367
53;adele24;(85IqAgKz8ND;Turpin;Margaret;2002;2.426;12.424
53;ytecher;&R0Dl@MK2hCu;Sauvage;Jacques;2002;14.966;2.153
53;nicolevaillant;9U66nasn*8N6;Poirier;Philippine;2001;4.374;15.406
53;philippine74;!UXBV+Bzp8ch;Fernandez;Manon;2002;4.41;15.385
53;hfleury;!et!KjgX#0p4;Auger;Marc;2002;18.831;6.773
53;andre08;nv*&upKm_5fC;Marques;Élisabeth;2003;4.888;5.419
53;alphonseaubry;0zsACezY_8rG;Riviere;Mathilde;2002;11.954;8.996
53;zguillon;$2wMA%Hn7YAU;Gaudin;Christophe;2002;17.395;13.707
53;wpereira;&M8_5LffyRQJ;Chauveau;Hugues;2002;11.204;12.594
53;kleinjeannine;(P3LC*7ie1H3;Fischer;Richard;2002;11.533;11.677
53;jeanneferrand;Zj#3H6kO_0Up;Joubert;Isaac;2004;9.2;4.233
53;chevalierjeanne;$CCgjvvXo1uB;Letellier;Aimée;2002;2.432;6.207
53;gilberttorres;ODPvoOpw@s*4;Leblanc;Susan;2002;9.036;8.803
53;marielegrand;DbJxeT*e!@53;Besson;Chantal;2002;7.587;6.621
53;navarromarie;%qN38nn%9QvY;Peron;Colette;2002;5.741;18.533
53;ichevalier;T2l3lvBy%3P3;Blanchet;Sabine;2002;4.7;4.452
53;onoel;9vD(RgxM^&03;Diaz;Margot;2000;7.714;9.725
53;jacqueszoe;3(3OIwnULjaQ;Fournier;Eugène;2002;13.35;11.668
53;bernadette01;U+1SeVb+)8i2;Cohen;Agathe;2002;13.117;19.633
53;gchauvin;b2+moVA%kIYI;Dupuy;Julie;2002;2.101;2.423
53;gchauvet;C!q1PfogzLLA;Gauthier;Emmanuelle;2002;7.09;16.785
53;corinnemichaud;W8RkUUny_qTC;Marie;Christelle;2002;16.641;13.564
53;lenoirpatricia;+to_1)Efw8b!;Boutin;Nathalie;2002;9.697;4.085
53;valentine68;^k1oO!in6NuE;Cohen;Audrey;2002;17.143;12.742
53;mailletraymond;)9s!8Ljp$Z9H;Martins;André;2002;13.821;5.425
