idLycee;login;password;nom;prenom;naissance;note1;note2
54;lemaireanouk;$8I)@_VrgVCi;Lemaitre;Isabelle;2002;8.022;6.62
54;whenry;ws9Y*Xii$Jou;Lemaitre;Marine;2002;17.971;6.367
54;xdescamps;z3Gt5*gq+7c_;Guyot;Adèle;2002;15.671;16.91
54;daisy98;))fFhr!i(3YD;Faure;René;2002;15.018;9.793
54;xaviermarion;^XETq1K1u4Lc;Laine;Dorothée;2002;8.364;18.972
54;gmarie;Qo)9G^JtM$u!;Bodin;Emmanuelle;2002;18.704;2.563
54;weberanais;!0NcR#Teo7XN;Marin;Aimé;2002;15.835;15.945
54;ifleury;EukPUj+U#0Ma;Leclerc;Chantal;2002;3.485;7.859
54;agathe66;dcTTECt#^j6t;Francois;Thomas;2002;5.49;3.29
54;simonegomes;%z2AMfk#438!;Richard;Odette;2002;18.985;15.745
54;vdiallo;6h@6EAwZtUj_;Bonnin;Lucas;2002;8.381;11.009
54;odette91;51gvUR$q)dHb;Le Gall;Victoire;2002;8.812;13.941
54;gabriel53;w*42PJcvW(8J;Chevalier;Étienne;2002;15.245;8.734
54;ile-goff;@##X@XBpU40P;Raymond;Nathalie;2001;12.09;7.455
54;danielleguillaume;!9uFll2dLvZB;Bousquet;Benoît;2002;3.581;13.14
54;hgallet;N4Gi+wf@3@I$;Brunel;Charles;2002;17.804;15.407
54;suzanne72;#nr5u)wnBII*;Guillot;Valentine;2003;17.149;19.84
54;fdelahaye;Yo8te0V6b$YG;Samson;Christine;2002;16.906;8.927
54;margaretroyer;@0BazTfBOcSA;Verdier;Gabriel;2002;9.623;10.084
54;nicolaschristine;9p*RMqh3&T5a;Bousquet;Éléonore;2003;3.629;11.726
54;qmartins;Oatb03XysA$Z;Leconte;Susan;2002;9.934;12.817
54;cohenjuliette;2AW&k6Zz^6%%;Teixeira;Éléonore;2002;2.863;7.444
54;elodieleger;e1Ks7&Ba%jID;Paris;Rémy;2002;5.325;18.333
54;timothee63;@N0)G+g6qW6K;Jacquot;Arthur;2002;16.674;15.739
54;gabriellelesage;+FN5K0Xv2jLq;Guillon;Jérôme;2002;12.373;19.646
54;martinelanglois;e)M*fMFeg$1$;Godard;Daniel;2002;5.201;6.255
54;guyroger;$Y&@cAvdK2Si;Guillon;Sébastien;2002;3.051;6.385
54;andreemaillot;M(k$aqE7*W1R;Maillet;Nathalie;2002;3.347;2.336
54;sebastienberthelot;d^#6t)ktXY2C;Maurice;Françoise;2002;8.501;5.51
54;pferrand;*PS8XoTgmmR*;Dos Santos;Alfred;2002;9.115;14.195
54;alfredmorvan;$cM0L@x1OjMP;Carre;Joséphine;2002;12.789;7.302
54;virginie32;+sF(l^kN20Gp;Guichard;Margaux;2001;8.878;4.2
54;hle-goff;L*N*wBpL4@1D;Vidal;Benoît;2002;19.125;4.107
54;stecher;4l^Q22ad$#!E;Meunier;François;2002;10.35;9.915
54;antoinetteperrin;x&)2mHVww7Zl;Collet;Gilbert;2003;15.418;11.477
54;fnguyen;!pdTLaKL2qc*;Lenoir;Robert;2002;8.071;7.173
54;gillethortense;Lo8EVvXMITL@;Bourgeois;Aurore;2002;17.364;19.836
54;sophie72;9iDByW7A+Ztt;Cohen;Lorraine;2003;19.663;9.123
54;augustinchauvet;G5R98#G3&Nl8;De Sousa;Bernadette;2002;2.914;12.118
54;anouk13;*5IW9k8+eqlR;Lombard;Josette;2002;4.345;6.744
54;auguste12;!6l(bROedYT^;Techer;Paulette;2002;13.287;5.403
54;colette20;yO%8Qk$zW3Mc;Pires;Vincent;2004;19.703;5.479
54;bergerjean;Y8raWZrD#j8K;Deschamps;Véronique;2002;2.188;3.491
54;valerierenault;^0fuS5ILj%1N;Vallee;Susanne;2002;16.94;16.531
54;prevostchristiane;li_4H1V$9@Qc;Fernandez;André;2001;16.09;17.14
54;aleger;!$63B2cA3Q)7;Sauvage;Victor;2002;19.65;12.092
54;guymaury;#((#l#Knd5p7;Normand;Valérie;2002;15.683;13.393
54;barbiermartine;^9hQtW82LF@G;Langlois;Philippe;2002;8.2;7.02
54;theodore98;#7!NiH#s^lxu;Perrin;Nathalie;2002;9.474;12.505
54;emmanuellefernandez;&4JoPsFwCN)W;Louis;Jeanne;2002;17.073;5.475
54;zsamson;!tmm8Pt7#^L@;Verdier;Luc;2003;13.951;10.551
54;piresfrederique;Z(0(@Jkcp&Wo;Sauvage;Yves;2002;18.912;14.299
54;juliettedupont;77sSTfrOkba+;Gilbert;Valérie;2002;8.159;17.676
54;odette23;U@FxgKrfNfe1;Lefebvre;Margaud;2002;7.049;4.313
54;huguespires;&q0PzQTbq4C5;Delmas;Noémi;2002;17.44;18.511
54;antoinette70;P6@ugD0^(7A(;Lebon;Océane;2002;11.76;13.015
54;rbertin;+N_x4M*r(2P#;Le Gall;Agnès;2002;11.146;11.939
54;evasseur;#1E)I+4o(0oE;Jean;Agnès;2001;9.143;13.102
54;patricia35;ryU@2Lz7yhzr;Levy;Virginie;2002;18.509;10.123
54;renee48;WdEzH01t@1zQ;Boulay;Eugène;2002;7.749;12.439
