idLycee;login;password;nom;prenom;naissance;note1;note2
55;picardpaulette;+3&pt(Q+0)OO;Collin;Amélie;2002;17.35;12.227
55;amartel;q1lqflF4!vZ_;Perrin;Marc;2002;7.226;19.431
55;guilbertisaac;#24DfKXVgOXe;Gaudin;Guy;2002;19.972;15.059
55;michellepeltier;$+Y6Ia+13RYb;Fernandez;Françoise;2000;16.342;2.905
55;riounoemi;SpOYoJ&s!4V(;Herve;Benjamin;2002;16.739;15.937
55;de-oliveiramargot;dm1fBhbuGh@5;Devaux;Diane;2004;19.95;19.58
55;lcharrier;)r+Rwc$d1#4E;Toussaint;Éléonore;2002;7.438;15.642
55;hardypaul;Z$7mV3kfPs4D;Marty;Adrien;2002;6.401;14.688
55;guillaume26;B3zGhpRbg(23;Grondin;Guy;2001;8.494;18.932
55;brigitte02;e)9+LBDySXWj;Deschamps;Michelle;2002;19.363;13.051
55;louiseleclerc;3Qd*w%VM05Bs;Barthelemy;Maurice;2002;6.833;13.774
55;denisemmanuel;^0s$OPmh2W!Q;Delahaye;Chantal;2002;4.759;13.886
55;clemence91;!m2QZLgu&2X(;Thomas;Alexandrie;2002;9.677;19.853
55;osalmon;A(wD4cizDG53;Bonnin;Henriette;2002;18.605;12.506
55;matthieubourgeois;(YzJfKlym&3L;Hoareau;Clémence;2003;14.434;6.078
55;franck24;kWj&hDjoO(5I;Giraud;Thibaut;2002;4.751;16.041
55;astrid50;^T72qdx9h#2H;Simon;Christiane;2002;8.326;14.668
55;callain;wk^FRRoHv*6r;Robert;Martin;2001;18.627;16.823
55;aimee70;qb6WIwJe&L+8;Gimenez;Danielle;2003;16.823;12.202
55;hchevalier;)0W!E!qM!EkK;Michaud;Benjamin;2003;5.762;2.556
55;henrigomez;i82zqkIwO%TA;Boutin;Christiane;2003;12.636;19.638
55;penelope78;CD@w0Uq)AJ0J;Guyot;Patrick;2002;14.804;10.016
55;corinne13;3!8_w@LUz6yN;Bonnet;Geneviève;2002;12.07;14.35
55;zgaudin;(z_PuWQ50x5M;Pasquier;Noémi;2002;11.676;9.93
55;dupuisroger;i2EGzC(v(33S;Charrier;Lucas;2002;11.084;11.062
55;etiennealexandria;)BruMFkCa^0p;Lambert;Noël;2002;10.683;13.569
55;michelle11;%(ySW21ublj1;Ramos;Simone;2002;3.795;2.79
55;victoirerey;)9hSw2lT6jeZ;Gaudin;Roland;2002;4.337;14.78
55;renaultgerard;H1_eSyxu@@8D;Dubois;Claire;2001;2.296;9.998
55;marieleleu;$%IOoe2+T6SB;Mercier;Claudine;2002;17.585;16.343
55;qthibault;^(1pYeVnB88i;Pineau;Joseph;2002;18.578;8.576
55;hthomas;n!UT^l%k#12$;Raymond;Dominique;2001;14.036;15.049
55;alexandriecamus;1KNVd+Io&9Cm;Blanc;Édouard;2001;2.201;3.372
55;robertjean;lvOIZlaD^K7$;Lefevre;Caroline;2002;12.401;13.232
55;oguerin;)r*4XGbTHsa@;Antoine;Louise;2002;4.039;10.019
55;amarchand;^_*dpvAyj$b0;Pottier;Capucine;2002;3.643;14.999
55;stephane82;2j8Xos0t_wO*;Renaud;Gabriel;2002;6.773;4.913
55;elodie48;T@KCDwAF4M2v;Barbier;Adrienne;2002;8.301;8.214
55;emmanuellecoste;_febO%6+E3&A;Lambert;Daniel;2002;12.638;12.961
55;clemence26;S0Z$hohec1@G;Guillon;Caroline;2002;2.504;13.207
55;sdupre;k8qO+OrK_2Ud;Ruiz;Pierre;2002;17.718;14.33
55;jerome95;6+6EzCNY7feR;Couturier;Virginie;2002;17.491;10.984
55;fourniermichelle;3GN1CrtT$A**;Diallo;Inès;2002;5.634;16.13
55;laurence67;$l!^kejs^)2O;Hernandez;Grégoire;2002;10.189;5.515
55;perezbrigitte;_B@wQj#meSJ6;Blot;Éric;2002;13.68;8.7
55;ltorres;LxI77ZOlfr$#;Da Costa;Anastasie;2002;14.955;4.852
55;lemoinedaniel;(3mXtvn@CC3t;Cordier;Frédérique;2002;14.547;8.325
55;petitclaudine;%ZkrVdirD9$F;Bousquet;Pénélope;2002;5.273;11.943
55;langloisjeannine;6ic+*0S9!SxI;Traore;Alex;2001;12.255;16.294
55;bblin;H0EP@!w_!74G;Masse;Suzanne;2001;4.268;16.977
55;valerie54;no2Dky6dO*Pu;Bertrand;Joseph;2002;16.224;18.112
55;lebonsimone;_7vvenWy0#TE;Guillon;Maggie;2003;18.223;2.069
55;prevostmadeleine;@7CW_uo#!)fK;Leveque;Joseph;2002;12.573;13.237
55;pierreaimee;)5c$wQB9%eYi;Jacob;Cécile;2002;9.306;3.034
55;gberger;$Y(oB*pkx3!A;Perret;Roland;2002;3.017;10.697
55;monniernoel;&g52S8Ock&Yr;Ferreira;Gilles;2003;17.897;11.038
55;frederiqueetienne;VPD)2ye_z4sJ;Gimenez;Frédéric;2002;13.05;9.998
55;hugueslaurent;cbG#Sd_h2)6R;Fischer;Augustin;2002;8.422;7.346
55;marine39;_GyDQOEf5+V*;Lucas;Valérie;2002;19.793;4.584
55;mauricerenard;+3s@HYMqEpAg;Chauvet;Gérard;2002;5.159;12.655
