idLycee;login;password;nom;prenom;naissance;note1;note2
56;gguichard;Ma#z53Vss3jY;Lacroix;Margaret;2002;5.768;18.199
56;arossi;xbl4apBK&6I*;Bouvet;Alexandria;2003;16.942;16.977
56;omorin;X$YZ)RC(Ay08;Valentin;Denise;2002;8.226;14.211
56;marthebrunel;X3$491tIG$0Q;Marchand;Thomas;2002;14.706;17.808
56;guillotemmanuelle;%!LJQaH+(J7j;Lamy;Anaïs;2003;6.928;6.726
56;rolandlecomte;n^INjLuk*Mp0;Weber;Margaud;2002;5.187;18.897
56;hebertdenis;zn65SWlPDn&j;Guillaume;Véronique;2002;10.491;9.504
56;lucyjoseph;@+GPbucbna4G;Bailly;Dominique;2002;18.841;17.328
56;honore93;T_6Lyjpjj1+F;Guillon;Colette;2002;6.157;15.526
56;mhoareau;_m48VRSqr3fv;Leclercq;François;2003;18.392;14.159
56;gilbert37;d*8&Ti3aHvXn;Lesage;Margaud;2002;14.971;3.399
56;paulettehamel;Q!A+0hoY$!4#;Bouchet;Laurent;2002;2.761;2.883
56;martinemeunier;nD6TRg5hp+8I;Meunier;David;2002;6.462;6.03
56;dhenry;*7lNBbZyv35y;Da Silva;Marie;2002;7.689;3.124
56;wmarie;CDP5xFt6gs_*;Morin;Geneviève;2002;17.319;4.616
56;richard26;+^Qw5_sK8zSo;Bruneau;Théophile;2002;18.244;6.065
56;rmuller;&66PbHf1L0Nv;Leroy;Luce;2002;3.946;7.277
56;amelie27;y40#JIGE#r@b;Francois;Alexandria;2002;18.139;5.485
56;gillesruiz;%j)#xOuZ@1WZ;Bruneau;Louise;2002;16.128;14.261
56;clairetexier;&_PrZ_q)41Gh;Renaud;Michelle;2003;2.391;7.534
56;roland38;@f$UtgeOc4Qa;Bertin;Virginie;2002;7.435;7.427
56;qrodrigues;1g10@ekt)72V;Noel;Aurélie;2002;10.338;10.473
56;langloismargaux;5aQ+I!my#rF!;Robert;Célina;2002;6.733;14.866
56;daisy75;#pBS_CDjL+9o;Vallet;Zacharie;2002;18.466;3.064
56;anaislesage;(2P)C(glBkS@;Jacob;Adrienne;2002;10.524;16.01
56;arenard;_0XAT7cQQd7Q;Valette;Louise;2002;19.348;8.721
56;barbedominique;*L0KheY47H&N;Payet;Gabriel;2002;13.356;6.644
56;jacqueline27;U+47ZvU@jlRF;Etienne;Valentine;2003;2.472;7.951
56;le-gallcapucine;_vo2JebP%oz5;Le Gall;Henri;2002;12.576;12.514
56;ericlanglois;n0jpPY0!$uMi;Gilles;Susan;2002;13.08;9.202
56;alexandreferreira;H!h2BNkxXTKE;Antoine;Lorraine;2002;14.639;13.066
56;lorraine43;ihq33XXkZPR!;Bertrand;Henriette;2001;3.95;5.674
56;dfleury;4&fiX)#i10E3;Germain;Michel;2002;13.412;5.987
56;margot24;@TO_4WJi3laR;Maillot;Arnaude;2002;13.059;17.602
56;monique14;R4NyCznB+6Hz;Pruvost;Dominique;2002;19.22;3.745
56;jvallee;T@_+QBStG9l8;Coulon;Olivie;2002;3.408;17.565
56;thibaultbecker;+0U!bZanKnSy;Huet;Christophe;2002;4.179;18.156
56;yves04;zb7E#npeN@fK;Diaz;Michelle;2002;6.585;12.59
56;marc77;^misoZz@w24e;Giraud;Luc;2002;8.245;10.301
56;laetitiaalexandre;_4r0sThy+ikY;Gonzalez;Caroline;2003;15.381;7.731
56;audreypascal;Fq3gzCMgl8@2;Lagarde;Marcel;2002;6.758;9.999
56;antoinettecoste;(0iOFICzqtdn;Maury;Benjamin;2002;4.455;13.435
56;wlegendre;jsrE@0JyeRyU;Colin;Guillaume;2002;17.778;16.923
56;eteixeira;&9Vw+4Bpd1dM;Lebon;Colette;2002;5.793;16.58
56;wmarchal;qr5pr2Fk$lZe;Brunel;Noël;2002;15.948;11.169
56;cvasseur;m%RKRTNw*(6*;Lecoq;Antoinette;2002;17.229;10.569
56;xgomez;l!WCw31l4b6l;Charrier;Alphonse;2003;4.081;5.222
56;xcohen;H_@e6GGyJKM6;Morvan;Joséphine;2002;13.517;7.555
56;marine81;N)75Oafp(bv6;Legros;Aurélie;2002;4.264;15.655
56;vincentlegros;!jJYU8Bc3o4S;Delorme;Bernard;2002;5.055;19.618
56;diazmargaud;Jt)#7Ot0rX)O;Philippe;Josette;2002;15.455;5.144
56;hoarauaimee;@^n*No9K#7Xz;Dupuy;Noémi;2002;8.718;10.76
56;delahayeantoinette;*LU^AVkdnb0&;Langlois;Laurent;2002;11.643;6.698
56;penelope15;d53w1Bvys(&N;Camus;Vincent;2002;4.894;19.432
56;lucasgosselin;9O!@Blwq_oh7;Carre;Jeanne;2003;10.074;13.961
56;pagescamille;&L!GdfNUA$7#;Gallet;René;2002;16.442;18.064
56;anastasie73;yenyn5Bh&uzM;Gomes;Zoé;2002;4.517;8.179
56;cbourgeois;!9E#9Yz(&C^8;Lemonnier;Adrien;2002;17.415;11.75
56;piresgeorges;68c7Yr#pl@nM;Camus;Benjamin;2001;12.226;14.615
56;honore89;F98Bd1uxH&2U;Renard;Sylvie;2002;10.644;15.427
