idLycee;login;password;nom;prenom;naissance;note1;note2
57;froussel;&b(TxmuXs6lG;Chauvet;André;2002;14.72;19.277
57;charlestimothee;!886MtdJL4AL;Clement;Bernard;2002;11.834;9.738
57;aroussel;#Z29twkW76N5;Weiss;William;2002;10.27;5.594
57;anaisthibault;3P+auf3h&DD$;Allard;Jacqueline;2002;18.882;12.504
57;oleconte;*U2k$9Fq_^gM;Rodrigues;Jeannine;2002;17.88;8.224
57;susangarcia;y$7NrzsoFF4U;Vallet;Jules;2002;3.821;10.199
57;dblondel;DjP*SEC90)S7;Renard;Geneviève;2002;6.821;7.483
57;fboulay;@0Dsk*o+^IWO;Vincent;Augustin;2002;10.547;2.916
57;zgimenez;5fLVL4Ju*iB0;Bouvet;Isaac;2002;7.178;5.097
57;wdelmas;&qF40rtS&s&F;Couturier;Sylvie;2002;4.616;12.632
57;gabrielle40;HXMr)TJzg$9k;Bouvet;Christelle;2002;19.917;19.24
57;lramos;Q)vLNao1_0EP;Rodrigues;Antoinette;2002;16.395;19.649
57;agnesperon;_SzuNROv2rNU;Leclercq;Roland;2002;18.308;18.694
57;stephanemarion;@+pzIOa3zb6V;Colin;Françoise;2002;6.55;17.374
57;rodriguezmarguerite;Iyl^RktD&54m;Garcia;Xavier;2001;8.639;14.817
57;charlotte37;T#kUPzqY4Tq0;Lemaitre;Thierry;2002;6.43;11.009
57;faivreanouk;p4I)QRzc@8AY;Michaud;Hugues;2002;10.936;13.703
57;dklein;3N6!MQbg6lOU;Cousin;David;2002;9.509;11.988
57;jacques48;E4rHc@lxn5A(;Lecoq;Emmanuel;2002;7.43;14.279
57;tgodard;Z$kgLaPUJ5(1;Guibert;Sabine;2002;8.318;18.287
57;guibertjeannine;k+LH61SlR1hS;Chevalier;Roger;2002;17.666;17.025
57;antoine49;$1$or&O2TyJI;Da Silva;Geneviève;2002;7.993;3.486
57;qleroux;_TDyx9JE4#wh;Marchand;Célina;2002;19.248;7.62
57;bourgeoisthibault;(C7Wlx^3!HyB;Jean;Élise;2002;19.622;9.023
57;tristanprevost;uY1(Sp5hKi(e;Gomes;Alphonse;2002;10.309;10.146
57;xlacroix;_yXkC_J&(Q63;Baudry;Joseph;2002;15.02;3.579
57;dloiseau;$+3xTQE9baiN;Mallet;Catherine;2002;6.941;19.579
57;delormelorraine;pm3skam5Y7X@;Gautier;Josette;2002;5.621;18.538
57;agathepasquier;k&419kNxgrV%;Morin;Auguste;2001;17.363;7.784
57;xdupuis;3h)!AJlofQ9+;Lecoq;daisy;2001;5.723;3.568
57;adelaide89;Z&vbMrp1#N0!;Riou;Édouard;2002;5.316;3.107
57;levequechristelle;pL9b9iazp%rZ;Bonnin;Martine;2002;2.326;6.218
57;ptoussaint;^KMmur2nm1OF;Blot;Andrée;2002;8.599;11.151
57;cecile05;uI1Ziz!WD$PN;Valentin;Xavier;2002;15.734;12.864
57;xavier66;gX69Ypxz$2wd;Delaunay;Caroline;2002;12.919;9.05
57;elodie47;!fh5Qil!2x_6;Jacquot;Léon;2002;9.479;15.838
57;emiliejacquot;D@pS_nGuXc1X;Philippe;Édouard;2002;9.542;5.173
57;andrediallo;R4G%DWlw2T)b;Philippe;Lucy;2002;6.309;12.768
57;rene23;^u_^7gZG+1Rc;Teixeira;Madeleine;2002;3.794;6.826
57;ichartier;!1D+^NFcoJPQ;Hebert;Marc;2002;5.93;10.128
57;le-goffadelaide;+UNeEMjg56X#;Levy;Agnès;2002;9.452;8.873
57;frederic64;Pw(BeYp0^d9p;Barthelemy;Jeannine;2002;10.76;3.945
57;luce19;08RznOyPa$o1;Alves;Marc;2002;2.557;16.542
57;bourgeoismarianne;9+q5_Kvo(Q3);Pruvost;Emmanuelle;2002;9.152;10.987
57;matthieuduhamel;!3XU2rN6Pksu;Techer;Julie;2002;18.1;3.04
57;josephinelopes;*%Vxf!cn)m9+;Simon;Alex;2002;6.666;6.797
57;eleger;$)BiQq_xV5LI;Toussaint;Noël;2002;14.387;16.576
57;courtoismarguerite;%V3Ebv)oitgN;Dumont;Henri;2002;17.379;18.916
57;omonnier;)Xj&R$Mn_4TB;Raymond;Michelle;2002;5.111;19.172
57;claudine64;jKdeDv!4+8Hk;Poulain;Catherine;2002;8.47;12.587
57;constancemuller;)S_B57CmVE)x;Barre;Marc;2003;8.999;9.295
57;marthehernandez;Rr*2Kj8W!W+f;Monnier;Thierry;2002;19.351;10.234
57;pascalmarguerite;5$5SY4xsYhYV;Lemaitre;Christine;2002;8.169;6.771
57;eblondel;*c#TnQu$X)0n;Leduc;Alex;2002;6.307;4.786
57;poirierines;C%7eC0QzozZo;Masse;Henri;2002;6.931;13.643
57;goncalvesmargaret;3CU+E*)w60YF;Joubert;Guillaume;2002;9.496;19.792
57;amelie56;C$#7Igw7%VwW;Bernier;Sophie;2002;9.16;2.681
57;barbierdaniel;g9gvs%wt^qHO;Charles;Frédérique;2002;2.516;19.686
57;monique22;xb(*4YOgf1cj;Lemonnier;Philippe;2002;10.074;15.715
57;de-oliveirasylvie;xHCc4badb%2I;Dos Santos;Julien;2002;8.154;3.699
