idLycee;login;password;nom;prenom;naissance;note1;note2
48;lefortaudrey;M&7ZqhCH#%FV;Da Silva;Stéphanie;2002;5.206;7.718
48;mariechristophe;CJ8stCPhZV*0;Peltier;Michelle;2003;6.316;11.202
48;zlefebvre;#zTwNGxn+7lq;Lebrun;Virginie;2001;15.012;12.711
48;marthe45;1@BF1@xR#*VG;Julien;Aimé;2002;10.832;14.008
48;williambodin;#2*g(oqJ5vtD;Weiss;Aimée;2002;5.906;11.605
48;jpottier;w(uaJU5x&k9Z;Albert;Maurice;2003;13.138;19.428
48;operrot;fJ@5n*TrHA^%;Letellier;Alain;2003;19.126;3.925
48;allainthibault;i^%0UYz!vmrD;Deschamps;Odette;2002;4.59;17.745
48;emile14;%+(RHEka5Ab8;Hoarau;Rémy;2001;10.171;11.561
48;kfernandez;TvKpl0Nl9Z^m;Gilbert;David;2002;14.446;7.701
48;anouk54;)o)Gtl1dZ12K;Lelievre;Stéphanie;2002;5.05;4.225
48;wcordier;1z*LbAvB9jp);Remy;Aurélie;2003;5.281;7.707
48;payetgerard;*uZC051tU+11;Robert;Odette;2003;14.403;19.454
48;martheribeiro;@D1qxG5oUz8k;Leblanc;Alexandrie;2003;4.73;16.406
48;pierre71;$)Un&nj!^68_;Lenoir;Jeanne;2002;16.895;19.465
48;chevalierlorraine;d&24OiYQ))Ci;Petitjean;Raymond;2002;15.897;19.155
48;yhoareau;1Z0RkZr@+B)X;Gregoire;Éric;2002;18.158;2.005
48;tprevost;EFwQxYU)*(62;Pasquier;daisy;2002;4.589;10.63
48;astrid59;Eo9xNOg_@wbP;Lambert;Maryse;2001;2.182;9.951
48;corinne79;qb!xNsY__6d0;Jacob;Henriette;2002;11.301;8.244
48;ribeiromargot;#b9FDpStu3JU;Hebert;Manon;2002;16.587;13.821
48;xavierjourdan;_H4SzkFndIG%;Lefevre;Catherine;2002;2.911;10.731
48;maurysuzanne;%l@BmZ#WI1i(;Alves;Gilles;2003;5.797;19.574
48;costafrancois;@RdR711rT9SH;Berger;Arnaude;2002;8.095;17.576
48;hamontheophile;_+tINbi#cd4n;Dias;Charles;2002;7.843;2.328
48;courtoisalfred;%TB2&Tqc2f&t;Traore;Gilbert;2002;6.803;6.057
48;oceane60;Szv*dD^cRZ4P;Martinez;Christophe;2002;3.344;14.208
48;hoareauyves;&ofH&(w!t7iP;Grenier;Valentine;2002;12.457;4.556
48;michelleda-costa;L58COjJfk*Uy;Charrier;Gabriel;2002;18.488;10.54
48;lvoisin;2!kEkt0j@)5Z;Lecomte;Olivier;2002;8.031;6.774
48;charrierphilippe;1K&UX5Zo*H8b;Dupuy;Bernadette;2003;18.172;9.54
48;leon15;#9_QguWsjOLe;Vincent;Alphonse;2002;11.224;13.028
48;marechallaure;HA%XxLGw6^9p;Valette;Eugène;2003;11.899;10.712
48;bertrand35;+K3GD@dGdSO_;Marion;Roland;2002;12.998;3.717
48;jgilles;rtN6PLKmTy_!;Bazin;Zacharie;2002;18.012;11.612
48;benjamin61;_8T3mVaSKk0I;Colin;Louise;2002;4.47;17.689
48;jeancosta;Y*%CNlyRg@M1;Bernard;Marc;2002;14.445;19.556
48;ponstristan;M0)p8QGw!JVN;Grondin;Claudine;2002;12.748;7.507
48;fde-oliveira;&M3EBPio1#3V;Peron;Pierre;2002;9.646;6.43
48;claude14;eo28lFtRX%_i;David;Sophie;2003;3.839;9.384
48;irodriguez;E$s&Ju(Y7%&8;Pereira;Marthe;2002;19.147;5.421
48;denis78;*PBomXTb6jDC;Lesage;Maryse;2002;13.573;13.882
48;mathildebarthelemy;M^H027JeqYc);Weber;Paul;2002;3.474;16.052
48;buissonyves;*tsV^9c1Z0EY;Clement;Amélie;2002;9.439;18.352
48;de-sousaaimee;379KL6kg&8ve;Legros;Monique;2003;4.725;13.723
48;jalexandre;8^3!fPKn8yVJ;Camus;Benoît;2002;3.544;12.497
48;henriette39;^m*cNpou5@Vu;Mercier;Claire;2002;10.415;18.453
48;zda-costa;6&d*EjfDu900;Roy;Théophile;2002;3.151;4.851
48;lefortalfred;0_TJ2oFM!vPy;Menard;Philippe;2002;8.71;14.073
48;cjourdan;^)hsXOon8mi0;Denis;Roland;2002;11.212;17.871
48;andre28;n4*J6acSc6#$;Pons;Brigitte;2002;11.904;6.266
48;qjoly;+2mQskgvcqLY;Germain;Thomas;2002;5.262;7.381
48;gerard90;zy$2IboqN8S#;Rodriguez;Édouard;2002;11.187;3.571
48;henrybertrand;!vVK*y2)Kq7W;Guillot;Lucie;2003;6.459;18.073
48;fernandezjosette;!3D^G!KDHfD8;Besson;Jean;2002;2.675;11.128
48;benoitregnier;$PuRr*BZN+4f;Lejeune;Nath;2004;9.374;12.591
48;didierchristelle;u@cfB+NaV6h9;Picard;Arnaude;2002;4.141;4.893
48;perrotarnaude;AOzgjKCq#+W7;Bouvier;Jules;2002;7.115;9.323
48;genevieve71;JS8Ex9f)@EkM;Durand;Adélaïde;2002;18.728;17.521
48;martine13;@+O^IQTLfr1K;Vasseur;Nicolas;2002;11.838;3.561
