idLycee;login;password;nom;prenom;naissance;note1;note2
62;blanchardelise;9oKzyoxg*9I0;Lucas;Margot;2002;19.182;14.395
62;guyneveu;+4No@rl3EuH_;Leleu;Théodore;2002;3.623;9.001
62;lucy40;OiTFH$tQ+9g0;Pasquier;Thérèse;2002;14.666;19.408
62;michellegirard;J37ePOYd+E%v;Regnier;Claudine;2002;3.479;2.003
62;lainemichelle;uE+TRJ4hFX*9;Jourdan;Constance;2002;11.255;15.681
62;juliette99;$4hMSmy6%rp3;Lacroix;Margaud;2002;11.12;10.828
62;pottierbenoit;K)5fAdl^(4PC;Pasquier;Valérie;2002;17.246;6.347
62;pottiermichel;wbZ3NJgs@U76;Legros;Julie;2002;2.904;14.498
62;nathalie58;Cvl_9Ljg0y0B;Gregoire;Susanne;2002;7.299;6.934
62;aureliemarie;I6dU2cAr)0dq;Perrin;Brigitte;2002;16.289;15.162
62;gosselinagathe;&LSSFYoC09Pk;Guyot;Charles;2002;7.782;15.888
62;petitjeanaugustin;pt%H23vt!8@n;Boyer;Aurore;2002;17.956;17.138
62;fleuryamelie;n^zKZNqS^64j;Gilles;Lucas;2002;15.696;6.978
62;noemi55;*nAK4HHri(5j;Menard;Zoé;2002;3.734;8.625
62;gerard32;&uq8T6udLIn1;Buisson;Odette;2002;14.246;19.734
62;claudeperrin;_hB6Znmf#3W4;Benoit;Guy;2002;11.391;3.124
62;noelmathieu;)b9aSvsVD!eY;Lefebvre;Marcelle;2002;14.08;4.66
62;alainrenard;#JZx4vZS8@$+;Collet;Stéphanie;2002;3.751;9.672
62;pottierjulien;W_^n)LiZ+4Su;Lebrun;Anaïs;2003;13.398;18.434
62;dupuyyves;RobcIcQV&4Uf;Regnier;Marcelle;2001;12.467;9.48
62;mperrin;3)h1Ro0cv%XB;Fournier;Élodie;2002;10.822;14.879
62;mauryamelie;3H9oc3Mj7#HK;Sauvage;Jules;2002;14.966;8.558
62;hmercier;m0G@Ym4%%)*x;Bouvier;Amélie;2002;17.362;17.202
62;mathildealves;(1zvkR@IsqJE;Paris;Juliette;2002;17.065;13.267
62;patricialemaire;om$P1Qp&@^31;David;Alix;2001;6.66;2.035
62;marcelle82;9CC6zR4t)!b2;Mathieu;Pauline;2002;15.88;19.928
62;lorraine58;)58iYtlKi*l(;Couturier;Émile;2002;7.734;11.312
62;blancsylvie;!QOGKqvVc3(M;Joly;Luce;2002;9.16;17.912
62;rhamel;7I8!Ky2MB5GY;Prevost;Marie;2002;15.985;6.297
62;lguillet;6)4Ulfe^%p4!;Bouchet;Daniel;2002;2.276;17.071
62;bouchermichele;#KEeRv3I8pkv;Devaux;Nath;2002;2.826;11.708
62;henri04;%eEZdgT+x0#z;Vaillant;Thérèse;2002;5.156;3.099
62;theodore37;%flRsK*H8TY&;Guerin;Adrienne;2001;2.743;4.648
62;othibault;+#pHHJbp0625;Blin;Frédérique;2003;19.774;13.852
62;lucy07;4w7mYIf)Sq!8;Lefebvre;Gilles;2002;3.774;16.532
62;rchauvet;_uTDKDvae)7!;Vincent;Éric;2001;15.658;15.813
62;aferrand;*3Urh*c2pyR@;Joubert;Honoré;2002;3.888;15.205
62;alfredjacques;!7K2cjN2!M3p;Lucas;Michelle;2002;19.468;2.293
62;corinne02;#_QFsfk0Y(0Z;Legendre;Benoît;2002;14.38;3.756
62;virginiepetit;$nvuAEFfJ^2H;Guichard;Sabine;2002;16.392;15.232
62;victorlabbe;8_2HDn_RujWB;Charpentier;Victoire;2002;3.231;17.421
62;gverdier;2Tz^X+Ww@5Ry;Munoz;Astrid;2002;8.478;7.752
62;noemi53;D%u5KdaB(#tG;Weiss;Madeleine;2002;12.698;18.177
62;nicolas54;%%8(x8q&Q$NV;Gros;Alice;2002;4.075;16.248
62;rbourgeois;!#2PQHs_WfD%;Regnier;Isabelle;2002;17.419;18.314
62;corinnenavarro;(R6erBtGe4_v;Perrin;Claire;2002;9.065;14.783
62;michellephilippe;^D_S%dbrm!4k;Prevost;Eugène;2002;19.703;19.507
62;guillonphilippine;Ag3EXlQ!xV%#;Moreno;Benoît;2002;19.971;10.706
62;alicemillet;#E5S34Rp@a%%;Thomas;Alain;2002;12.169;2.223
62;cecilemarion;&@kEiw&&t7Iy;Merle;Lorraine;2002;18.202;9.982
62;nguyot;*I)5FlYgSokY;Perrier;Laure;2001;4.318;3.457
62;rossisabine;5mdkBpR&#3Dn;Fouquet;Hugues;2002;17.332;13.595
62;dadam;Y)M(wilB9HmZ;Remy;Dominique;2001;8.822;3.566
62;nhardy;4%5G)bzq$0IH;Charpentier;Guillaume;2002;7.099;11.296
62;henricharpentier;&_s4&KQkHQNy;Denis;Suzanne;2002;18.248;8.701
62;courtoisclaudine;G3J!fyZ5(3R*;Ribeiro;Christine;2002;4.487;2.718
62;christellevoisin;&Ab4o5^c%YzI;Thomas;Gabrielle;2002;9.54;17.246
62;edouard69;+Q2Mlf&VTe1D;Benoit;Denis;2002;19.808;5.214
62;mhoarau;vthVL(Gx&1Y8;Berthelot;Manon;2002;19.093;6.248
62;de-sousadavid;nrN_jR_t1MoP;Michaud;Véronique;2002;19.309;7.71
