idLycee;login;password;nom;prenom;naissance;note1;note2
63;ylombard;(1CTG5Egk#!6;Legendre;Denis;2002;14.677;8.965
63;delattreolivier;#L2M0aj)HH4R;Guillou;Hugues;2002;16.049;18.605
63;daniel72;bqBm$3Uq#8mw;Bousquet;Grégoire;2003;7.332;17.345
63;dfrancois;Y_2GX+iUxvZY;Chartier;Alice;2002;9.352;17.317
63;nhoareau;)9B#0yN$_&qx;Allard;Louis;2002;9.352;12.133
63;jolyagathe;%7Ez_Qf!Vn+b;Foucher;Sophie;2002;14.31;9.91
63;carolineroyer;@JYv6OnjX#6Y;Leduc;Benjamin;2002;8.287;10.425
63;dijouxthibault;(h9Q0LbbR@ff;Besnard;Frédéric;2002;11.097;10.704
63;jeanlombard;hS2YXme&b&f!;Martin;Hugues;2002;16.223;14.941
63;hraymond;us7Zf9dhp+E8;Guerin;Élodie;2002;4.97;3.175
63;yves45;46Kd_84xT6Z%;Le Gall;Laurence;2001;6.94;12.202
63;mrodriguez;6+_9NVIp0iy*;Mary;Luce;2002;15.063;3.804
63;josephnath;bM+L4xAc+5Lx;Wagner;Suzanne;2002;6.983;3.886
63;veronique91;Y@PN1HWk&eb8;Prevost;Marine;2002;11.408;10.393
63;noellabbe;343EC6hy_c17;Pichon;Denis;2002;16.502;16.759
63;benjamin85;K3Dy)frp%T70;Gosselin;Élisabeth;2002;5.722;2.711
63;bboucher;aE0cFm3a%TzT;Gros;Marcel;2000;3.756;9.254
63;andreeperez;A&rLn8Zg+)%v;Philippe;Étienne;2002;9.968;19.87
63;theophilenormand;CU$S_Ouo$1Vq;Robert;Gilbert;2001;9.606;10.211
63;aurelie68;&gzzKb^bD5PB;Lefebvre;Laurent;2002;18.953;8.037
63;susannedelattre;*KQ04zfZE4OL;Lefevre;Catherine;2002;9.924;13.033
63;remy93;6^4dkzEs^PoC;Bernier;Anouk;2002;14.682;10.691
63;clamy;)%Cw(WE9x0f8;Le Roux;Benjamin;2002;3.938;9.646
63;gimenezsophie;j^NN8fIrkiv%;Mendes;Luce;2002;14.246;8.463
63;perrotluce;mt6Az7Bio*6x;Pichon;Maurice;2002;14.347;17.422
63;stephane04;1aOXLhD(wA7!;Mahe;Yves;2002;10.876;15.415
63;odettehoarau;j#*BoBMg_)9);Guyot;Édith;2002;18.053;2.945
63;leblancfrederic;wZ81VuVnt@J);Camus;Alix;2003;6.947;6.691
63;oliviermargaud;(9)qAqC8^dHs;Guillot;Eugène;2002;17.692;8.387
63;mauricefischer;Z^2@%g1ljj(S;Navarro;Gilles;2002;12.34;7.846
63;ithibault;+B4b)iP1LNTM;Grenier;Luc;2002;7.128;17.119
63;susanlelievre;6rHkCWt2%y27;Martinez;Paulette;2002;14.812;16.279
63;jeromemartel;D3P2&lZU&B+q;Pinto;Alphonse;2002;9.97;3.884
63;ybonneau;NNAweuRh^0wL;Colas;Pierre;2002;13.497;17.608
63;chevaliertimothee;#8DEHcOqt2VR;Jean;André;2002;12.426;10.239
63;martymichelle;(0WFewps09HH;Langlois;Jules;2002;10.115;18.458
63;dominiquebrunel;!9@@4rDlTYwr;Bertin;Xavier;2002;9.856;14.654
63;maggie96;0$OFnZgR$jBH;Gomes;Nath;2002;2.773;14.957
63;adelaideleroy;jJiFA7Ww@V8M;Lagarde;Capucine;2004;6.015;10.626
63;lucasnicole;a+62eAdOEJq$;Renaud;Guy;2001;12.12;13.455
63;ddelahaye;6Q%^H4Gp!Sm+;Bruneau;Christiane;2002;2.609;13.096
63;rmendes;#s8XxJReey#E;Rodriguez;Marine;2002;7.002;14.848
63;dominique28;u9mWv$2j!B1I;Pichon;Agnès;2002;8.637;4.204
63;anne57;@Y*ycoEe$G0X;Colas;Jean;2002;17.976;7.154
63;valerie64;$J6Vc7ohEBGQ;Guerin;Hélène;2002;8.884;16.058
63;lucvasseur;h&9WG@FwvsA$;Aubert;Inès;2004;18.247;18.533
63;capucine74;%W26ylIsphrI;Lenoir;Benoît;2002;19.023;12.852
63;bertinvincent;o21FMphjg)4m;Martin;Marc;2002;8.823;19.887
63;jacques60;RHf)BSTuu)R6;Neveu;Alice;2002;2.224;8.641
63;rogergilles;a(!1b%Lb))4L;Couturier;Alice;2001;12.762;11.619
63;edouardclerc;dg0IoE!B)51N;Letellier;Alain;2003;19.929;5.924
63;fernandesadele;j5cDXylf++Am;Marechal;Roger;2002;4.087;5.029
63;oliviernoel;$Ia9cd+FzVAx;Delaunay;Jacques;2002;15.367;16.031
63;rcoste;(YTkBKRj#1ta;Foucher;Roland;2002;4.423;3.634
63;edouard52;p7I6_yQd+l+j;Letellier;Denis;2004;6.39;5.337
63;theophilebrunet;$+zfykD$h2AC;Laine;Laure;2003;14.67;4.572
63;alain24;(uKCE%Adq1hl;Verdier;Pénélope;2002;16.22;9.75
63;simone39;VeD64IGs!@Fi;Boutin;Benjamin;2002;13.729;16.999
63;lejeunemaryse;7CfEwgsgZ^6B;Morin;Isabelle;2002;16.607;6.137
63;augerpierre;)4czW2#GvTKv;Ferreira;Laurent;2003;14.066;19.052
