idLycee;login;password;nom;prenom;naissance;note1;note2
65;gpetit;!5Y4TS)&wt%D;Jourdan;Denise;2002;10.042;8.085
65;gaillardclemence;U*xc6ANv0gvU;Potier;Marcelle;2002;2.196;19.584
65;alexandrejoseph;WG7Rredj$sQe;Potier;Bernard;2002;13.054;13.062
65;marysebaron;HN3mv6Tz_0Wg;Normand;Antoine;2002;17.624;2.109
65;paulinegaillard;661&P6gG!hQ@;Garcia;Chantal;2002;3.49;17.949
65;baronpaulette;%rPkJan3$0Hx;Chauvet;Nathalie;2002;6.062;12.15
65;gregoireetienne;+IDcH*mz1KNG;Olivier;Paul;2001;19.532;19.278
65;marqueschristophe;H&(KC3Vb9L5D;Allain;Jérôme;2002;2.929;19.628
65;perretmatthieu;Q+TXt9Jn%$iS;Fontaine;Stéphane;2002;8.997;18.636
65;alfred19;1OxAXG5c@3AH;Olivier;Julien;2002;2.154;2.526
65;delaunayvincent;)IFFx4dwx$5^;Weber;Guillaume;2002;19.605;19.635
65;colletluc;#SPUgq2GIq8D;Leconte;Jacqueline;2002;15.609;7.762
65;anais87;I5aP%Ri#G!5M;Lambert;Margaux;2002;9.811;15.69
65;cantoine;1cZTtX$0o(68;Gerard;Michel;2002;11.689;5.461
65;jeromemarin;$^SdBS@&N8FJ;Texier;Louise;2002;3.723;11.933
65;sylviebriand;#tO3!nHvW%5k;Roger;Emmanuelle;2002;5.093;10.625
65;jerome59;@4ICowHiSQ)2;Guerin;Nicolas;2002;2.406;8.445
65;isaacsalmon;!02&FI^hB)RG;Vidal;Odette;2003;12.945;5.315
65;charlotteleclercq;FRM%!zK073mT;Grondin;Sabine;2002;8.25;15.854
65;hameljeanne;_W9yXe&z9BTn;Laroche;Julie;2002;5.529;13.227
65;olivierclerc;BanMjbxDi!39;Toussaint;Charlotte;2002;17.465;8.551
65;da-costabernadette;$b6bk(TcP3Rb;Fischer;Gabrielle;2002;18.135;2.403
65;egiraud;6RUzD4zUIeZ%;Bigot;Chantal;2003;4.601;10.81
65;alexnavarro;B4$nKs#d&l7$;Chauvet;Geneviève;2002;10.137;3.865
65;hoarauaime;dAGL&K%td)J5;Bernard;Alice;2002;8.989;9.235
65;mramos;8IZ%VXlR#6Np;Benard;Suzanne;2002;17.122;10.744
65;josephalves;f7g7T1ja%w5m;Gomez;Gilles;2002;15.253;18.984
65;peltieryves;RYg0Ltoje$^4;Robin;Célina;2002;7.495;10.144
65;patriciadaniel;+Y*+bGXG&0NZ;Martineau;Denis;2002;14.471;18.262
65;sylvienavarro;1P)*vanh^9RN;Hamel;Juliette;2002;11.231;6.478
65;colasfranck;$qUv2Ykmy0lv;Daniel;Catherine;2002;16.297;10.698
65;guilletelodie;_w^r3Uzl4nYg;Dubois;Thibaut;2002;13.884;8.218
65;emile16;VNk9cAtA_g59;Lopez;Pénélope;2003;13.363;16.214
65;qaubry;FKM+(dw9!9Aa;David;Élisabeth;2002;19.675;3.006
65;eroussel;A1FBbJX6#7Sj;Begue;Martin;2001;9.126;16.169
65;josephine12;@X0JoRdJPHKu;Martinez;Édouard;2003;13.09;18.457
65;duhamelhortense;15z3q68P(ZGz;Dupuy;Élisabeth;2001;18.789;10.026
65;monnieroceane;Fs&NLvzPcgT7;Leconte;Pierre;2002;11.568;10.611
65;albertelisabeth;+_PG3PKlJRK4;Auger;Élisabeth;2003;17.291;19.009
65;jacobmarguerite;e*u3$uOnXBx#;Valentin;Isaac;2002;10.571;6.157
65;davidchretien;%WF_k+5o7pFz;Legrand;Inès;2001;3.287;6.035
65;michelle62;K1Me@Y^a^6_c;Marchal;Joséphine;2002;9.486;5.265
65;hmeunier;!uer43VchZ+m;Chauvet;Philippe;2002;15.914;2.864
65;anaisberthelot;_8wV)oTc!+6d;Alexandre;François;2003;3.261;6.082
65;laetitialouis;&e0RSo%)9+N1;Lamy;Olivie;2002;5.835;12.962
65;teixeiramichelle;@_acb2Gef0+G;Bertin;Édouard;2002;19.406;9.288
65;michelehuet;bd$lz_PcFdB3;Lopes;Jérôme;2002;11.531;15.545
65;jacques85;#y2_IUrsNU0L;Bouvier;Luc;2002;10.221;12.235
65;isaacmoreno;_$P)oXztI38C;Mathieu;Zacharie;2001;19.865;7.584
65;anne16;8Kj_3bAIcjIK;Renault;Astrid;2002;6.049;16.145
65;wchauveau;S8awnThs)3A6;Hamon;Lucas;2002;17.843;14.395
65;georgesfleury;^m4*K+ivimG5;Boulay;Arthur;2002;18.599;9.367
65;pruvostlorraine;j8K5KWvh9#8B;Alves;Augustin;2002;10.352;13.272
65;elisabeth96;6_P8ZVj8U&7u;Bouvier;Madeleine;2002;11.805;3.695
65;genevieve76;(tFIb1SOte59;Guillaume;Céline;2002;4.587;10.659
65;ibaudry;(6sZodktmS6&;Morel;Nathalie;2002;17.539;2.546
65;dhoareau;e0GG$yym)7Bu;Brun;Maurice;2002;7.6;11.605
65;susanneteixeira;w0V6cReMJMn!;Clement;Aimée;2003;19.963;18.243
65;raymondgay;fYDvO5Ygc*5W;Bertin;Jean;2002;11.043;16.909
65;huguesmarion;pG(SDsTM^P4v;Marechal;Élise;2000;15.884;6.496
