idLycee;login;password;nom;prenom;naissance;note1;note2
66;zachariepichon;i3sQkHH0#sRw;Ferrand;Danielle;2002;12.53;15.362
66;grenault;ztn4yPoE)e+F;Turpin;daisy;2002;16.975;4.675
66;vdelmas;Hw1(ENe!KH8X;Vidal;Constance;2002;11.195;7.096
66;bessongerard;&B^2H@uY(Mn6;Fernandes;Rémy;2002;14.347;8.244
66;andre79;rVuD!bb1+D4l;Pottier;Danielle;2002;14.363;12.124
66;odetteroche;zRkQEAqf&25);Jourdan;Corinne;2002;2.619;3.492
66;rogerruiz;U)+0ZZwMLgcF;Hardy;Franck;2002;2.059;6.568
66;benoit24;!4hOuD9(ig4E;Blin;Brigitte;2002;4.557;8.405
66;manon72;1W+pySt)3#4X;Albert;Brigitte;2002;2.709;15.111
66;bcoste;*I#t9HdA6On3;Descamps;Luc;2002;9.022;8.91
66;kreynaud;&%Wrz4kCJ5^r;Roger;Gérard;2003;11.618;13.445
66;jolyjeanne;*cJG&B7E83Vx;Guerin;Nicolas;2002;11.451;7.58
66;ibouvet;*7vl07HqqFZH;Leveque;Nicole;2002;5.271;10.826
66;christelle00;%1+9xEa+1#C(;Paul;Gilles;2002;13.565;18.011
66;guyonandree;qmtHycUR26$);Maillet;Charles;2002;10.37;13.725
66;laurentbertrand;_qwL4MhIQBb^;Mace;Gérard;2002;14.76;17.348
66;constancefernandez;$C^)0Lau)17L;Mahe;Nicole;2002;6.757;12.383
66;boucherjacques;*vUU%^5uv@8d;Leveque;Étienne;2002;13.945;16.488
66;nicolasclemence;@vBUzbkU!^20;Lucas;Alexandrie;2002;17.222;17.483
66;urobert;K2cUgMqS$7rL;Ferreira;Benjamin;2002;12.074;3.858
66;sboucher;%$4wDRPe^MDc;Dos Santos;Gabrielle;2002;15.815;9.561
66;normandmichel;w(H4_Akf*OU@;Brunel;Emmanuel;2002;11.402;9.48
66;lucylaurent;$z27bMJEK7Vv;Perret;Martin;2002;19.003;5.815
66;nicolaslabbe;AS2VKh@5dz6*;Bazin;Véronique;2002;18.192;12.817
66;imallet;gW!jNSr%^P+6;Barbier;Auguste;2002;4.132;10.754
66;georges90;H4#ZK_pb$42p;Joly;Philippe;2002;2.309;18.462
66;hlejeune;uuEYWQf*&b2L;Bonnet;Nicole;2002;8.8;8.204
66;margaux77;q!P8kjmt(ngn;Pelletier;Andrée;2002;17.197;8.759
66;fredericadam;!W6HhjEclSh(;Legrand;Claire;2002;17.902;3.596
66;lroy;zyH0720I*9$W;Benoit;Laure;2002;19.315;5.881
66;fouquetrene;0vdZo(uY$gTh;Delaunay;Thomas;2002;3.516;15.6
66;gabriel20;%N1GaZyIOa_L;Vallee;Astrid;2001;11.262;11.269
66;bloiseau;aI*%6UkMIS_5;Leduc;Nicolas;2002;4.399;8.977
66;olivierenard;Nx&HaieJv+2C;Pelletier;Éléonore;2001;6.715;15.181
66;bfleury;$!wGgOEB(63g;Leroy;Gilles;2002;7.981;11.535
66;edouardguyon;x%8#v1C9knZW;Lemaire;Constance;2003;8.195;16.645
66;bouchetalexandria;sim9CyCI#2!M;Pottier;Stéphanie;2002;18.714;17.793
66;sabine32;o_&_87QqQWSh;Berger;Gilles;2002;12.785;2.923
66;gaudinchristelle;53L8IBd61_*+;Benard;Jeannine;2002;14.794;2.366
66;gomezaime;ooL*PuXUf*4r;Chevallier;Bertrand;2002;5.07;10.729
66;maggieperret;d!q#cjnX+C2Z;Jacquot;Margaux;2002;18.087;17.35
66;mauricepeltier;1^3$JjzwKBx*;Mallet;Vincent;2002;5.94;2.779
66;celine54;^vOuf)8e^6_H;Maurice;Théodore;2002;6.077;15.411
66;gerardjacquet;@od@No#!E4C_;Texier;Lorraine;2002;13.363;11.117
66;rochetristan;Y8lt9$lR(_6F;Merle;Hugues;2003;15.655;17.965
66;vroger;%IRzT^bGxf4K;Langlois;Hélène;2002;15.889;12.966
66;julie39;PY4DRbSv0#)F;Alexandre;Émile;2001;9.988;12.631
66;vasseurnicole;YF!lM4(zm*Ta;Charles;Monique;2002;4.78;13.037
66;sanchezbenoit;6LF^i367#bs(;Samson;Claude;2002;10.685;7.19
66;marcellegiraud;u61%bFM%)L#+;Seguin;Benoît;2002;16.466;8.244
66;gregoiremorin;TVGwTgYl(0W3;Toussaint;Stéphane;2002;6.836;8.651
66;alainbertin;I^Dy9Kb*2e&w;Hamel;Georges;2002;13.503;16.138
66;kpires;#muO(GMf+C$5;Laporte;Christelle;2002;14.808;5.808
66;rivierecaroline;%+FQay7qL5QL;Bruneau;Margot;2003;7.921;10.17
66;emilelacroix;o1^%gp8!N3El;Charles;Aurélie;2002;9.556;16.15
66;thierrylambert;I+Jq9kNci*O*;Adam;Paul;2001;16.431;12.946
66;gperrier;4fHkoM+(&lyP;Chevalier;Aurore;2002;9.924;12.089
66;frederiquegomez;nzNLFyEk(8dw;Klein;Philippe;2001;19.584;16.11
66;vaillantsuzanne;a$x3GL(a^+HY;Francois;Nath;2002;9.535;9.763
66;simone97;5H36vJoyJ3!F;Chevallier;Alix;2002;9.65;6.934
