idLycee;login;password;nom;prenom;naissance;note1;note2
67;gribeiro;S^5^fUTzT(6y;Camus;Stéphanie;2002;13.317;7.456
67;caroline69;#S4XDnvyPEG*;Louis;Brigitte;2001;3.051;14.739
67;jlopes;%5+o46^M$*Cg;Lebon;Benoît;2002;14.088;11.042
67;daniel41;%0_5%KLcPDOx;Bourgeois;Thibaut;2002;16.038;12.876
67;marinerenaud;*1d29BsttzBl;Descamps;Stéphanie;2002;16.305;2.864
67;luce99;0jYeJO%9UZ!J;Laine;Chantal;2002;7.681;15.081
67;elisabethnoel;l)c0sGkiiRsY;Marchal;Emmanuelle;2001;8.757;9.283
67;fcharles;#qVJxBLb22j8;Thierry;Jules;2003;10.778;2.831
67;morinsusanne;*V3&dCo#5IUt;Lebreton;Anaïs;2002;6.777;8.898
67;lucemaury;Lf4K9VxVK@rX;Boulay;Alphonse;2002;15.683;19.481
67;gerardsabine;VCRlD5nv(1Qj;Moreno;Maggie;2002;14.025;4.405
67;reneedurand;y*0EVdws%t2F;Fontaine;Hugues;2002;11.274;11.839
67;yvesmarchal;4zHkPRf3@Cvw;Cordier;Susan;2002;17.231;18.037
67;andreemallet;K519O#z6&afE;Barre;Véronique;2002;13.756;11.862
67;claudinedufour;^Rc7Qk4&qF0m;Blin;Richard;2002;4.917;16.566
67;jchretien;gn&*8KHz$cv2;Duval;Élodie;2001;16.747;3.972
67;augustejacques;DWGGELDn(FF3;Perez;Marcelle;2002;10.711;12.141
67;meunierpaulette;#P&j4ZSxQ8(+;Martineau;Alice;2002;14.766;14.862
67;marine76;H*zM1RLiSnNI;Gregoire;Nicolas;2001;3.832;19.988
67;bonneaualain;#@2YKdso!Gc3;Thomas;Margot;2003;19.106;15.717
67;danielle33;yXtIpk8K(6XT;Prevost;René;2002;15.068;14.67
67;clementcolette;#97ZYi++*ssu;Guyot;Colette;2002;12.305;10.008
67;berthelotmargaux;%(31uZz4U_CO;Barbier;Philippine;2002;4.195;14.774
67;nlesage;&E&ENG@Od2oh;Jacob;Audrey;2003;8.645;18.751
67;jacoblaetitia;6_Dgvx^2%J5W;Maillet;François;2002;16.371;3.743
67;jeannedumas;j18Irch6(Q83;Marion;Édouard;2002;11.69;6.257
67;lucemace;qey3%tDm)4Hf;Imbert;Antoine;2001;19.765;3.149
67;christelle71;v0%(i7hr^UY);Perez;daisy;2002;2.076;10.29
67;blanchetmargaux;_n51dzcu(gfF;Dijoux;Hortense;2002;16.136;9.534
67;brunrenee;$x@OihOOw_2S;Leconte;Dorothée;2002;10.477;14.282
67;andreeleclerc;@_KR8+Lln2&(;Carlier;Susanne;2002;6.745;14.619
67;theresebonneau;_5kMTmmq1emc;Bernier;Joséphine;2002;2.606;18.485
67;davidgiraud;!I!d3YvBBtRw;Nguyen;Hélène;2002;12.683;12.518
67;camusalphonse;6%dzIULc#E(6;Thierry;Gabrielle;2002;3.103;9.834
67;pbonnin;M0HN7BiXfYn(;Chauvet;Lucie;2002;4.901;5.545
67;alexandre82;*@0O&F6tPEI@;Gautier;Nicolas;2002;17.096;8.961
67;benoitlorraine;F6A$gFOV*72w;Laurent;Jacqueline;2002;11.144;6.636
67;lacroixcecile;*m&1uhDu*47d;Goncalves;Camille;2002;19.121;18.787
67;marcelbrunet;8+o)LXm@YD2*;Hamon;Franck;2002;15.107;4.943
67;mvincent;p6j8FAZi*+01;Henry;Emmanuel;2002;2.63;4.544
67;pintoclaire;$h^yzV4e2AR0;Bazin;Laetitia;2002;8.339;19.813
67;anouktexier;USElLe$zI2O$;Jacques;Audrey;2002;7.001;5.896
67;meunierastrid;(9@gt(oe8ZVa;Maillot;Grégoire;2002;13.097;13.38
67;thomasalix;(1JQy7fWi2U0;Merle;Émilie;2002;17.653;4.566
67;pelletiertheophile;&6fhEiNjzr3H;Marion;Michelle;2001;6.146;10.673
67;anastasie57;t!(RGd#&!#93;Mace;Anne;2002;10.73;19.996
67;alexandriamerle;$J19Xxr8OzS8;Dupont;Nathalie;2002;13.533;4.935
67;nboutin;S77xY8Bi)dDF;Guilbert;Agnès;2002;15.309;3.837
67;victoire12;+O6_Bj+vJp^k;Royer;Sophie;2002;10.066;14.163
67;blancalain;KT$+XKDrHJ$2;Lemaire;Marcelle;2002;17.183;7.983
67;valerienormand;_sI55JkL87Xo;Navarro;Xavier;2002;16.855;19.919
67;dorotheetanguy;OniAsR5j^1Qu;Gomez;Frédéric;2001;13.542;16.635
67;hugues87;KMS!A6Yo*a7b;Rey;Roland;2001;7.527;17.018
67;louiseschmitt;yYS*2DIn8h5C;Dufour;Gabrielle;2002;15.937;2.277
67;corinne20;nnJDf0ZnZ$UR;Munoz;Julien;2002;12.762;18.882
67;kandre;KE)ByAvwm_45;Lenoir;Claire;2002;3.348;5.751
67;frederiqueblin;53ZM$j5a_ssk;Jacob;Michèle;2002;7.543;8.812
67;clemence08;)$)7%ByToCAo;Gosselin;Rémy;2002;8.024;7.657
67;juliette21;#B_s3OaL8iAJ;Peron;Colette;2002;7.171;2.392
67;rocherstephanie;MR0eCK3p9+Hq;Bernier;Gilbert;2002;17.979;3.085
