idLycee;login;password;nom;prenom;naissance;note1;note2
68;roger83;)H_yVBvj7ttO;Delattre;Renée;2002;17.665;8.562
68;pierre20;c!#xZSKt_uT9;Munoz;Margaud;2002;2.663;14.231
68;gabriel89;M0GJjm7z%3Wq;Chevalier;Marcelle;2002;19.79;3.305
68;bertrand21;7il7Uax5#40P;Jacob;Nicolas;2002;6.96;15.871
68;henribazin;%a@Q%8Ygw9QN;Langlois;Suzanne;2001;14.515;11.368
68;diallomarie;)5_Qj+sd1kMG;Paul;Clémence;2003;15.099;2.928
68;marianne23;Y_q(RHiJgx0E;Roussel;Gabriel;2002;8.452;2.403
68;charlottebonnet;4!!1UfNf_h%p;Legros;André;2002;2.897;6.3
68;emmanuelle13;_yZt+LoBs9Ib;Blot;Thibaut;2001;2.63;10.624
68;pierre05;&+7QAEZf(^jP;Bourdon;Raymond;2002;7.961;2.774
68;hubertvictoire;m+eNm*xi#%0r;Fischer;Bertrand;2002;17.779;19.245
68;dlegrand;!3y!4BZn#SLj;Brunet;Dorothée;2002;6.417;3.982
68;malletstephane;&7pCHMZmNOfC;Delannoy;Laure;2002;19.169;4.073
68;pdubois;V*4oXIe0nz*J;Germain;Denise;2002;13.83;10.169
68;igiraud;&XwfG)wvw00M;Lebrun;Roger;2002;9.561;8.824
68;brigitteblanc;&2W5#S3x&zuq;Chevallier;Emmanuel;2002;17.416;19.148
68;oceane62;$37@W8cZo5ZT;Guillot;Aimée;2002;4.607;11.697
68;guillotlaurence;U98o(2Uq+bkT;Noel;Claire;2002;12.79;14.007
68;bessonalain;9IvM@xJpfU0^;Royer;Bertrand;2003;17.998;18.335
68;roger40;yg04PAYfH(99;Ferreira;Nicolas;2002;19.589;2.942
68;couturiersusan;_b4TfJph*AXU;Muller;Monique;2002;15.602;3.577
68;vpasquier;wMj0CJfyIj#n;Petit;Alex;2002;12.713;14.886
68;agnesneveu;^4v4!Pu&&Okw;Perrier;Émilie;2001;18.54;9.644
68;camille68;_4n2JUi!uWX!;Faure;Diane;2003;13.93;7.777
68;david75;d^ZOZ%q&Jnz9;Lemonnier;Susanne;2002;6.899;19.063
68;lucas28;VfW3jyx8$!tz;Cohen;Margaud;2002;4.505;7.375
68;juliencharpentier;(dD8SFDeg%u6;Martel;Julie;2002;9.156;2.458
68;npereira;8p_S9AlG#P2l;Munoz;Michèle;2002;4.39;6.447
68;paulpineau;Q0&OaRme+nGc;Voisin;Amélie;2002;19.854;7.467
68;calves;qm7JGnL^v@I!;Dubois;Noémi;2002;16.726;15.839
68;robertpaul;*bb8WwteGF6r;Renaud;Marguerite;2002;6.637;5.896
68;humbertaudrey;87tEAz9T&)Mb;Gimenez;Capucine;2003;16.259;9.974
68;nguyenadele;gdc4Se^+6xs^;Hebert;Olivie;2002;14.713;15.879
68;oalbert;K5pCkfik_8QH;Pichon;Odette;2002;12.575;9.84
68;hlagarde;zW4N7+7rA^j+;Menard;Stéphane;2002;3.684;10.778
68;capucine85;(KDd*XP1Y4ss;Martineau;Frédérique;2002;12.33;7.636
68;pdelaunay;uk4IIuj#T@a2;Vaillant;Dorothée;2001;17.432;15.096
68;marystephanie;#%7WifaO+00P;Berthelot;Anaïs;2002;4.47;16.332
68;suzannefischer;IJ3Ya3Er2%)$;Potier;Élodie;2002;7.666;4.445
68;boulangertherese;!*8kUibcaBty;Hebert;Charles;2002;5.835;19.127
68;guyoncaroline;*_49sVEpG6(j;Laurent;Théophile;2001;16.116;10.677
68;martinbernadette;tGt#3jFpNIH%;Parent;Colette;2002;12.016;4.751
68;raymondaime;MTKYjd+5@1s%;Jacquot;Suzanne;2002;2.527;3.112
68;kaubry;p^1RwS0jNau!;Ribeiro;Claire;2002;17.496;18.742
68;adrien74;$UA+lG!C06^h;Aubry;Nath;2002;17.846;4.19
68;stephane69;t(apDSluKPe4;Grondin;Frédéric;2002;12.834;6.597
68;mgosselin;%lk&^Pwf_0o(;Renault;Claudine;2001;12.633;11.768
68;abesson;p_ak1rWk_v!s;Lambert;Marguerite;2002;12.819;7.124
68;barbiersuzanne;F(j1rK8t^kBG;Roger;Cécile;2002;13.707;6.267
68;sroche;Gx8tP6Ozy%3I;Berger;Renée;2002;18.868;14.664
68;dominique37;k)2N_ErWkp)s;Dufour;Suzanne;2002;12.677;10.157
68;philippe73;&iH3)Ws5^9Pw;Michel;Patricia;2002;11.818;9.452
68;ribeiroisabelle;%8puM3Z!m8J0;Loiseau;Christophe;2002;16.453;5.545
68;victoire85;CczWTQm9_2Zk;Nguyen;Édith;2001;9.384;4.689
68;rrousset;6&7d%UKaHCJs;Bouvier;Jeannine;2002;15.98;7.783
68;christine02;B^6Y*)m#AEEJ;Ribeiro;Nathalie;2002;15.158;8.772
68;nbruneau;gAibrKI1&7Dx;Moreno;René;2002;7.435;4.162
68;emile11;d#6bZem6u#OU;Weber;Alfred;2001;8.408;8.869
68;agathe88;H3eFBVTt!qwE;Weiss;Monique;2002;19.433;18.82
68;andreeauger;(0W@fV$19FXy;Mendes;Joseph;2001;8.498;4.529
