idLycee;login;password;nom;prenom;naissance;note1;note2
69;emmanuel47;MM55gyT8_o7V;Pereira;Nathalie;2004;17.354;5.07
69;tcarpentier;^Bc28Ehv#BVn;Wagner;Olivier;2002;4.745;12.8
69;thereseblanc;(eMlfEH4Y1Jz;Blanchard;Adrienne;2002;9.387;5.689
69;gvallee;EA7P2Oern*Zm;Rocher;Françoise;2001;8.069;14.826
69;lucmaurice;#HVRdseoGx1E;Royer;Noémi;2002;19.877;19.773
69;oalexandre;G)0o9TcJauVy;Gerard;Marie;2002;15.765;15.853
69;danielle25;gV2Of(j!**LO;Leduc;Marthe;2002;3.406;9.877
69;inesmarchal;%0jr4e22SwN2;Verdier;Zoé;2002;14.124;8.353
69;alexandreluc;P6e)^x&0lCAH;Charrier;Adélaïde;2002;15.453;17.558
69;michellerossi;c_l&0KEpkV96;Lenoir;Monique;2002;18.226;16.326
69;seguindenis;X8C1bZTy)eYB;Teixeira;Brigitte;2002;9.341;10.744
69;marthepoulain;+xGw13OfB0%C;Millet;Tristan;2002;6.644;19.86
69;christelle76;TxJGj^SR7)0K;Huet;Robert;2002;18.643;15.038
69;meyerpauline;Q6JDilEy#HER;Raymond;Anne;2002;17.693;3.802
69;eleonorerobin;#gp_qhqcI0#E;Boulanger;Alexandre;2002;19.696;7.54
69;ubouvet;B#94LmK4e^e*;Robert;Louise;2002;16.099;14.969
69;bperrin;*#RYurdV#0dG;Reynaud;Yves;2002;10.221;17.154
69;delmasemmanuelle;%6Y5mQibpuZ7;Guyot;Augustin;2002;3.896;8.801
69;ievrard;_I+_Uj#lR5KR;Humbert;Michel;2002;3.804;9.797
69;roger53;)ArFcD(n1I9^;Toussaint;Tristan;2002;10.908;5.423
69;hremy;Lp6_k!ejLReH;Gautier;Bertrand;2002;19.037;11.553
69;moreaumargaux;+0pc9OtKgJEg;Baudry;Claude;2002;12.294;2.129
69;jmonnier;D8%(opMZ)tsD;Goncalves;Alix;2002;15.527;15.543
69;margotrobin;%5Lz)bFDcxQ_;Vallee;Laetitia;2002;18.639;15.46
69;turpinbrigitte;4Hqv(ild@wT!;Delaunay;Geneviève;2002;5.934;6.047
69;pasquierisaac;w+Dvx0Fx1Eh0;Masse;Stéphane;2002;8.467;17.224
69;reynaudemmanuelle;f24Grr#2)gyV;Reynaud;Isabelle;2002;9.818;13.162
69;bcohen;(LEKKcRKz0n2;Besnard;Christiane;2003;13.8;10.929
69;genevievevallet;!Qqu3uYlw0UG;Laporte;Patrick;2002;19.695;10.649
69;bernadetteleclerc;&dqjxF#P01Y_;Daniel;Augustin;2002;14.69;18.988
69;jeanne17;#6JQjoUDqpfV;Garcia;Françoise;2004;15.374;17.189
69;mariannedelmas;skTe5&*0!5v0;Lamy;Aimé;2002;12.61;13.904
69;ferrandthibaut;1Kv(_%2kW4LE;Gallet;Émilie;2002;3.012;3.666
69;andrelelievre;vnJTQeuq_0J7;Mahe;Alexandrie;2002;15.769;6.6
69;leclercqelise;qu6UMTslk##6;Lelievre;René;2003;16.511;10.69
69;tristan17;!)2@&5ee3oJ$;Leger;Renée;2002;5.444;18.801
69;aguilbert;tVd030n6q@qG;Joseph;Hugues;2002;18.206;15.153
69;maurice98;HSmUK6Oy)&I2;Lopes;Hélène;2002;4.103;12.393
69;edos-santos;I+NO^C#x3N4z;Leveque;Françoise;2002;11.809;19.09
69;christelle70;(7QUrYs0d02M;Traore;Christiane;2002;10.689;16.929
69;rousselmichelle;%S1r)SYc7sST;Colin;Cécile;2002;15.665;13.129
69;devauxdorothee;(PkI8z0h88^c;Chauvin;André;2002;18.1;15.429
69;marthe41;QlYS3Bcd0m*U;Martins;Stéphane;2002;19.038;4.873
69;anais29;_a&99ai8^JFR;Le Goff;Diane;2002;5.406;9.62
69;vdelahaye;YQH2Q(%eV+4*;Vasseur;Céline;2002;12.323;3.122
69;qdidier;29jTvQwa!(e1;Seguin;Gilles;2002;5.942;7.482
69;zoepottier;^gtU7F5vpK$9;Moulin;William;2002;9.681;18.361
69;daniellegomez;!69Q5rp^Q&ZV;Techer;Amélie;2002;5.964;6.181
69;ateixeira;(8J2VEf2dBjL;Lecoq;Gabrielle;2002;6.029;19.744
69;lambertcaroline;GipeVIy6i^P5;Legendre;Capucine;2002;4.364;11.883
69;david69;S2O545Yj(jR#;Pages;Luce;2002;9.519;17.309
69;mmeunier;sH&!S8Brn$2W;Hoareau;Emmanuelle;2001;2.528;3.867
69;ebecker;HQBa%&Kv2L!w;Diallo;Manon;2002;12.433;10.07
69;wlamy;*$4OWreK*(MF;Mallet;Thierry;2002;2.211;10.933
69;droyer;8v#ws0Vr&%83;Olivier;Victor;2002;5.172;19.531
69;beguemathilde;)0jRp9rQXq@O;Devaux;Océane;2002;14.249;19.643
69;renaultaime;cfV9DUfI#0)g;Faivre;Jean;2001;6.638;8.2
69;colette98;t@N+0Jkb7TQl;Traore;Gilbert;2002;13.213;14.69
69;isaacbriand;$C+FeKyk@Uz2;Renault;Roland;2002;13.366;8.723
69;nicolas99;sWMzcsDgE)3%;Vaillant;Hélène;2002;13.543;18.708
