idLycee;login;password;nom;prenom;naissance;note1;note2
70;hameljulie;#D1)cbCgdxWT;Guerin;François;2002;14.578;17.623
70;michelle18;V4Ktykjt@OW(;Bernier;Martine;2002;16.37;8.357
70;raynaudjoseph;V&YO9XQv!)Ha;Gomes;Anne;2002;18.081;5.791
70;alexandre02;wMt12k5gF*Vy;Hernandez;Maryse;2002;13.253;6.035
70;qbodin;z6WVvx4q)ZB@;Mathieu;Danielle;2002;11.519;17.589
70;gillesjacqueline;d!^BsYTecv6s;Leblanc;Bernard;2002;15.735;8.73
70;mbailly;$q65Fi8cTtR(;Philippe;Gilles;2002;8.077;19.703
70;clemencemorvan;&6xAvVwf$6DY;Denis;Suzanne;2000;4.258;5.542
70;alexandrebernadette;4A9aO!kC(p1u;Delorme;François;2002;11.546;18.373
70;ogros;W9G$tcyx*6rC;Ramos;Guy;2003;3.005;12.781
70;dgay;_YeY@dPL15MW;Guilbert;Maurice;2002;6.588;2.402
70;brunelpenelope;+7fum%v3MdND;Alves;Marie;2002;7.37;8.209
70;gilbertfouquet;BKZGB6Nhe$$0;Pereira;Suzanne;2002;13.764;18.149
70;claire51;vynv11Vpaj(!;Cousin;Marianne;2002;15.392;2.868
70;michelle45;nq5bHmLN+2%f;Marion;Thibault;2002;4.107;7.772
70;claude58;^MR#C9cvi15p;Launay;Zacharie;2002;12.678;18.894
70;marthe80;jx&+NSW)c&6C;Bazin;Benjamin;2002;10.179;14.753
70;christine44;@gisy5Hvl924;Pierre;Alain;2002;18.82;18.564
70;danielvalette;n07KQwF2%Y#O;Ledoux;Frédéric;2002;19.048;10.967
70;colettecourtois;l+6Ytq2Q7#J(;Cohen;Alexandria;2002;7.238;9.806
70;davidluce;m*s9Xles_0vX;Durand;Emmanuel;2002;12.739;16.005
70;allainclaire;6ofVcKrT!jkZ;Godard;Mathilde;2002;4.175;13.519
70;vnavarro;!SDxu4Iv9hOK;Robin;Marcel;2003;2.921;13.898
70;laetitia62;(W1P$agndRu9;Labbe;Patricia;2002;7.606;10.354
70;duvalmichelle;+K8rRxFfD9i*;Fontaine;Claire;2002;14.077;5.095
70;henrilegrand;laHcW(a)#7O#;Marchand;Jérôme;2002;17.723;11.613
70;audrey09;y#tBkIt6Fu1C;Fournier;Auguste;2002;8.733;18.654
70;julienjacques;+j0Cubv913qr;Rousset;Célina;2000;17.176;8.04
70;gdelannoy;e4tIhkq__Pq$;Pruvost;Nathalie;2001;13.2;14.009
70;daisygirard;#sW&pDou4s3Q;Picard;Frédéric;2002;5.784;7.906
70;marianneboulanger;^1xAKU#V(qt@;Pinto;William;2001;15.027;6.369
70;tguibert;a1wFwIYT#nEH;Michel;Alice;2002;6.826;7.263
70;besnardhenri;v!B_0Ebw(2Tf;Lefort;Bernard;2002;9.554;15.106
70;fhumbert;39rWSSd)o$l9;Guichard;Capucine;2000;2.513;2.295
70;roland62;+eQu*88u6HtX;Maillard;Marthe;2002;13.098;17.14
70;sylviepereira;g4XxN)id%9Tu;Fouquet;Jeannine;2002;4.33;13.266
70;lucbarbe;$%y3U!qap^%t;Texier;Caroline;2002;12.827;2.721
70;yvesbrunet;s&VwQLOhkv64;Philippe;Nicolas;2002;7.281;12.851
70;herverenee;M_4(2&wC!wAe;Merle;Zacharie;2002;3.197;3.704
70;xbruneau;(@5Il4HpsIDc;Texier;Nathalie;2001;12.395;15.676
70;cdelorme;w8P+aWwm@0s8;Regnier;Margaret;2002;17.927;2.929
70;bertrandseguin;iOTWd3zC+p6$;Rolland;Gabriel;2002;9.064;12.782
70;macealex;@9GUeTgWH(T1;Lenoir;Luc;2002;4.649;19.161
70;bertrandhebert;_XPR(YTqX)Y1;Lebrun;Catherine;2002;16.915;14.313
70;lucieteixeira;$QoPJQBVt2AO;Lopez;Andrée;2002;13.061;15.565
70;wlebrun;dq6L*V7s$T0Q;Ferreira;Gabriel;2002;2.822;10.153
70;renelefebvre;1JHf!wsv%8h9;Legros;Simone;2002;15.233;2.96
70;marine57;$Y2hOzw&x5FM;Lemoine;Théodore;2001;10.579;16.433
70;dgilles;3t6X6+Jfj+YG;Launay;Alfred;2002;14.923;8.903
70;cohenfranck;!Ci3Gqvw@SKD;Marechal;René;2002;17.054;9.907
70;uhubert;Tzg(y9UrB5dF;Guibert;Laurent;2002;11.618;11.607
70;vde-oliveira;zie82Vqw(5UF;Besnard;Marie;2002;5.539;12.323
70;alexandriamathieu;t4hy*SG&!nZn;Letellier;Louise;2002;2.26;11.543
70;julien51;HS5ewwIl&%mN;Olivier;Sophie;2002;3.233;4.922
70;thibault56;I+t0wnOgWNQF;Laroche;Étienne;2002;7.933;16.486
70;fjoubert;*9$Ej$jj(nh^;Roussel;Josette;2002;15.777;17.347
70;gerardpicard;8Nb&YjSE^UTx;David;Théophile;2002;11.807;19.102
70;groscelina;&6vogd^8^4UR;Andre;Catherine;2002;18.223;4.151
70;faivreisabelle;tzo4DJWoSY!!;Parent;Stéphane;2002;6.019;13.584
70;josephine44;o*iWSIluX+F3;Pierre;Sabine;2001;5.414;10.229
