idLycee;login;password;nom;prenom;naissance;note1;note2
72;ybourdon;(I6PdWm)T#kq;Bonnin;daisy;2002;14.545;8.23
72;lucybazin;Fk3QiCyyHL_$;Mendes;Constance;2002;18.947;10.564
72;traorepatricia;_k*4Rg5cy$Fp;Maurice;Joseph;2002;19.543;2.186
72;baillyclaudine;7!2GvPvQqcrN;Bourdon;Geneviève;2002;13.54;10.202
72;alice91;((S8JOeV@Dhw;Chauveau;Victor;2002;13.813;3.581
72;thomasduhamel;3ZWlgPGh(GAq;Ollivier;Roger;2003;2.565;12.284
72;earnaud;Cc4&^6qN&+GP;Sanchez;Franck;2002;16.298;13.984
72;delaunaynath;(5%Bh2ZIHRSi;Ollivier;Astrid;2002;17.596;17.158
72;hmartinez;ux*7ZLnj&&^5;Pinto;Éric;2002;3.845;8.167
72;gregoire52;I%F%8MHw04tP;Vincent;Jacqueline;2001;14.378;8.017
72;charlotte80;m+gIPz1Rnk80;Pasquier;Dominique;2001;14.219;14.62
72;flecoq;*a&FfEen71gM;Mallet;Célina;2002;11.443;7.226
72;david96;*6%FBni^9Ost;Rocher;Maurice;2002;6.586;3.593
72;hlacombe;n#&8RnnMi)14;Ferrand;Emmanuel;2002;12.583;15.021
72;juliette64;9pBqIWUN#2S*;Gerard;Juliette;2002;6.591;5.823
72;agathe73;7qI$YJyj(+Uk;Riou;Hélène;2002;12.801;10.784
72;luce44;Xz$^UgCRUKQ1;Gimenez;Célina;2001;11.943;4.615
72;rossigilles;_%SXrKf&0x@s;Giraud;Adélaïde;2002;6.118;14.104
72;anastasie22;EPAtJThD_39g;Guibert;Hélène;2002;2.163;4.586
72;louise97;W6hMLIia_mM2;Louis;Virginie;2002;15.89;3.945
72;levequeroland;e!wzVa%d@37A;Traore;François;2002;3.569;13.119
72;dverdier;)G!k4MQmaVNz;Delorme;Patrick;2002;16.378;8.591
72;prevostmonique;r(+1JRPg91d9;Guyot;Manon;2002;13.085;6.056
72;lebretonmartine;ylIZ5Epi%SI3;Cohen;Émilie;2002;13.642;15.038
72;jacques97;&_8+xJbm*($C;Leleu;Charlotte;2000;9.829;3.62
72;anne81;V230a3Oc&eVB;Maurice;René;2002;11.848;3.169
72;olejeune;*dY0GA(xn6tH;Legros;Laure;2002;19.953;5.279
72;lucyjoly;oFfEy+Tx%0rn;Dufour;Brigitte;2002;2.868;9.008
72;zgomes;X3KpoJrN0h^0;Delaunay;Michelle;2002;13.836;4.551
72;michellesauvage;h@0Ov4X8i2&i;Roussel;Gérard;2002;14.208;16.899
72;allardalfred;_Q+mEhao7JW4;Hamel;Aimé;2002;11.844;4.627
72;adrienne72;6h*VORxz)1fB;Barre;Inès;2002;4.088;14.873
72;roger09;e15Z&2Fxd%e6;Martel;Joséphine;2002;17.99;16.092
72;tmonnier;C1GhRxOZaA@e;Becker;Audrey;2001;18.628;19.444
72;laurence18;Vm!+OBCWj_4V;Dubois;Robert;2002;12.486;3.39
72;celinavasseur;K2ly+Dla#z3n;Giraud;Charlotte;2002;5.903;5.003
72;madeleinedupre;QE33#Ctht0*X;Collet;Michèle;2002;2.924;15.415
72;laurentdelaunay;l)8EjM*e*vp^;Charrier;Suzanne;2002;17.668;4.762
72;delormeamelie;&0Orqa5&Ft76;Torres;Aurore;2002;11.351;15.276
72;efabre;22PoN9m5*lFv;Fabre;Josette;2002;12.447;13.765
72;noemiguillot;nJ4AFt5i^m8C;Leconte;Patricia;2002;3.24;7.721
72;thereseleclerc;_C9N3*idwstJ;Perrier;Monique;2002;12.531;2.601
72;guygodard;!70TuzaTM!9P;Hamon;Roland;2002;8.876;14.819
72;egay;R2XGncJj+2#t;Gonzalez;Alfred;2002;12.088;3.142
72;thibaut55;*7QGorjRq_G&;Raynaud;Xavier;2002;16.811;18.076
72;colletoceane;Zs3fP6r(A2$M;Potier;David;2002;3.541;9.469
72;qroger;flWCTzAk_H3c;Dufour;Joseph;2002;19.266;13.026
72;kdelaunay;*6D6Lkhypfh+;Benard;Augustin;2001;3.33;16.355
72;reynaudagnes;e6nrDxofHY!1;Lejeune;Benjamin;2002;11.047;14.44
72;marchalmartine;U7^Qvsh8vdMw;Bodin;Susan;2002;6.522;5.888
72;ybouvet;Uoi9HjmWJ&jp;Gros;Théophile;2002;7.942;3.604
72;bertinjeanne;26L^FmEZ$qXe;Pasquier;Élodie;2001;11.936;3.838
72;aimee71;lHXmjN@%Z!8^;Alves;Adélaïde;2002;7.116;15.644
72;zsauvage;%wZ_&rXo0DD$;Noel;Suzanne;2002;14.362;5.967
72;bcharles;(%%^vDaugb5M;Albert;Gilbert;2002;6.106;7.547
72;grenierdorothee;0vN_w$7qF4Jv;Coulon;Astrid;2002;7.11;18.127
72;pichonroland;aO$7Pa5nT!nl;Robert;Yves;2002;13.301;17.985
72;weissnathalie;TG^^XGLzkT1X;Deschamps;Mathilde;2002;2.95;14.587
72;michele14;635Cgnqz9*9T;Carlier;Benjamin;2002;4.899;7.579
72;amelie36;@(WbzHM(qO0e;Bernier;Arthur;2002;7.824;8.975
